epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.6440905943512917,0.2941527040861547,0.918
2,0.2791827899819993,0.227951447898522,0.9372
3,0.22070101932325262,0.19404053689911963,0.9453
4,0.1885650558357543,0.17319054366089404,0.9498
5,0.1655095534042475,0.15642227387521415,0.9549
6,0.14729605000862417,0.144340631950181,0.9567
7,0.1338561337599729,0.13379818835528567,0.9595
8,0.12108589958478795,0.125309632003773,0.962
9,0.11168349809310538,0.11764605531003326,0.9648
10,0.10320764960364458,0.11027267654775642,0.9673
11,0.09592347982478269,0.10580822951160371,0.9682
12,0.08918049018037447,0.10163580023450777,0.9689
13,0.08249885547272068,0.09759124519419857,0.9706
14,0.07782527183757183,0.09690906659467145,0.9715
15,0.07271554896489103,0.09128065889875871,0.9722
16,0.06789641019273945,0.08788638369005639,0.974
17,0.06429339017560508,0.0863907708961051,0.9731
18,0.060651518085456275,0.08448453347431496,0.9743
19,0.05723611443362971,0.0810235449654283,0.9762
20,0.05363261197951246,0.08009118307265453,0.9753
21,0.05101468321530426,0.0787883373227669,0.9763
22,0.047989628792918744,0.07753594265494029,0.9759
23,0.04544787941143868,0.07667464203375857,0.9771
24,0.04310583661686867,0.07433381813054439,0.9771
25,0.04117104064752447,0.07362442529411055,0.978
26,0.0389975441045108,0.07388512835314032,0.9776
27,0.03682475947438085,0.07137024104245938,0.9779
28,0.03506930227926437,0.07061602898931596,0.9787
29,0.033647907872070025,0.07078128973895219,0.9775
30,0.03172779936799185,0.07000979399832431,0.9783
31,0.03030718059199763,0.06831981811817968,0.979
32,0.028840968526027938,0.06819065934425453,0.9788
33,0.027600284412186198,0.06774062517739367,0.9784
34,0.02623127085117108,0.06740140699010226,0.9792
35,0.024963322813880254,0.06742662880336865,0.9794
36,0.023806389235950846,0.06637393712022459,0.9801
37,0.022625004427824565,0.06661143192788586,0.9791
38,0.021791526867433433,0.06498257876985009,0.9801
39,0.020851483177195523,0.06551489874516847,0.9795
40,0.019804075979033206,0.06539004242440569,0.9807
41,0.01898665416520089,0.06423217400326393,0.9796
42,0.018189237061689827,0.06426682267687284,0.9798
43,0.01740710961612615,0.06414491320261732,0.9798
44,0.01667293545621586,0.06370852811902296,0.9799
45,0.015874582408194213,0.06379131206784222,0.9801
46,0.015281493226660692,0.06371923875281936,0.9795
47,0.01484301599545127,0.06389505063314573,0.9799
48,0.014119523481782923,0.06293743029826146,0.9813
49,0.013507633408075793,0.06291620819691161,0.9804
50,0.013007308976189728,0.06305891378098749,0.9799
51,0.012552334734317945,0.06231420186930336,0.9806
52,0.012082753373072186,0.06281343854752777,0.98
53,0.011583758354127565,0.06259864341605863,0.9808
54,0.011149801094917224,0.06241849407830159,0.981
55,0.010775789335132279,0.06305187919249874,0.9809
56,0.01040214582277026,0.06378714579637744,0.9806
57,0.010009179971715871,0.0624553459166782,0.9807
58,0.009688103460815755,0.06271350130125938,0.9811
59,0.009291499530638944,0.06263508113210264,0.9812
60,0.009062705769580095,0.06240306256564509,0.9809
61,0.00870223820625626,0.06254178192331893,0.981
62,0.008444868752911212,0.06215222938430088,0.9808
63,0.008139183748998937,0.06237416914089408,0.981
64,0.007897587595854271,0.06257388949259621,0.9814
65,0.007638294324823754,0.06267290158226388,0.9812
66,0.007395050639504607,0.062360410222063366,0.9808
67,0.007218783594509388,0.06230544898808148,0.9813
68,0.0070107959384257176,0.062407173338942815,0.9809
69,0.006784558982310935,0.06269818943175778,0.9808
70,0.006598421914423717,0.06258284578998427,0.9812
71,0.0064053554129984945,0.0627978721486943,0.9808
72,0.006235075172314301,0.0624315045864023,0.9811
73,0.006054311214966026,0.06248119327523455,0.9813
74,0.005903686797295875,0.06270277418916521,0.9815
75,0.005795775554291508,0.06258817541265671,0.9809
76,0.005611461403958024,0.06267260169699512,0.9813
77,0.005424104040572816,0.06280263017526522,0.9816
78,0.005307554645325117,0.06288700451483237,0.9815
79,0.005196866091152534,0.06289991061470573,0.9813
80,0.005080855802504068,0.06303166125713687,0.9812
81,0.0049325242270765075,0.06292274989133148,0.9817
82,0.004806784969231886,0.0630929060311064,0.981
83,0.004696980810803461,0.06309694511872294,0.9813
84,0.004594358947360888,0.06302084384586124,0.9813
85,0.0044986458512597735,0.06280879569136232,0.9815
86,0.004369330995448647,0.06336346318759752,0.9817
87,0.004289744962056346,0.0632728594895525,0.9816
88,0.004206383070274395,0.06308858862752459,0.9817
89,0.004113133606609908,0.06342531182686799,0.9814
90,0.004015170673572241,0.0631760320351168,0.9816
91,0.0039436654995215386,0.0633468921356507,0.9816
92,0.003844548800732306,0.06346727830958115,0.9813
93,0.0037756062866971295,0.06334930475370129,0.9816
94,0.003716877955656023,0.06325435664506586,0.9817
95,0.0036291200806327323,0.06334606343660198,0.9812
96,0.0035613776002564727,0.06352249243242113,0.9817
97,0.0034906515758732293,0.06358360154761612,0.9816
98,0.0034127085755747606,0.06369646255113366,0.9817
99,0.003359882631264825,0.06391412805232903,0.9817
100,0.0032927930420710446,0.06351638910074144,0.9816
101,0.003251189999951129,0.06387212685160193,0.982
102,0.0031909799176030496,0.06391781959588115,0.9819
103,0.003117915561070983,0.06391063781858974,0.9819
104,0.003080942964632104,0.06390310618240619,0.9816
105,0.0030344773062871413,0.06400496004744127,0.9816
106,0.0029644726929155753,0.06405682413219438,0.982
107,0.0029087664227576016,0.06406519956661214,0.9815
108,0.002879849087788743,0.06400083845695008,0.9817
109,0.002826494545251022,0.0641548154758675,0.9817
110,0.0027795923806905273,0.06407701074815123,0.9818
111,0.0027326081728344742,0.06419801081669903,0.9818
112,0.0026816319144811443,0.06420549264514193,0.9816
113,0.002647800919565154,0.06428623171081199,0.9818
114,0.0026088499040541023,0.06453993968774739,0.9819
115,0.002562753043132537,0.06434314798750165,0.9816
116,0.0025276096107963316,0.06451992271069684,0.9816
117,0.0024900852056081468,0.06455232104382957,0.9817
118,0.0024528745992203303,0.06442861844609979,0.9814
119,0.002413415148274656,0.06467461121563246,0.9818
120,0.002380517124138931,0.06460370189352034,0.9819
121,0.0023536078553854866,0.06470067140974606,0.9816
122,0.0023166330292835793,0.06465941395705159,0.9817
123,0.0022762480860655295,0.0649662728732983,0.9817
124,0.002251027877556477,0.0650774660398156,0.9818
125,0.0022177107400568005,0.06488413057593789,0.9819
126,0.002185962079501552,0.0647931414724917,0.9817
127,0.0021576610337472224,0.06497201126617255,0.9817
128,0.002128966311438683,0.06514513318226818,0.9817
129,0.0020997458039733402,0.06501211363487983,0.9816
130,0.0020842194059947903,0.06500038323315038,0.9816
131,0.0020480709934379273,0.06532305239516972,0.9818
132,0.0020210997260948446,0.06514193669266205,0.9818
133,0.0019980716790280683,0.0652132969501372,0.9817
134,0.0019634839622279074,0.06529763162911877,0.9818
135,0.001945905499977674,0.06549615534925124,0.9816
136,0.0019197850646649269,0.06540616125310407,0.9818
137,0.0018951459488697707,0.06553686789093717,0.9817
138,0.001870890879357095,0.06551565594937529,0.9818
139,0.001849558657627216,0.06552226783040169,0.9819
140,0.001829902308886534,0.06561356191796676,0.9817
141,0.001806123454391243,0.06557522047517068,0.9819
142,0.0017858476162531433,0.0657830552350788,0.982
143,0.0017624456004457587,0.06569662088491895,0.9819
144,0.0017502289978128442,0.06573237682548097,0.9819
145,0.0017302778583550033,0.06573082902743863,0.9818
146,0.0017101077096625926,0.06576473056140003,0.982
147,0.0016854555254425616,0.06591505181459979,0.9819
148,0.001666080417821154,0.06597940167165234,0.982
149,0.0016529586656573922,0.0659487305224502,0.9819
150,0.0016302602541474428,0.06586016346695032,0.9817
151,0.0016170325025202745,0.06603620768977635,0.9818
152,0.001599325479114765,0.06610208996766233,0.9818
153,0.0015834477130680326,0.06615388796843036,0.9818
154,0.0015656317795374173,0.06614538938421902,0.9816
155,0.0015455996524790263,0.06620589795662908,0.9816
156,0.001533698497533283,0.06610633190910903,0.9819
157,0.0015112286856511924,0.06627921156379216,0.9819
