epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.2344645167390507,2.127040328979492,0.6466
2,1.790367175390323,1.314996553659439,0.7436
3,0.9587843788787722,0.7112407585978509,0.832
4,0.615949114287893,0.5196439082920551,0.865
5,0.4878761279707154,0.4351874904334545,0.8823
6,0.4244488364085555,0.38732706755399704,0.8925
7,0.3859538509200017,0.35692350018769503,0.8978
8,0.3600382727260391,0.33552350133657455,0.9041
9,0.3425790950966378,0.31966319648548963,0.9069
10,0.3261247424719234,0.3072382449917495,0.91
11,0.3145803312771022,0.297778818719089,0.9114
12,0.30308428457938136,0.2852397347800434,0.9166
13,0.29271256395926076,0.27760589592158796,0.9191
14,0.2829971003190925,0.2683077528886497,0.9214
15,0.274908577480043,0.2619231202639639,0.9233
16,0.2671624857156227,0.25523123848252,0.9243
17,0.25989423122567434,0.2506810686644167,0.9282
18,0.25380086970205107,0.24248625941574573,0.9312
19,0.2460036413433651,0.2372192332241684,0.932
20,0.2379821986425668,0.23151251222006977,0.9339
21,0.23467196320804456,0.22630049059167504,0.935
22,0.2269952564034611,0.220520271519199,0.9362
23,0.22133459111986062,0.2155295880883932,0.937
24,0.21602944019250572,0.21078686393331736,0.938
25,0.21213049123374125,0.20725951020140201,0.9389
26,0.20634989181223015,0.2026092382799834,0.941
27,0.20130711481906474,0.19769017583224924,0.942
28,0.1964408716885373,0.19320333998184652,0.9435
29,0.19220848532859236,0.18884076428133995,0.9451
30,0.18887081129165986,0.1860993269365281,0.9455
31,0.1842084600124508,0.181967749632895,0.9457
32,0.1797019592563932,0.17810507097281517,0.9478
33,0.17712251212991154,0.17406380775850266,0.948
34,0.17155401246855034,0.17184343722648918,0.9475
35,0.168379366879041,0.16860053976997733,0.9498
36,0.16565081349108368,0.16564686707686632,0.9504
37,0.16167805887913952,0.1627647224161774,0.9513
38,0.15848696331183115,0.16010650170501323,0.9523
39,0.1546234806223462,0.15662173150107264,0.9528
40,0.15223935359778504,0.15473993887193502,0.9535
41,0.1485004685819149,0.15133501410717146,0.9555
42,0.14586904883229485,0.15041693376144394,0.9558
43,0.14268040363676845,0.14710244351066648,0.9563
