epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.2193804091336777,1.9776208531856536,0.292
2,2.085798647634837,1.8257876491546632,0.3481
3,1.9917018501734247,1.7251334524154662,0.3949
4,1.929814014811905,1.6571331858634948,0.4162
5,1.8724718261130002,1.5927169692516328,0.4254
6,1.8187739517615766,1.5372778367996216,0.4491
7,1.7743516162950166,1.529481645822525,0.4483
8,1.705203299923819,1.4547787487506867,0.4741
9,1.6828307670598128,1.4166732847690582,0.4912
10,1.6621282620697606,1.3875102055072785,0.5056
11,1.6039830388463274,1.341833643913269,0.521
12,1.6058634212430642,1.317775810956955,0.5292
13,1.5601125873473225,1.2920461332798003,0.5419
14,1.5241255358773835,1.2588479042053222,0.5543
15,1.4776463995174485,1.2392178785800934,0.5616
16,1.4274389637368066,1.1910341745615005,0.5792
17,1.4477824091303104,1.1662905484437942,0.5936
18,1.3800567473684038,1.1290462148189544,0.6073
19,1.402629637900664,1.1211760091781615,0.6089
20,1.3201471743535023,1.0780123037099838,0.6301
21,1.2978437691926956,1.0529961001873016,0.6346
22,1.2652964529638389,1.0285080349445344,0.6432
23,1.256380363082399,1.0152002114057541,0.6461
24,1.2646914208117797,0.9938961869478226,0.6578
25,1.1547273680263637,0.9537501555681228,0.6689
26,1.154226808675698,0.9498510032892227,0.6723
27,1.1294509318410133,0.9152564352750778,0.6846
28,1.1070955891390235,0.8851489692926406,0.6948
29,1.0680384239067837,0.8746516853570938,0.6985
30,1.0307990771775344,0.8484794837236405,0.7069
31,1.0322901798146111,0.8280396324396133,0.7166
32,1.0075413897937657,0.8165471285581589,0.7202
33,0.9904671644373816,0.7930315339565277,0.7286
34,0.9408878705331257,0.7770761424303054,0.7327
35,0.9470965993039462,0.7605223000049591,0.7384
36,0.9050580600694734,0.7530855110287666,0.7407
37,0.913875872079207,0.7380491888523102,0.7472
38,0.8765644387018924,0.7187049585580826,0.7536
39,0.8657103012106857,0.7090479615330696,0.7554
40,0.8242521783222958,0.6921386581659317,0.7624
41,0.8222191019021735,0.6766320207715034,0.7674
