epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.292460299144357,2.2838910531997683,0.2264
2,2.277688172914214,2.2691531658172606,0.3548
3,2.263229077145205,2.254229712486267,0.4548
4,2.2484994020502445,2.2389769744873047,0.5191
5,2.2333522777436143,2.223222668170929,0.5677
6,2.2176393462439714,2.206809000968933,0.6
7,2.2011992971775896,2.189577295780182,0.6263
8,2.183894550901348,2.1713605260849,0.6453
9,2.16550270884724,2.152014889717102,0.6602
10,2.1459451161198695,2.131365730762482,0.6712
