epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.302755370736122,2.3025124049186707,0.103
2,2.3024918645620347,2.302506139278412,0.1036
3,2.302483986566464,2.302499837875366,0.1038
4,2.30247687275211,2.3024935126304626,0.1041
5,2.302473234385252,2.302487168312073,0.1049
6,2.3024672716856003,2.302480764389038,0.1057
7,2.3024595841765403,2.3024744510650637,0.1063
8,2.3024553140004476,2.302468123435974,0.1063
9,2.302447314808766,2.30246178150177,0.1067
10,2.3024419439335664,2.302455415725708,0.1076
11,2.302433523287376,2.302449142932892,0.1084
12,2.3024291512866815,2.3024427247047425,0.1089
13,2.3024233045677343,2.3024364614486696,0.1095
14,2.3024187681575614,2.3024300813674925,0.1103
15,2.3024120765427747,2.302423758506775,0.1115
16,2.302407784263293,2.3024173307418825,0.112
17,2.302398960292339,2.3024110651016234,0.1128
18,2.3023945768674214,2.3024047112464903,0.1134
19,2.302387843777736,2.302398376464844,0.1145
20,2.3023811973631383,2.302392029762268,0.1146
21,2.3023742360373336,2.3023856925964354,0.1152
22,2.3023705278833706,2.302379319667816,0.1159
23,2.3023623024423916,2.3023730063438417,0.1165
24,2.302356060097615,2.3023666286468507,0.1168
25,2.302350254605214,2.302360272407532,0.1171
26,2.3023441940546037,2.3023539352416993,0.1179
27,2.302336630721887,2.3023476076126097,0.118
28,2.3023325212299826,2.3023412823677063,0.1185
29,2.3023232904573283,2.3023349022865296,0.1192
30,2.302318701396386,2.3023286080360412,0.1199
31,2.3023129435877006,2.302322232723236,0.1205
32,2.3023054115474224,2.302315902709961,0.1211
33,2.3023001668353875,2.3023095893859864,0.1217
34,2.3022942806283635,2.302303194999695,0.1224
35,2.3022860233982403,2.3022969365119934,0.1233
36,2.3022823236882686,2.302290561199188,0.124
37,2.3022786383827527,2.3022841739654543,0.1246
38,2.302266032497088,2.3022778177261354,0.1255
39,2.3022631496191024,2.3022714638710022,0.1264
40,2.3022557007769744,2.302265160083771,0.127
41,2.302250480900208,2.3022587871551514,0.1277
42,2.302243862549464,2.3022524547576904,0.1282
43,2.30224213724335,2.3022460985183715,0.1284
44,2.3022308588027953,2.3022398018836974,0.1295
45,2.302223788946867,2.3022334432601927,0.1301
46,2.3022212639451025,2.3022270679473875,0.1307
47,2.3022148984173936,2.30222074508667,0.1315
48,2.3022077687084677,2.302214379310608,0.132
49,2.3022014846404395,2.302208044528961,0.1328
50,2.302196499705315,2.302201719284058,0.1336
