epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.2996539851029714,2.2981286787986757,0.1297
2,2.2976350352168082,2.2961824536323547,0.1534
3,2.2957282409071924,2.294232740402222,0.1843
4,2.293845615287622,2.2922691535949706,0.2212
5,2.2919177864988645,2.290295059680939,0.2575
6,2.2899932891130446,2.2883083963394166,0.2956
7,2.288044382631779,2.286306707859039,0.3326
8,2.28610394547383,2.28428277015686,0.3661
9,2.2841240604718527,2.282238268852234,0.3964
10,2.282116661965847,2.280169563293457,0.4208
11,2.2800825188557305,2.2780712270736694,0.4445
12,2.2780077705780664,2.2759408736228943,0.4667
13,2.2759362493952113,2.273776626586914,0.4881
14,2.2737924327452976,2.271577422618866,0.5059
15,2.2716802597045898,2.26933580160141,0.5235
16,2.269466829299927,2.2670555758476256,0.5377
17,2.2671768565972648,2.264726040363312,0.5526
18,2.264929909010728,2.262344923019409,0.5633
19,2.262594210108121,2.25991101026535,0.5733
20,2.2601330161094664,2.257423129081726,0.582
21,2.257698326309522,2.2548689889907836,0.5895
22,2.255175275107225,2.2522536635398867,0.5969
23,2.252589656909307,2.2495668292045594,0.6062
24,2.2498832285404204,2.2468083763122557,0.6133
25,2.2471515238285065,2.2439696907997133,0.6192
26,2.244386560221513,2.241048505306244,0.6241
27,2.2414887343843777,2.238042619228363,0.6312
28,2.238544541597366,2.2349432635307314,0.6368
29,2.2355073218544326,2.231750807762146,0.6415
30,2.232380478580793,2.2284569215774535,0.6478
31,2.2290938595930734,2.2250581192970276,0.6528
32,2.2257039164503416,2.221547749042511,0.6564
33,2.222234144806862,2.2179169154167173,0.6598
34,2.218600176771482,2.2141614603996276,0.6628
35,2.2148573274413743,2.210273187160492,0.6649
36,2.2109567552804945,2.206248569488525,0.6667
37,2.207057546575864,2.202071704864502,0.6687
38,2.202834685643514,2.197750678062439,0.6711
39,2.1984087775150933,2.1932701110839843,0.6727
40,2.194111900528272,2.1886111545562743,0.675
41,2.189566651980082,2.183782789707184,0.676
42,2.1846062655250233,2.178779191970825,0.6777
43,2.1796839252114295,2.173571503162384,0.6797
44,2.174475286404292,2.168165435791016,0.6816
45,2.1690497721234956,2.1625436663627626,0.6825
46,2.1636373937129973,2.1566907739639283,0.6836
47,2.157795932888985,2.1506211304664613,0.6842
48,2.1517916987339656,2.1443032121658323,0.6848
49,2.145390251278877,2.1377377986907957,0.6852
50,2.1389575133721035,2.1308959197998045,0.6851
51,2.1321527287364006,2.1237829184532164,0.6858
52,2.125030606985092,2.1163808035850527,0.686
53,2.117352828880151,2.108682475090027,0.6861
54,2.109814782937368,2.100644631385803,0.6866
55,2.101743566493193,2.092290823459625,0.6857
56,2.093507410089175,2.083590967655182,0.6863
57,2.0846086159348487,2.07454256772995,0.6864
58,2.0755399356285733,2.0651171696186066,0.6863
59,2.0663447534044583,2.055306069850922,0.6854
60,2.0566447282830875,2.045113432407379,0.6848
61,2.0463925659656526,2.034519386291504,0.6855
62,2.036196705202262,2.0234979903697967,0.686
63,2.0251054195066294,2.0120709574222566,0.6852
64,2.013646579533815,2.0001979303359985,0.6848
65,2.001557099322478,1.9878706431388855,0.6852
66,1.9891421876847744,1.9750759744644164,0.685
67,1.9765725587805112,1.9617978310585023,0.6848
68,1.9633681861062844,1.9480581343173982,0.6861
69,1.9494342021644115,1.9338526022434235,0.6859
70,1.9349571200708549,1.9191533613204956,0.6867
71,1.9209374606609344,1.9039396631717682,0.6869
72,1.905083099504312,1.888282423019409,0.6876
73,1.8899100181957087,1.8721094369888305,0.6872
74,1.8738204476734002,1.8554736173152924,0.6882
75,1.857327868292729,1.838371901512146,0.6894
76,1.8402393718560537,1.8208133578300476,0.6904
77,1.8228250940640767,1.8027953445911407,0.6917
78,1.804826911787192,1.7843498587608337,0.6919
79,1.7864744069675604,1.7654856145381927,0.6941
80,1.7676232727865377,1.7462224221229554,0.6954
81,1.748846534639597,1.726585705280304,0.6962
82,1.7285337038338184,1.706604264974594,0.6976
83,1.708478138844172,1.6862968146800994,0.6993
84,1.688568801432848,1.6656743359565735,0.701
85,1.6686922406156859,1.6448248505592347,0.7031
86,1.6482524981101354,1.6237620627880096,0.7059
87,1.6265437717239062,1.6025151062011718,0.7081
88,1.6065131890277067,1.5810919141769408,0.7095
89,1.5855775619546573,1.559567289352417,0.7114
90,1.5637055583298207,1.537989022731781,0.7147
91,1.54247608234485,1.5163584756851196,0.7169
92,1.520502438644568,1.4947462022304534,0.72
93,1.499321064601342,1.4731683003902436,0.7236
94,1.4787764005362987,1.4516520929336547,0.7263
95,1.4571022349099318,1.4302821123600007,0.7286
96,1.4360370869437853,1.4090573227405547,0.731
97,1.4152562799553077,1.3879940044879913,0.7337
98,1.3945178769528865,1.367127113342285,0.7376
99,1.3735572901864848,1.3465175497531892,0.7417
100,1.3533451969424883,1.3261942458152771,0.7446
