epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.246229060625626,2.1853646349906923,0.4332
2,2.1308764588024656,2.0683677542209624,0.6269
3,2.0149766403739737,1.9475987637043,0.6983
4,1.8933584445108802,1.8196756803989411,0.7298
5,1.7644962484048585,1.6848097157478332,0.7515
6,1.630415104203305,1.5459432673454285,0.7657
7,1.4940280434438737,1.408304100036621,0.7804
8,1.3622905283661213,1.2776326006650924,0.7941
9,1.238731834342924,1.15843840777874,0.8062
10,1.1276745826511059,1.0532544124126435,0.8182
11,1.030525523222099,0.9626932269334794,0.8264
12,0.947240043747223,0.8855650159716606,0.8345
13,0.8760468784277722,0.8202249330282211,0.8413
14,0.8154643549252365,0.7651529175043106,0.8474
15,0.7652006817318625,0.7181494757533073,0.8526
16,0.720716939891799,0.6780663397908211,0.8568
17,0.6843768788848893,0.6434939166903496,0.8598
18,0.6511480137074398,0.6136866740882396,0.8654
19,0.6238679786102247,0.5875027610361576,0.8685
20,0.5982038530884153,0.5646976335346698,0.8711
21,0.5769012327290187,0.5443462699651718,0.875
22,0.5568368882572247,0.5262754158675671,0.8773
23,0.5394955629766998,0.5100215663015842,0.8793
24,0.5247338554364139,0.4955379047989845,0.8813
25,0.5098932368081,0.4823156190663576,0.8833
26,0.4972255794426142,0.4704998151212931,0.8843
27,0.48628378773139697,0.45963732406497004,0.8862
28,0.4752047818974923,0.44959482982754706,0.8875
29,0.4650107389789517,0.44053148314356805,0.8886
30,0.4567665452989986,0.43212978340685365,0.8896
31,0.44813826061406375,0.42438791662454606,0.891
32,0.4400020068100953,0.41713904291391374,0.8926
33,0.433702325353683,0.41040052272379396,0.8938
34,0.4269398545562211,0.40406012468039987,0.8944
35,0.4207756912051621,0.39833135325461627,0.8948
36,0.4162041634573775,0.3927856039628386,0.8958
37,0.4092095051655325,0.3877128491178155,0.8971
38,0.4027324625117294,0.38277053728699684,0.8982
39,0.3990845931851763,0.37828243102878334,0.8989
40,0.394110394641757,0.3739840815961361,0.8997
41,0.38957477386220024,0.36989705603569745,0.9006
42,0.38602059366086783,0.366019397303462,0.9012
43,0.38186853874664184,0.36236810218542814,0.902
44,0.37786736696074574,0.3587984238564968,0.9027
45,0.3751627307511487,0.35550483006983996,0.9034
46,0.37058185713397246,0.35227818954735995,0.9042
47,0.3679262782936379,0.3492735832184553,0.9042
48,0.3650655317735874,0.34636906389147043,0.905
49,0.3625690530417329,0.34354649521410463,0.9057
50,0.35916145029083146,0.3408173369988799,0.9061
51,0.35624925909027205,0.3382681661471725,0.9069
52,0.35266310385412586,0.33585103284567597,0.9074
53,0.35154610405028874,0.33344968531280755,0.908
54,0.34772309957671976,0.33098804561421274,0.9085
55,0.34596985100247596,0.3288655650429428,0.9085
56,0.3444463914670682,0.32667254077270624,0.9088
57,0.3421535370082168,0.324610887914896,0.9096
58,0.3396875678672124,0.3225936641357839,0.9101
59,0.33597351116586033,0.3206725514680147,0.9105
60,0.3346427746622239,0.3187299439869821,0.9111
