epoch,train_loss(total),test_loss(average),test_accuracy(average),communication_count
1,2.1042838948113576,1.7968477368354798,0.1,0
1,2.1042838948113576,1.7968477368354798,0.3654,98
2,1.8832048004379078,1.6271361684799195,0.418,196
3,1.76995391839621,1.5266176319122315,0.4518,294
4,1.688057148030826,1.455882568359375,0.4729,392
5,1.613127779595706,1.3830862164497375,0.5039,490
6,1.541967834136924,1.3202684211730957,0.5256,588
7,1.4718650473015649,1.2572496712207795,0.554,686
8,1.4157367369958334,1.205436909198761,0.5735,784
9,1.345812853805873,1.1459348112344743,0.5973,882
10,1.300173234422596,1.1012967950105668,0.6129,980
11,1.2365551087625173,1.0588311547040938,0.6262,1078
12,1.2013852004798091,1.011776594519615,0.6425,1176
13,1.1529195801335939,0.9837602031230926,0.6568,1274
14,1.0981950907378781,0.9385782533884048,0.673,1372
15,1.0538565583375035,0.8993475222587586,0.6855,1470
16,1.0141321674597508,0.8710982465744018,0.6996,1568
17,0.9752776853892268,0.8395400458574295,0.7084,1666
18,0.9595388832445048,0.8213885325193405,0.7173,1764
19,0.9162957090504316,0.7974431574344635,0.7242,1862
20,0.8788948992685396,0.7722151446342468,0.7356,1960
21,0.8702998588583908,0.7401668041944504,0.7479,2058
22,0.8391292852406599,0.7244231876730919,0.747,2156
23,0.8091302162834576,0.7085799080133438,0.7565,2254
24,0.8002728161459066,0.6873318552970886,0.7649,2352
25,0.7687558157711613,0.6857475626468659,0.767,2450
26,0.7548150514461556,0.6633179646730423,0.7748,2548
27,0.7300395346721824,0.651369457244873,0.7808,2646
28,0.7180884074495764,0.6454951032996178,0.7805,2744
29,0.7037282275150016,0.621844123005867,0.789,2842
30,0.6916141836922995,0.6084788462519646,0.7942,2940
31,0.6730122922786644,0.6141002780199051,0.7961,3038
32,0.6659207125859601,0.6006187209486962,0.7947,3136
33,0.6524280946777792,0.5911159458756446,0.8022,3234
34,0.6342715776088287,0.5690093341469765,0.8062,3332
35,0.6217247977548715,0.5741783505678177,0.8058,3430
36,0.6093346364035899,0.565990344285965,0.8076,3528
37,0.603100240382613,0.5543093556165695,0.8148,3626
38,0.5932692221688981,0.5487486380338669,0.8132,3724
39,0.5783225849118768,0.5305838692188263,0.8207,3822
40,0.5689514074854705,0.5202771511673927,0.8272,3920
41,0.5620381451230876,0.524001213312149,0.8256,4018
42,0.5548769275144655,0.5116934886574745,0.8268,4116
43,0.5474395394629362,0.5074296870827675,0.8267,4214
44,0.5354849655865407,0.49906981021165847,0.8317,4312
45,0.529153359179594,0.5055144408345222,0.8285,4410
46,0.522767671897095,0.4950636723637581,0.8323,4508
47,0.5170059464871883,0.4884917275607586,0.8359,4606
48,0.5060438731951373,0.4838663597404957,0.8355,4704
49,0.505262950473294,0.4704147133231163,0.8429,4802
50,0.4966861805593481,0.4798938389122486,0.8369,4900
51,0.4823132561785834,0.4664959543943405,0.8434,4998
52,0.47916311071235307,0.46591266959905625,0.8409,5096
53,0.47333293818697636,0.45855157658457757,0.845,5194
54,0.4700974820523846,0.4624752242863178,0.8453,5292
55,0.4634873069518683,0.4546403902769089,0.8469,5390
56,0.4556373076475396,0.4479946781694889,0.8462,5488
57,0.45278255713685434,0.4473766800761223,0.8482,5586
58,0.43627207384121663,0.4526405768096447,0.8438,5684
59,0.4358974086995028,0.43667637050151825,0.8495,5782
60,0.4366897199378938,0.44166408598423,0.8454,5880
61,0.43115535188390286,0.4342716197669506,0.8526,5978
62,0.41849579365581885,0.4228995698690414,0.8551,6076
63,0.42190638747142284,0.42650534465909007,0.8538,6174
64,0.4145183325270001,0.4298290553689003,0.8532,6272
65,0.41246076046052027,0.4163446637988091,0.8569,6370
66,0.4057601579293913,0.42378847911953926,0.8547,6468
