epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.547364310505464,2.3393054485321043,0.1082
2,1.3014214874542867,2.186373326778412,0.1923
3,1.2508318501034963,2.117076362371445,0.2132
4,1.2282094390121931,2.065243091583252,0.2181
5,1.2185627440201867,2.0404294312000273,0.2449
6,1.1946013726524471,2.0011374819278718,0.2712
7,1.1777246926248688,1.9365723204612733,0.295
8,1.1695831946490967,1.9090576326847077,0.3085
9,1.1432514457973009,1.86297656416893,0.3346
10,1.1253036205301579,1.8286739110946655,0.3445
11,1.1175251934946198,1.8164761316776277,0.3468
12,1.0920402530542355,1.7940107667446137,0.3531
13,1.0778569327187293,1.7579784488677979,0.3762
14,1.0664828453481812,1.7161177062988282,0.3899
15,1.0516106305048638,1.7064205980300904,0.3968
16,1.048295817731582,1.7138707196712495,0.3901
17,1.0246206985920976,1.6853812527656555,0.3989
18,1.0202592196538276,1.6479511606693267,0.4085
19,1.0034319097848283,1.643737233877182,0.4108
20,1.001654924498391,1.6034282279014587,0.4306
21,0.9863119785933151,1.6000433552265168,0.4322
22,0.971528086772899,1.5909230518341064,0.433
23,0.969691997950839,1.5828040051460266,0.4386
24,0.966471864390619,1.570868762731552,0.4432
25,0.9513990206202281,1.545019097328186,0.4486
26,0.9339124652528271,1.530756025314331,0.4578
27,0.930627688919146,1.5155302941799165,0.467
28,0.9229363593244061,1.5056238341331483,0.4704
29,0.9082206275659738,1.4716214513778687,0.481
30,0.8991673650200834,1.4575394201278686,0.4824
31,0.8948567982801457,1.4369206500053406,0.4886
32,0.8724384212616793,1.4216985702514648,0.4995
33,0.8871138141941779,1.4323998868465424,0.4982
34,0.851622029831729,1.4095703303813933,0.5052
35,0.8556359563906168,1.3941899454593658,0.5075
36,0.8509673135182292,1.3883238184452056,0.5153
