epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
1,1.0294380820003048,2.298546893596649,0.164,0.0004073086893185973
2,1.0286665255653447,2.2946582436561584,0.2394,0.00020137845422141254
3,1.026653279518259,2.290734763145447,0.3158,0.00019714239169843495
4,1.0244370077190728,2.2867103481292723,0.3775,0.00020605698227882385
5,1.0222817844357983,2.282585201263428,0.4232,0.0002031423500739038
6,1.0200909401836067,2.278320508003235,0.4505,0.000219217617996037
7,1.017697630257442,2.273859248161316,0.4589,0.00020746505470015109
8,1.0152184069156647,2.2691548824310304,0.4612,0.00022201630054041743
9,1.012925745598201,2.2642572689056397,0.4608,0.00021354324417188764
10,1.0102022994181206,2.2590354752540587,0.4559,0.00021426672174129635
11,1.0073950845619728,2.2534857392311096,0.4534,0.000228350269026123
12,1.0040988074294452,2.2474935936927793,0.4477,0.0002373479655943811
13,1.0012691416617097,2.2411122488975526,0.4434,0.00024911470245569944
14,0.9975733834094015,2.2342643332481384,0.4398,0.0002672460686881095
15,0.9936666036474293,2.2268008732795717,0.4362,0.0002573993115220219
16,0.9902599392266109,2.2187650990486145,0.4333,0.0002773595042526722
17,0.9851775976090595,2.209893937110901,0.4277,0.00028421790921129286
18,0.9807623347331738,2.2002577567100525,0.4242,0.0003002554876729846
19,0.9756542660039047,2.1898498153686523,0.4218,0.00030360009986907244
20,0.9705269737490292,2.1784500813484193,0.4208,0.0003152992867399007
21,0.9638448311337109,2.1659759211540224,0.4191,0.0003352205967530608
22,0.9576386172195961,2.152320673465729,0.4172,0.00034956185845658183
23,0.9507659365390909,2.1374719524383545,0.4172,0.00035729550290852785
24,0.9425612790831204,2.121322093009949,0.417,0.0003700420493260026
25,0.935253232717514,2.1037685656547547,0.4172,0.0004090631555300206
26,0.9267423296796864,2.0847101080417634,0.4186,0.00040151330176740885
27,0.9150631818278082,2.063888967037201,0.4204,0.00042658153688535094
28,0.9047973947278385,2.041394691467285,0.4214,0.00043792068026959896
29,0.8928008924784332,2.01707635641098,0.423,0.00045246307854540646
30,0.8805708949422014,1.991039115190506,0.4254,0.0004983756807632744
31,0.8678744756456079,1.9633258068561554,0.4297,0.0004972498281858861
32,0.8542497836310288,1.9337829089164733,0.4336,0.0005192752578295767
33,0.8376739957723124,1.9026892721652984,0.4375,0.0005274465074762702
34,0.8208943813525397,1.8698388016223908,0.4429,0.0005457244697026908
35,0.8072441736685818,1.8355873870849608,0.4492,0.0005461113760247827
36,0.7893360085014639,1.7999660575389862,0.4594,0.0005451766774058342
37,0.7722168744638048,1.7632069671154023,0.4702,0.0005613007815554738
38,0.7542744453611046,1.7255125033855438,0.4822,0.0005831648013554513
39,0.7393681591954725,1.686780902147293,0.4974,0.0005805170512758195
40,0.7181471131485084,1.6470556223392487,0.5147,0.000571621407289058
41,0.7008328337607712,1.6069854974746705,0.5325,0.0005808293353766203
42,0.6824889493913486,1.5664518439769746,0.5504,0.0005864024860784411
43,0.661743821255092,1.5259563493728638,0.565,0.0005887675797566772
44,0.6451904966399588,1.4849472320079804,0.5811,0.0005945143639110029
45,0.6262108013033867,1.4438533473014832,0.6022,0.0005977534456178546
46,0.6093938345539158,1.4036493623256683,0.6196,0.0005895243375562131
47,0.592084169644734,1.3635993885993958,0.6356,0.0005895295762456954
48,0.5698582320634661,1.3245774257183074,0.647,0.000587072572670877
49,0.5578707155996355,1.2861158847808838,0.6634,0.0005697530577890575
50,0.5393786646168808,1.2486811274290084,0.6753,0.0005657869041897357
