epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
1,1.0320832775584583,2.30372807264328,0.0652,0.00042785622645169497
2,1.0321854260461083,2.302848904132843,0.0783,0.00021438547992147505
3,1.0317544243459045,2.3019729042053223,0.0933,0.00020805964595638216
4,1.0312712439175309,2.3010933899879458,0.113,0.0002167897910112515
5,1.0307797856371979,2.3002151226997376,0.1376,0.00021099903096910566
6,1.0303999781608582,2.299338357448578,0.1627,0.00022405739582609385
7,1.0298540134882104,2.2984583282470705,0.1876,0.0002082172140944749
8,1.0293632730327804,2.2975728249549867,0.2079,0.00021948787616565824
9,1.0289133946443427,2.296699767112732,0.2231,0.00020597013644874096
10,1.028449877068914,2.295818884372711,0.2366,0.00020137558749411255
11,1.0280400170334454,2.294937403202057,0.2464,0.00020798716286662966
12,1.0274621494885148,2.294047272205353,0.2553,0.00021030376956332475
13,1.0270908233420601,2.293161551952362,0.2605,0.0002136075054295361
14,1.026548793089801,2.2922753405570986,0.2663,0.00022218354570213705
15,1.0260285884141922,2.291380934715271,0.2699,0.0002055875229416415
16,1.0256590406442512,2.2904882264137267,0.2741,0.00021405921143013984
17,1.025096350188913,2.289583125114441,0.2757,0.00021255647880025208
18,1.0246068244350368,2.288675591945648,0.2776,0.00021529168589040637
19,1.0241465655894115,2.2877726411819457,0.279,0.00020844511163886636
20,1.0237732920153388,2.2868627977371214,0.2801,0.00020646066695917398
21,1.0231262712643063,2.2859477257728575,0.282,0.00021285295952111483
22,1.0228305433330864,2.2850266289711,0.2837,0.00021362036932259798
23,1.0222509236171329,2.2841063737869263,0.2854,0.00020953280909452587
24,1.0217630169514953,2.2831811046600343,0.2865,0.00020979477267246693
25,1.0214371563031757,2.2822535109519957,0.2878,0.00022183996043168008
26,1.0209752007805069,2.281320245265961,0.2904,0.0002080114936688915
27,1.0202653330975566,2.280373170375824,0.2933,0.0002139881980838254
28,1.0198523109329158,2.279420852661133,0.2938,0.00021065959299448878
29,1.0192664882232403,2.278455557823181,0.2944,0.00021118286531418562
30,1.0188197329126556,2.2774877667427065,0.2961,0.0002273807767778635
