epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
1,2.180880723370088,2.167120794057846,0.3115,0.009815928526222706
2,1.6718504428863525,1.9531486427783966,0.4331,0.003825404681265354
3,1.4366207992708362,1.7775374245643616,0.4892,0.0036965073086321354
4,1.2764889106557176,1.628076695203781,0.5211,0.002571866847574711
5,1.1578618859922565,1.5041606879234315,0.5433,0.0023001383524388075
6,1.06567704798402,1.3969581019878388,0.562,0.002245955867692828
7,0.9913350975996739,1.3027550423145293,0.5801,0.002488111611455679
8,0.9294268366050076,1.2222409456968308,0.5955,0.002005030168220401
9,0.8774041060257602,1.1524494487047194,0.616,0.002232417929917574
10,0.8322399921111159,1.0913114422559738,0.6303,0.002284485613927245
11,0.7931515491894774,1.036478596329689,0.6512,0.0016534927999600768
12,0.7586242800226083,0.9867962265014648,0.6687,0.00233325338922441
13,0.728200675265209,0.9443843594193458,0.6836,0.0020435508340597153
14,0.700872629276804,0.9049854958057404,0.702,0.0018239682540297508
15,0.6765571273863316,0.8710751128196716,0.716,0.0020140644628554583
16,0.6547832795091577,0.83905508518219,0.7279,0.001716514932923019
17,0.6347465714490091,0.8121386328339577,0.7386,0.0016753309173509479
18,0.6164251773341282,0.7849374777078628,0.7502,0.0022091995924711227
19,0.5999728036490647,0.7617306512594223,0.7577,0.0013851831899955869
20,0.5847437512632963,0.7417082557082176,0.7661,0.0020169273484498262
21,0.5707459623950559,0.722871156334877,0.7727,0.0014286102959886193
22,0.5577727636775455,0.7034437000751496,0.7813,0.0015651907306164503
23,0.5456606076174492,0.6867886605858803,0.7874,0.0018289544386789203
24,0.5345776190830244,0.6709041093289853,0.7923,0.001676878659054637
25,0.5240899790581819,0.6569436696171761,0.7989,0.0014893404440954328
26,0.5144156213547733,0.6438073186576366,0.8037,0.0016230072360485792
27,0.5053781700899472,0.6306292426586151,0.8077,0.001353201107122004
28,0.4966578790666284,0.6201142516732215,0.8106,0.001371521269902587
29,0.48864190824128484,0.6096591144800186,0.8132,0.0014061570400372148
30,0.48109968187841207,0.5993905992805958,0.817,0.0011225423077121377
31,0.4738707388373646,0.5886036667227745,0.8204,0.0013090954162180424
32,0.4671354413636633,0.5809313428401947,0.822,0.0015671714209020138
33,0.4604989942666647,0.5715837445110082,0.8257,0.0013244475703686476
34,0.4544706244927806,0.5633468700200319,0.8286,0.0020777909085154533
35,0.4482945243047701,0.5555202385783196,0.8313,0.001502903294749558
36,0.4431477557565715,0.5485736096650362,0.8338,0.001216419506818056
37,0.4377645434358636,0.5423491877317429,0.8364,0.0011869566515088081
38,0.43274946953799276,0.5359084528684616,0.8384,0.0012530181556940079
39,0.4279236418975366,0.5291645616292954,0.8404,0.0016415233258157969
40,0.4231253202903915,0.5238454812020064,0.8417,0.0014806472463533282
41,0.418540493862049,0.5173718408495188,0.8436,0.0017079260433092713
42,0.414531776127783,0.511708262488246,0.8455,0.0014363662339746952
43,0.4103010164926181,0.5058414368331432,0.8479,0.0011400447692722082
44,0.40634974021766634,0.5006242208182812,0.8498,0.001449357601813972
45,0.40267168609677134,0.4956767798960209,0.8507,0.0014398100320249796
46,0.3988941854520424,0.4914307233691215,0.8514,0.0012295960914343596
47,0.39528681413346045,0.48697589136660097,0.8524,0.0011515984078869224
48,0.3917487191187369,0.48215269804000854,0.8547,0.0014335153391584754
49,0.3886850171193883,0.47834682539105416,0.8561,0.0012414969969540834
50,0.3853317772516528,0.4742127570509911,0.8573,0.0011535210069268942
51,0.38220364217822617,0.46998326767235993,0.8587,0.0012524003395810723
52,0.3792079811966097,0.46677695378661155,0.8591,0.0016390857053920627
53,0.37641236996529875,0.46310785453766584,0.8611,0.001188761438243091
54,0.37344010113864334,0.4590553483739495,0.8618,0.0014736129669472575
55,0.3707678574766662,0.45582476019859314,0.8628,0.0013576606288552284
56,0.36798790635893475,0.45257986802607775,0.8636,0.002158032963052392
57,0.3655718076168685,0.449170345403254,0.8647,0.0011416360503062606
58,0.36299485813927007,0.44608423169702294,0.8661,0.0015634710434824228
