epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
1,2.4446944014446155,2.393126895427704,0.1386,0.007489448878914118
2,2.246651572150153,2.3125921630859376,0.1661,0.005392562132328749
3,2.113638734495318,2.252023231983185,0.2016,0.004830855876207352
4,2.0106267433714224,2.1982564401626585,0.2404,0.004114801064133644
5,1.9238268994801753,2.1473593521118164,0.2797,0.003410850651562214
6,1.8472290010871113,2.0983946323394775,0.3118,0.0037159740459173918
7,1.778421681877729,2.050633490085602,0.3372,0.004012543708086014
8,1.7157168557515015,2.00481574177742,0.3594,0.0034552800934761763
9,1.6586904247870315,1.9605398631095887,0.3764,0.003950836602598429
10,1.6059142488080103,1.9181663656234742,0.3919,0.0033631089609116316
11,1.557569173542229,1.877473316192627,0.4065,0.0029482650570571423
12,1.5126120802518483,1.8385613822937013,0.4182,0.003555867588147521
13,1.4711579668360788,1.8014454710483552,0.4285,0.0031558361370116472
14,1.4325452467074264,1.7655452752113343,0.4381,0.002843671478331089
15,1.3965979427904696,1.731378743648529,0.4484,0.0031469513196498156
16,1.3632505145427343,1.6986246120929718,0.457,0.002606879221275449
17,1.3317878995392773,1.6673009431362151,0.4652,0.002553959609940648
18,1.302048072621629,1.6369852757453918,0.4727,0.0029136158991605043
19,1.2743382224360027,1.6080042219161987,0.4807,0.002389312721788883
