epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
1,2.4446944014446155,2.393126895427704,0.1386,0.007489448878914118
2,2.246651572150153,2.3125921630859376,0.1661,0.005392562132328749
3,2.113638734495318,2.252023231983185,0.2016,0.004830855876207352
4,2.0106267433714224,2.1982564401626585,0.2404,0.004114801064133644
5,1.9238268994801753,2.1473593521118164,0.2797,0.003410850651562214
6,1.8472290010871113,2.0983946323394775,0.3118,0.0037159740459173918
7,1.778421681877729,2.050633490085602,0.3372,0.004012543708086014
8,1.7157168557515015,2.00481574177742,0.3594,0.0034552800934761763
9,1.6586904247870315,1.9605398631095887,0.3764,0.003950836602598429
10,1.6059142488080103,1.9181663656234742,0.3919,0.0033631089609116316
11,1.557569173542229,1.877473316192627,0.4065,0.0029482650570571423
12,1.5126120802518483,1.8385613822937013,0.4182,0.003555867588147521
13,1.4711579668360788,1.8014454710483552,0.4285,0.0031558361370116472
14,1.4325452467074264,1.7655452752113343,0.4381,0.002843671478331089
15,1.3965979427904696,1.731378743648529,0.4484,0.0031469513196498156
16,1.3632505145427343,1.6986246120929718,0.457,0.002606879221275449
17,1.3317878995392773,1.6673009431362151,0.4652,0.002553959609940648
18,1.302048072621629,1.6369852757453918,0.4727,0.0029136158991605043
19,1.2743382224360027,1.6080042219161987,0.4807,0.002389312721788883
20,1.2482010581203409,1.5803298211097718,0.4855,0.0030443465802818537
21,1.2234595357566267,1.5537513077259064,0.4907,0.002374830190092325
22,1.2000720029747165,1.5278165745735168,0.4975,0.0026130988262593746
23,1.1777829658743497,1.503066998720169,0.5034,0.002506884513422847
24,1.1568219869120702,1.4790058171749114,0.5083,0.002591602271422744
25,1.1367192854349677,1.4558757257461548,0.5148,0.0023699451703578234
26,1.1175059652006305,1.4335071074962615,0.5201,0.002289380645379424
27,1.099392579012626,1.411843649148941,0.5254,0.002195549663156271
28,1.0818337918938816,1.3910464024543763,0.5302,0.002583930268883705
29,1.0651938403780397,1.3711171120405197,0.5341,0.002307375194504857
30,1.0491975634484678,1.3517970442771912,0.5394,0.002289519878104329
31,1.0337014528545174,1.3327426880598068,0.5455,0.0021792056504637003
32,1.0190901059556652,1.3146180784702302,0.551,0.002202494302764535
33,1.0047037136313077,1.2969101881980896,0.557,0.002091831061989069
34,0.9911390204687376,1.2796164828538894,0.5621,0.002215795684605837
35,0.9779061157558415,1.2631202661991119,0.5667,0.0020995258819311857
36,0.9655489849077689,1.246939160823822,0.5715,0.0018048235215246677
37,0.9531848883709392,1.2312942564487457,0.5773,0.001954715233296156
38,0.941399858207316,1.2163140964508057,0.5828,0.002174055203795433
39,0.929953657493398,1.2013872116804123,0.587,0.002364474581554532
40,0.9188409256371292,1.1871327525377273,0.5922,0.00212082895450294
41,0.9080213664754017,1.1732907450199128,0.5963,0.0019650303293019533
42,0.8978652513107738,1.1597012227773666,0.6019,0.002255945233628154
43,0.8877902866618054,1.1464733129739761,0.6069,0.0018005252350121737
44,0.8781757372859362,1.1335199743509292,0.611,0.001918894937261939
45,0.8687642933549108,1.1211362612247466,0.6155,0.001892058295197785
46,0.8595922379880339,1.1089820551872254,0.6211,0.0019972319714725018
47,0.8507144189364201,1.0970588666200638,0.6258,0.0019074006704613566
48,0.8421821966767311,1.0854927623271942,0.6305,0.0019492035498842597
49,0.8338658328394633,1.0743236482143401,0.6352,0.0017910024616867304
50,0.8254500728201222,1.0634889912605285,0.6397,0.001716831000521779
51,0.817560650609635,1.0527508014440536,0.644,0.0018066426273435354
52,0.8099009499356553,1.0425323659181596,0.6488,0.0019332646625116467
53,0.8025890246436402,1.0324324929714204,0.6528,0.0019402803154662251
54,0.7950839829203245,1.0225447100400924,0.6568,0.0018534478731453419
55,0.788017372223171,1.0129189908504486,0.6604,0.0020540247205644846
56,0.7809951126172736,1.003512549996376,0.6636,0.002625193679705262
57,0.7744153371533832,0.9943098866939545,0.667,0.001791941118426621
58,0.7678214253203289,0.9853786718845368,0.6713,0.0020182908046990633
59,0.7612756772621257,0.9767753547430038,0.6735,0.0019260599510744214
60,0.7551180013530964,0.9681853419542312,0.6771,0.002203501295298338
61,0.7490130312539436,0.959813975095749,0.6807,0.0017736352747306228
62,0.7430591150312811,0.9517561277747154,0.6843,0.0019793640822172165
63,0.7371882107612249,0.9438286206126213,0.6878,0.0017651484813541174
64,0.7314640664168306,0.9361167433857918,0.6906,0.0017686209175735712
65,0.7257860655317435,0.9284011042118072,0.6933,0.001931108650751412
66,0.7204490261706146,0.9211717310547829,0.6968,0.0016722293803468347
67,0.7151852598464167,0.9138719603419304,0.699,0.0020512701012194157
68,0.7098692693823093,0.9068362775444985,0.7023,0.0017494349740445614
69,0.704815522641749,0.8998462563753128,0.7048,0.0018987489165738225
70,0.6997963063217498,0.8929377388954163,0.7072,0.0018275154288858175
