epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.477630589157343,2.30210435628891,0.147
2,1.4796304468597685,2.301378812789917,0.1586
3,1.4791341173861707,2.300652244091034,0.1683
4,1.4786891378462315,2.299921143054962,0.1801
5,1.47823314634817,2.299185905456543,0.2072
6,1.4777287654578686,2.2984436178207397,0.2476
7,1.4772759505680628,2.297703585624695,0.2747
8,1.47683226157512,2.2969504308700563,0.298
9,1.476312041814838,2.2961868405342103,0.3154
10,1.4758109567420823,2.295420446395874,0.3303
11,1.4753019022090095,2.2946403408050537,0.343
12,1.4748106833015169,2.2938446021080017,0.3536
13,1.4742879425840718,2.2930355429649354,0.3645
14,1.4737631572144372,2.292211458683014,0.3729
15,1.4732478745281696,2.2913745641708374,0.3808
16,1.4726994133421354,2.2905192232131957,0.3868
17,1.4721532432096345,2.2896431422233583,0.3935
18,1.4715396160525935,2.2887464332580567,0.3989
19,1.4709883582379137,2.287826905250549,0.4036
20,1.4703738412686758,2.2868840098381042,0.4069
21,1.4697801151445933,2.2859138655662536,0.4127
22,1.469201240156378,2.284919066429138,0.4169
23,1.4684960905994688,2.283890678882599,0.4212
24,1.4678510475371565,2.282839138507843,0.426
25,1.4671083481184073,2.2817436599731447,0.4286
26,1.466405209686075,2.28061420917511,0.4328
27,1.465577503932374,2.279442391395569,0.4362
28,1.4649306296237878,2.2782303643226625,0.4386
29,1.4640685133635998,2.27697429895401,0.4424
30,1.4633407300072057,2.275677742958069,0.4464
31,1.4624397403427534,2.274328103065491,0.448
32,1.4615462385118008,2.2729225325584412,0.4507
33,1.4607051376785551,2.2714626574516297,0.4524
34,1.4595453765775477,2.26993684053421,0.4547
35,1.458690786468131,2.268355884552002,0.4567
36,1.4576358507786478,2.266705479621887,0.4572
37,1.4566096988107478,2.2649863171577453,0.4591
38,1.4556094812495368,2.2632011914253236,0.462
39,1.4542921377079827,2.261318941116333,0.4613
40,1.4530865150902952,2.259363896846771,0.4621
41,1.4516625957829612,2.257300934791565,0.4611
42,1.4505044892430305,2.255152418613434,0.464
43,1.4489747232624464,2.252895269393921,0.4636
44,1.4473985092980521,2.2505216336250307,0.464
45,1.44597516687853,2.248039858341217,0.4662
46,1.444405198097229,2.2454323816299437,0.4667
47,1.4424907048898084,2.2426820158958436,0.4662
48,1.4406863200877393,2.2397932529449465,0.4679
49,1.438831872173718,2.2367452812194824,0.4678
50,1.4367047159799509,2.2335338616371154,0.4656
51,1.434315551072359,2.2301396679878236,0.4644
52,1.4323702119290829,2.226550331115723,0.4628
53,1.430048436990806,2.22278395652771,0.4629
54,1.4275099374353886,2.218789849281311,0.4634
55,1.424798782914877,2.2145880389213564,0.4635
56,1.42183423734137,2.210143210887909,0.4617
57,1.4193008126957076,2.2054144024848936,0.4584
58,1.4161576958639281,2.2004635763168334,0.4589
59,1.4129696573529924,2.195220103263855,0.4598
60,1.4090127513876982,2.1896038818359376,0.4585
61,1.405470936958279,2.183698682785034,0.4588
62,1.401829038879701,2.177444541454315,0.4578
63,1.3973239580435413,2.1707899665832517,0.4565
64,1.3924409810985838,2.163725981712341,0.4545
65,1.3886540670480048,2.1562909841537476,0.454
66,1.3836835766477245,2.1483997464179994,0.4522
67,1.3780418091586657,2.1399999141693113,0.4513
68,1.3724473698862962,2.1310822677612307,0.4511
69,1.3668832347861357,2.1216973662376404,0.4503
70,1.3605608197727375,2.1118016171455385,0.4513
71,1.3538326841912098,2.101238098144531,0.4506
72,1.3467691314539738,2.0900794184207916,0.4505
73,1.339904924588544,2.0783657324314118,0.4503
74,1.3313984721899033,2.0659296035766603,0.4524
75,1.3248970628316914,2.052931600809097,0.4547
76,1.3149528822728567,2.039188251495361,0.456
77,1.3061253428459167,2.0247239553928376,0.4592
78,1.2966824785939284,2.00956130027771,0.4622
79,1.2860126311757736,1.9936148715019226,0.4643
80,1.2763736160205943,1.9769431710243226,0.4678
81,1.2646910636020559,1.9595099902153015,0.4704
82,1.2521807117653745,1.9413284540176392,0.4751
