epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.7830688771274354,2.2982574701309204,0.1837
2,1.7860887431436114,2.296179828643799,0.222
3,1.7843153691954083,2.29408828496933,0.2644
4,1.7826091945171356,2.2919412541389463,0.3016
5,1.7808356550004747,2.289804000854492,0.3342
6,1.7792307635148366,2.287680439949036,0.3607
7,1.7772927069001727,2.2855026865005494,0.3772
8,1.775715207060178,2.283326985836029,0.3939
9,1.7735616912444432,2.2811175966262818,0.4053
10,1.771862632698483,2.278838596343994,0.4184
11,1.770464186867078,2.2765339255332946,0.4309
12,1.7687129759126239,2.274200809001923,0.4376
13,1.7664890868796244,2.2717895889282227,0.4447
14,1.764581948518753,2.2693101215362548,0.4541
15,1.7626140200429492,2.2667810201644896,0.4608
16,1.7607632295952902,2.2642059898376465,0.4677
17,1.758419242170122,2.261546399593353,0.4723
18,1.7566036250856187,2.2588381791114807,0.4746
19,1.7541746778620615,2.256029624938965,0.4821
20,1.7520096550385158,2.2531204199790955,0.4878
21,1.7497993790441089,2.250156590938568,0.4922
22,1.7467155324088202,2.247047507762909,0.497
23,1.744882379968961,2.243853542804718,0.5026
24,1.7423171649376552,2.2405892157554628,0.5035
25,1.7400866167412863,2.237187626361847,0.5071
26,1.7369164692031012,2.2336514139175416,0.5101
27,1.7341065903504689,2.2299770498275757,0.5112
28,1.7311665481991239,2.226203408241272,0.5129
29,1.7280131528774898,2.2222703385353086,0.5095
30,1.7243892517354753,2.2181895923614503,0.509
31,1.7219623625278473,2.21395533323288,0.5118
32,1.7179690053065617,2.209495577812195,0.5116
33,1.7146144426531262,2.204896795749664,0.5146
34,1.7103974339034822,2.2000822234153747,0.5152
35,1.7071273707681232,2.1951017713546754,0.5158
36,1.7033520738283794,2.189914445877075,0.5161
37,1.6981319503651724,2.184478151798248,0.5152
38,1.6946314424276352,2.1788155603408814,0.5156
39,1.6893792119291093,2.1729568791389466,0.5169
40,1.6853552874591615,2.1667218685150145,0.5175
41,1.6805084413952298,2.160297737121582,0.5176
42,1.675187177128262,2.1536176228523254,0.5181
43,1.669559445646074,2.1465460658073425,0.5192
44,1.6632583141326904,2.1391658353805543,0.5186
45,1.6578183389372296,2.1315109443664553,0.5179
46,1.6516033990515604,2.1234799146652223,0.5178
47,1.6453418400552537,2.115106246471405,0.5178
48,1.6386293123165767,2.1063580298423767,0.5186
49,1.6322876902090178,2.0972490870952605,0.5199
50,1.6242671956618626,2.087689906358719,0.5221
51,1.6177619165844388,2.077671241760254,0.5223
52,1.6091711711552408,2.0671888327598573,0.5235
53,1.6013804483744833,2.056240133047104,0.5272
54,1.5908201303746965,2.0447858250141144,0.531
55,1.5816717512077756,2.0328909254074095,0.5292
56,1.572374388575554,2.0203513169288634,0.5282
57,1.5629057048095598,2.0073175120353697,0.528
58,1.5535525820321507,1.9937585127353668,0.5304
59,1.540844850242138,1.9796283841133118,0.5343
60,1.5306353213058577,1.9649296379089356,0.536
61,1.518138507174121,1.9495015847682953,0.5385
62,1.5080733340647485,1.933659977912903,0.5451
63,1.4943513911631372,1.9173350095748902,0.5477
64,1.4816790289349027,1.900266625881195,0.5524
65,1.4674700208836131,1.8825498354434966,0.5597
66,1.454027482204967,1.8643664121627808,0.5656
67,1.4387383709351222,1.8455186939239503,0.5704
68,1.4241584986448288,1.826156920194626,0.5807
69,1.4100369960069656,1.8063949120044709,0.5884
70,1.3914320684141583,1.7859225058555603,0.5957
71,1.3759827663501103,1.76516050696373,0.603
72,1.3593503162264824,1.7437712335586548,0.6091
73,1.3461215239432123,1.7221284997463226,0.6193
74,1.325788212319215,1.7000419461727143,0.6315
75,1.3121255586544673,1.6776814687252044,0.6412
76,1.2951338382230864,1.6550668311119079,0.6498
77,1.2740682860215504,1.632121592760086,0.6586
78,1.2580702669090695,1.6089248657226562,0.6687
79,1.2408278617593977,1.5856768906116485,0.6754
80,1.221820245186488,1.5623028886318207,0.6833
81,1.2032714502678976,1.5390167248249054,0.6943
82,1.1853661114970844,1.5154744207859039,0.7016
83,1.1682979092001915,1.4920651495456696,0.712
84,1.1551395969258413,1.4685997772216797,0.721
85,1.1369861968689494,1.44542729139328,0.729
86,1.1147313805090056,1.4220116591453553,0.7353
87,1.0992271428306897,1.3988884699344635,0.7397
88,1.0790254680646791,1.375949708223343,0.7464
89,1.0614336886339717,1.3533423793315889,0.7516
90,1.0404152729445033,1.3308684438467027,0.7589
91,1.0276815228992038,1.3084523326158524,0.7636
92,1.0119089492493205,1.2866226267814636,0.7681
93,1.0019711603720982,1.264743611216545,0.7753
94,0.9804999261266656,1.2434588706493377,0.7793
95,0.965777492771546,1.222299672961235,0.7865
96,0.9506099683543047,1.2019472366571426,0.7893
97,0.9321658822397391,1.1816242796182632,0.792
98,0.9186010977460278,1.161771780848503,0.7946
