epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.030563324176032,2.2990262365341185,0.1709
2,1.0291002716483741,2.2948043012619017,0.2165
3,1.0269540378759647,2.2905613350868226,0.2552
4,1.0245951295926654,2.2862333059310913,0.2886
5,1.0223050857412403,2.2818242001533506,0.3213
6,1.0200358963218228,2.277275836467743,0.3471
7,1.0174727753318589,2.272540097236633,0.3624
8,1.014964841049293,2.2675740480422975,0.3758
9,1.0125730978003864,2.262414696216583,0.3865
10,1.009808567577395,2.256946573257446,0.3964
11,1.0068364600683082,2.2511531805992124,0.4045
12,1.003499644069836,2.2449305200576783,0.4073
13,1.000611399268282,2.2383214330673216,0.4118
14,0.9968417297149527,2.2312406396865843,0.4154
15,0.9928425113702642,2.2235484290122987,0.4181
16,0.9894309141512575,2.2152915835380553,0.4209
17,0.9844671236029987,2.2062489652633666,0.421
18,0.9799186299587118,2.196435420513153,0.4221
19,0.9748383637132316,2.185847833156586,0.4242
20,0.969732492648322,2.1743273735046387,0.4256
21,0.9631055793885527,2.161695969104767,0.4272
22,0.9569182781309917,2.1479359817504884,0.4301
23,0.9500605001531798,2.132971856594086,0.4339
24,0.9418895044203462,2.11666846036911,0.4361
25,0.9343687529707777,2.098916623592377,0.4395
26,0.9257559362670471,2.07958611369133,0.4447
27,0.9142365990013912,2.0584588408470155,0.4474
28,0.9039538107041655,2.0355493783950807,0.4497
29,0.8916328176856041,2.010651295185089,0.4526
30,0.8794137486096086,1.9838475906848907,0.4571
31,0.866563328638159,1.9551461946964264,0.4612
32,0.8523135788995644,1.9243303668498992,0.4666
33,0.8352858262329266,1.8917075884342194,0.4701
34,0.8180155281362862,1.8570415997505187,0.4748
35,0.8031875786596331,1.820784991979599,0.4843
36,0.7846566127805874,1.7830196022987366,0.4923
37,0.7664985399821709,1.7440490341186523,0.4998
38,0.747434475041669,1.7042429077625274,0.5107
39,0.7313326114210589,1.663563381433487,0.5244
40,0.709864287797747,1.622113744020462,0.5391
41,0.6917019167850758,1.5807064223289489,0.5551
42,0.6723881715844418,1.5391442024707793,0.5744
43,0.6516225373950498,1.4981495141983032,0.592
44,0.634825926659436,1.4570096254348754,0.6057
45,0.6159664132985575,1.4161207246780396,0.624
46,0.5992114166247433,1.3765918600559235,0.6386
47,0.5822975361912415,1.337471673488617,0.6542
48,0.5608541451651474,1.2997509294748306,0.6639
49,0.5490385594552961,1.2627561002969743,0.6775
50,0.5313701158196762,1.2269585275650023,0.6891
51,0.5168123178440949,1.192925507426262,0.6984
52,0.5038103927569143,1.1597365778684616,0.7072
53,0.49046243508828097,1.1278342235088348,0.7111
54,0.4759947471320629,1.0973741209506989,0.7166
55,0.4635978603157504,1.0680709373950958,0.7242
