epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.0960300153699414,2.2680057168006895,0.2717
2,1.071988482927454,2.2329591035842897,0.2585
3,1.046281483152817,2.1943862223625183,0.2906
4,1.0182180977587043,2.149802222251892,0.3337
5,0.9866603916061336,2.095087248086929,0.3791
6,0.9512379896538011,2.0278653585910797,0.421
7,0.9092307216648398,1.947734364271164,0.4627
8,0.8597869441427034,1.8545110988616944,0.4936
9,0.8063168882809836,1.7506185126304628,0.5181
10,0.7515200921173754,1.6420281147956848,0.5438
11,0.6931324745046681,1.5334169137477875,0.5723
12,0.6416845054462038,1.4270617353916168,0.5962
13,0.5921619826092802,1.327152532339096,0.6289
14,0.5494879522714121,1.2365627998113633,0.6616
15,0.5090857365264975,1.1537531048059464,0.6873
16,0.4734004534267146,1.0796618562936784,0.7095
17,0.44537608338327245,1.0126634228229523,0.7235
18,0.4171076920525781,0.9522923046350479,0.7365
19,0.3931297842284729,0.9011502659320831,0.7475
20,0.37289567574344834,0.8545553576946259,0.7594
21,0.3517328767298624,0.8149406734108925,0.7686
22,0.33891218412539054,0.7779641819000244,0.7794
23,0.32150280456347713,0.743851107954979,0.7928
24,0.3106315615105218,0.7135389125347138,0.804
25,0.29799417309976856,0.6878595957159996,0.8123
26,0.2876317373894412,0.6645090201497078,0.817
27,0.2772291259005152,0.6411220289766788,0.8248
28,0.2703461894315892,0.62155781686306,0.831
29,0.25991128012537956,0.6012831707298756,0.838
30,0.2554970891696626,0.5853317114710808,0.8411
31,0.24440375876067014,0.5712885428965092,0.8431
32,0.2427038174636405,0.5564211940765381,0.8484
33,0.23594409439327388,0.5422921925783157,0.8531
34,0.23103047839911847,0.530279585570097,0.8547
35,0.22453074003088064,0.5192015153169632,0.857
36,0.22329819536414638,0.5080598014593124,0.8604
37,0.21576570986031457,0.49632639430463316,0.8649
38,0.21369691999179535,0.4875664143264294,0.8662
39,0.20937730378374972,0.47872591711580753,0.8685
40,0.20759354149601583,0.4713638350367546,0.8701
41,0.20298156826275177,0.4630389621853828,0.8723
42,0.19554600575617676,0.45652991861104963,0.8737
43,0.19758452414053268,0.4488727956265211,0.8767
44,0.19216235739917592,0.4420628812164068,0.8776
45,0.1906687848526856,0.4359753561764956,0.8792
46,0.1888889380698574,0.4306363857537508,0.8797
47,0.1852427107956389,0.42420830242335794,0.8818
48,0.18350448597479482,0.4214548754692078,0.8823
49,0.18196757426806565,0.41648013979196546,0.8827
50,0.18058718968953552,0.41038807228207586,0.8838
51,0.17568518121823154,0.4067748372256756,0.8845
52,0.17773469434729938,0.40293296609073875,0.8853
53,0.17350742461737886,0.3985980448126793,0.8859
54,0.17234915360037623,0.39520703747868535,0.8869
55,0.17134130460306488,0.3902037816867232,0.8876
56,0.1705979871531499,0.3876301344111562,0.8884
57,0.16793892856944223,0.38448872659355404,0.889
58,0.16704487190421285,0.38011186093091964,0.8898
59,0.16542160366501274,0.37822546876966956,0.8906
60,0.16351202339062404,0.3737997258082032,0.892
61,0.16493813504047436,0.3721178813278675,0.8927
62,0.16335935209845676,0.36805086690932515,0.8933
63,0.16164535740069275,0.36564799416810273,0.8941
64,0.16284086844273682,0.36312897577881814,0.8954
65,0.15970674134662438,0.3612555988878012,0.8955
66,0.1586210429347281,0.35881096344441177,0.8962
67,0.1552675892438354,0.3558500153198838,0.8964
68,0.1558656117975198,0.35358198300004007,0.8969
69,0.15418754379939417,0.3518500566110015,0.8978
70,0.15205138716204414,0.34850894682109357,0.8982
71,0.15233619438869686,0.3469176486507058,0.8995
72,0.15259462761981735,0.34428510908037424,0.8995
73,0.1505423050116876,0.3425777694955468,0.8999
74,0.14971804185288734,0.340453856177628,0.9012
75,0.14935091870098277,0.338781418222934,0.9016
76,0.14900264619239445,0.33867657005786894,0.9013
77,0.14696390936472292,0.3356094706058502,0.902
78,0.14713785450520186,0.33356050923466685,0.9027
79,0.14501881085593124,0.3328297179751098,0.9028
80,0.14373973721702551,0.3307486901059747,0.9031
81,0.1457630523705277,0.3286806479841471,0.904
82,0.1415553959568256,0.3271102080121636,0.9041
83,0.14437747788454952,0.32670021776109937,0.9047
84,0.14217879661712154,0.3246587754227221,0.9057
85,0.1418533326961614,0.32322114819660785,0.9056
86,0.14051307431133142,0.3211207400634885,0.9063
87,0.13915864827817884,0.3203292448073626,0.9067
88,0.1376962293870747,0.31893058996647594,0.9074
89,0.13893183279011784,0.31761670580133794,0.9072
90,0.1375548540261285,0.3175848587043583,0.9078
91,0.1382546591700922,0.3138426036387682,0.9094
92,0.1384452836074192,0.3131906843930483,0.909
93,0.13538625184446573,0.3122635797224939,0.9092
94,0.13542353188426332,0.3105334004573524,0.9098
95,0.13536946257126742,0.309502141661942,0.91
96,0.13485791084581408,0.3087415714748204,0.9099
97,0.13285610680307808,0.3065242616087198,0.9107
98,0.13482929107829414,0.30600548004731537,0.9106
99,0.13350162147704897,0.30430681163445117,0.9113
100,0.13287380384281278,0.3034704559110105,0.9119
101,0.13139974577994695,0.3023616348579526,0.9124
102,0.1321578899334217,0.3013149621710181,0.9127
103,0.13304437452863002,0.2997538178041577,0.9136
104,0.13314803350909515,0.2993293385207653,0.9139
105,0.13037793837680384,0.2984898111410439,0.9139
106,0.1316331919796508,0.2973986899480224,0.9146
107,0.12960162309223208,0.29600589245557785,0.9147
108,0.13026545156628408,0.2952332020178437,0.914
109,0.1287042103739905,0.29409892700612544,0.9153
110,0.12768215281439238,0.2917453972436488,0.9154
111,0.12755655140840802,0.2915866906754673,0.9156
112,0.12819034164642978,0.29094575949013235,0.9158
113,0.12548842424012976,0.2887215396761894,0.9174
114,0.12474098605713968,0.2884461536072195,0.9171
115,0.12419474532763505,0.28793412894010545,0.917
116,0.12637437767638215,0.2870186906121671,0.9178
117,0.12475885091156795,0.2857408244162798,0.9183
118,0.12525179657828192,0.2849242170527577,0.9182
119,0.12311473919142937,0.28441024651750924,0.9185
120,0.12349378418755429,0.28369140742346644,0.918
121,0.12383362837135792,0.2827364587597549,0.9188
122,0.12161330331181144,0.2812163170892745,0.9192
123,0.12125388712718568,0.28111713714897635,0.9189
124,0.12338679791267576,0.2797856609988958,0.9195
125,0.12430182091313703,0.27868144632317127,0.9198
126,0.12048110876489303,0.27838018505834045,0.92
127,0.11993432175046925,0.2771252382453531,0.92
128,0.12086901434793554,0.2760566196683794,0.9201
129,0.12012188253795793,0.2759340673498809,0.9196
130,0.12128256691683983,0.27509393156506123,0.9199
131,0.11857400999950438,0.27442146465182304,0.9203
132,0.11918400163794386,0.27418187994509935,0.9198
133,0.12096468767087007,0.2731887170858681,0.9205
134,0.11884173139094792,0.2718597699236125,0.9204
135,0.11687713119618852,0.27216539249755445,0.9204
136,0.11879599608224013,0.2704213405773044,0.9208
137,0.11662163169540722,0.2705174586176872,0.9207
138,0.11823695239707313,0.2691619938146323,0.921
139,0.11906542470036395,0.26841329885646703,0.9212
140,0.11793648467623982,0.2681342145334929,0.9214
141,0.11582671691952594,0.26743830425664783,0.9213
142,0.11869217079646628,0.26666823418810964,0.9218
143,0.11527222422240622,0.26590126362629235,0.922
144,0.11633380484799373,0.26487681965343657,0.9219
145,0.11406293689626558,0.2642541586700827,0.9223
146,0.11388471887992888,0.2634079638309777,0.9227
147,0.11585582718895428,0.261987180961296,0.9231
148,0.11185322652153414,0.2615770014654845,0.9229
149,0.11578283606675165,0.2613193687982857,0.9235
150,0.11411189178711381,0.2614577504619956,0.9225
151,0.11342070731816106,0.25989432602189483,0.924
152,0.11437289330080666,0.2582947784848511,0.9239
153,0.11139267575445361,0.25785307938233015,0.9235
154,0.11037234637629369,0.2588892988394946,0.9234
155,0.11126949803518324,0.25773622741922736,0.9244
156,0.11055532134748225,0.2561214170884341,0.9243
157,0.11219531263963416,0.2555499988142401,0.9244
158,0.11011022782145903,0.2553473956696689,0.9243
159,0.11038238039754074,0.255510058645159,0.9241
160,0.10891533211066291,0.25427650117315354,0.9256
161,0.1115489861735239,0.2534419715963304,0.9252
162,0.10825843248387863,0.2528265292290598,0.9251
163,0.10800978115856133,0.25291719563305376,0.9247
164,0.1092157606035471,0.25230125698260963,0.9256
165,0.10947357521167603,0.25137392855249346,0.9262
166,0.10729360662336493,0.25049536280333995,0.9256
167,0.10788189236010456,0.2499250652268529,0.9258
168,0.10597987461770916,0.24944055495783687,0.9265
169,0.10762283562457767,0.24876022761687636,0.9267
170,0.10716639357972248,0.24931713148951531,0.9262
171,0.10483917414114394,0.24801199994049966,0.9266
172,0.10670820024699487,0.24711815319024028,0.9267
173,0.10502838230980881,0.24601254830136896,0.9272
174,0.10416147779223733,0.24609712889418006,0.9273
175,0.1064720558612768,0.24421047310344876,0.9279
