epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.8803957237137688,2.2873056292533875,0.2436
2,0.876546655455206,2.2741473793983458,0.2733
3,0.8711554504867292,2.2603392481803892,0.2916
4,0.8654752969741821,2.2455609130859373,0.3072
5,0.8590800395378699,2.229068729877472,0.3231
6,0.8523954168344156,2.210948052406311,0.3364
7,0.8445873387858401,2.190475265979767,0.3455
8,0.8359729204422388,2.167017412185669,0.3688
9,0.8262246006574386,2.1400179958343504,0.3904
10,0.8151510582010971,2.1088859152793886,0.4118
11,0.8020320677349709,2.0722983372211456,0.4371
12,0.7864823155423515,2.029629145860672,0.462
13,0.7688961344906408,1.9800067710876466,0.4853
14,0.7487503167910453,1.9227509999275207,0.5074
15,0.7263375670991393,1.8579424250125884,0.5294
16,0.699160837719583,1.784414929151535,0.5507
17,0.6701492863333123,1.7031809341907502,0.5767
18,0.6396925844188429,1.6170713126659393,0.6042
19,0.6074465477568471,1.5289572167396546,0.6312
20,0.5738106721486801,1.4398540484905242,0.6623
21,0.5403703359457163,1.353789851665497,0.6854
22,0.5099458984839611,1.271567059159279,0.715
23,0.47895127483922195,1.1944672405719756,0.7347
24,0.4512808557249542,1.1227076929807662,0.7549
25,0.42879421410397583,1.0577183133363723,0.7721
26,0.40325609550007385,0.9985759079456329,0.7833
27,0.38133213331556726,0.9447050219774247,0.7956
28,0.36117570828168816,0.8962182301282883,0.8021
29,0.34522439475752353,0.8529757204651832,0.8084
30,0.3308848881313944,0.8124576422572136,0.8164
31,0.31717310349146527,0.7772970640659332,0.8222
32,0.30233047393142665,0.7453375923633575,0.828
33,0.2902913372486065,0.716131263077259,0.8311
34,0.2805960112147861,0.6892809677124023,0.8368
35,0.27241495047879016,0.665934587419033,0.8401
36,0.2617276568188627,0.6437161427736282,0.8444
37,0.25655795003359133,0.6245791539549828,0.847
38,0.24511529225060066,0.606185548901558,0.8493
39,0.2390581068192792,0.5895283377170563,0.8542
40,0.2354500987208807,0.5736659103631974,0.8563
41,0.22919687565065858,0.5595722472667695,0.8596
42,0.2232555837458016,0.5464064553380013,0.8624
43,0.2172116260880079,0.5334886415302753,0.8648
44,0.21205923152275574,0.5219097703695297,0.8671
45,0.2177016166412932,0.5120985986292362,0.8691
46,0.21033023743547943,0.503044800311327,0.87
47,0.20977516389555398,0.49311102740466595,0.8724
48,0.2089164281884829,0.48520714335143567,0.873
49,0.21288726396030852,0.47661315217614175,0.8761
50,0.20660613903887246,0.4698785762488842,0.876
51,0.20709347801330763,0.4626390305906534,0.8774
52,0.19354025357299381,0.4557339657843113,0.8786
53,0.1899473490113886,0.4492060909420252,0.881
54,0.18380794916142765,0.44317130275070665,0.8814
55,0.18230716909608272,0.4370643222332001,0.8821
56,0.17902138466254255,0.43201122649013995,0.8831
57,0.17598346346973354,0.4268917427957058,0.8844
58,0.17112634426508194,0.42102255947887895,0.8861
59,0.1667223695633758,0.41690024100244044,0.886
60,0.16772162627715334,0.4113644192740321,0.8879
61,0.17331061569543985,0.40790451105684045,0.8894
62,0.17283036922797182,0.40401226714253424,0.89
63,0.16447845238268885,0.39925764326006175,0.891
64,0.16070193463029006,0.3956125966459513,0.8913
65,0.16211392010888487,0.39245088066905737,0.8911
66,0.1602155606970828,0.38881769046187403,0.892
67,0.1578851617936395,0.3861020676419139,0.8925
68,0.15790439492616898,0.3822680664807558,0.8931
69,0.15360876710878477,0.37910337556153534,0.8931
70,0.15124705160020765,0.3759584733843803,0.8935
71,0.1534648433837116,0.37343808978796006,0.8947
72,0.15042515968283016,0.3705362827703357,0.8945
73,0.153151540324474,0.36762038998305796,0.8946
74,0.14812095794412825,0.36520206328481436,0.8949
75,0.1476842612664924,0.3633671033754945,0.8947
76,0.14784910045882577,0.36056673657149074,0.8962
77,0.14565990222060782,0.3581395497173071,0.8971
78,0.14616724606762582,0.3555413776636124,0.897
79,0.14761456420533678,0.353821347206831,0.8986
80,0.14381554327968854,0.35250720284879206,0.8987
81,0.1415904114643733,0.35022600818425415,0.8989
82,0.1432218039965528,0.34776286996901035,0.8993
83,0.1431313578644369,0.34597466353327033,0.8996
84,0.1381481945132598,0.3442192692309618,0.8998
85,0.14129222216259718,0.3423267013952136,0.9008
86,0.13850848768384028,0.34055678360164165,0.9008
87,0.13944136803476218,0.33875858314335344,0.9013
88,0.137218536156365,0.3372726281359792,0.901
89,0.13602741365121984,0.3355414534546435,0.9012
90,0.13633351273134223,0.3340840470790863,0.9021
91,0.1345181215204235,0.332948042396456,0.9026
92,0.13477580892479318,0.3311154696345329,0.9025
93,0.13330597057938576,0.32994514221325516,0.9026
94,0.13531094633488572,0.32856698231771586,0.9036
95,0.1340095562239488,0.326543274987489,0.9035
96,0.13097590360886008,0.3253140842542052,0.9041
97,0.13050769804379878,0.3238504856824875,0.9046
98,0.13143229309437623,0.3229792119935155,0.9048
99,0.13187963353135648,0.32172503888607024,0.9052
100,0.12594754681882694,0.3205767201445997,0.9058
101,0.12739535360636875,0.31915032234042884,0.9059
102,0.12769653094120514,0.3175607968308032,0.9069
103,0.12808073398012385,0.3165445819683373,0.9073
104,0.12742913237366923,0.31589986484497784,0.9075
105,0.12754996111377692,0.31418510265648364,0.9079
106,0.12714767761719534,0.3129083930887282,0.9089
107,0.12614476043953857,0.3115470774099231,0.9088
108,0.1260348823017035,0.31089243488386276,0.9094
109,0.1262178672557203,0.3094516705349088,0.9095
110,0.12078930488508992,0.3084350265003741,0.9102
111,0.12254073547247128,0.3072605910524726,0.9102
112,0.12415055905142403,0.3063753782212734,0.9107
113,0.12334769142743869,0.30588891794905065,0.9109
114,0.1212503208627558,0.3042495073005557,0.9109
115,0.12280270183443004,0.30401853803545237,0.9104
116,0.12302985440334702,0.30254239078611134,0.9119
117,0.12003171291106786,0.3014490521512926,0.9115
118,0.12389843895012496,0.3000815955363214,0.9133
119,0.12187932508114055,0.2994706378877163,0.9126
120,0.12065742349522744,0.2985499719530344,0.9128
121,0.11842705073774369,0.2973123030923307,0.9138
122,0.12173701848229794,0.29643458396196365,0.9137
123,0.12266397788229152,0.2962128696963191,0.9141
124,0.11833862425425114,0.29433302303776143,0.9152
125,0.12158847195852517,0.29340188739821316,0.9153
126,0.1173339075384996,0.29268658028915523,0.9156
127,0.11787899529449962,0.29183880819007757,0.9153
128,0.1196232034991949,0.2913823171518743,0.9153
129,0.11673165501182915,0.2902561346068978,0.9165
130,0.11560415543424778,0.2894050413928926,0.916
131,0.11505452804585808,0.28868219183757904,0.9164
132,0.11516547843049733,0.28798717390745876,0.9162
133,0.11928150724842507,0.28679826388135554,0.9169
134,0.11606475631268616,0.28617883345112205,0.9162
135,0.11437013920428409,0.28525044141337275,0.9168
136,0.11719535100154388,0.2846134301275015,0.9179
137,0.11396042665100506,0.28404865372925997,0.9175
138,0.11554519961086604,0.2831762895360589,0.9174
139,0.11517754838698441,0.28245656137354674,0.9178
140,0.11299373617029598,0.2815838395897299,0.918
141,0.11261682046784294,0.280814277138561,0.9182
142,0.11179233316937062,0.2801072730869055,0.9188
143,0.1135095016569154,0.27939676569774746,0.9191
144,0.11407649400843003,0.2788704639021307,0.9187
145,0.11091335881979038,0.27802722628228366,0.9189
146,0.11294234001165271,0.27698038790374996,0.919
147,0.1111666929677256,0.2760202618688345,0.9199
148,0.1095855838786333,0.27577925158664585,0.9199
149,0.11033729255263114,0.275172458877787,0.9204
150,0.11342640593647957,0.27402860917150973,0.9212
151,0.10883723239167632,0.27339445499703285,0.9209
152,0.11183164539372821,0.27277375761419537,0.9214
153,0.11119841010524674,0.2721559044532478,0.9216
154,0.10688181310637383,0.27130039310082793,0.9215
155,0.1085268835035654,0.27065678872168064,0.9217
156,0.1076988899586802,0.26991085468791426,0.9222
157,0.11064918285124321,0.26908209554851054,0.923
158,0.10990279871556492,0.26904214575886726,0.9221
159,0.1092600167179719,0.2680552365723997,0.9228
160,0.10797212548299225,0.26724152060225603,0.923
161,0.11001965912998231,0.26690507534891367,0.923
162,0.106866459417929,0.2660057453997433,0.9238
163,0.10676049246874629,0.26561321419663725,0.9232
164,0.107865595123452,0.26483897883445023,0.9234
165,0.10608699924161293,0.2637969329487532,0.9249
166,0.10398256441212106,0.26341934262774885,0.9249
167,0.10755638695425457,0.26303094640374186,0.925
168,0.10576057109313133,0.262103187488392,0.9252
169,0.10322203382085529,0.26132617961615323,0.9255
170,0.10369759323632614,0.2608208635356277,0.9257
171,0.10395454296953659,0.2604405327606946,0.9259
172,0.10349515647205532,0.2592981208767742,0.9262
173,0.10341282672861705,0.25915957655757665,0.9258
174,0.10536331334748329,0.2584332773927599,0.9261
175,0.10265396997077851,0.25769437208771706,0.9265
176,0.10288565511950572,0.2576862213108689,0.926
177,0.1047946617453017,0.2567874046973884,0.9266
178,0.10240048994748002,0.25597178630530837,0.9273
179,0.10126986934079064,0.2555889450479299,0.927
180,0.10087154044682145,0.255155388219282,0.9271
181,0.10097646761016967,0.2542788835894316,0.9272
182,0.1015401500253341,0.2537990748882294,0.9275
183,0.103220801641289,0.2531981335859746,0.9275
184,0.1011195477639508,0.2531991769652814,0.9273
185,0.10339680288591954,0.252039307365194,0.9281
186,0.09893215979393731,0.251704774685204,0.9282
187,0.09775872237216204,0.25161305846646426,0.9281
188,0.09866174011148958,0.2507354608178139,0.9279
189,0.09975639772084025,0.2495222739316523,0.9283
190,0.09834974714451367,0.24929579950869082,0.9286
191,0.10008565419250064,0.24867831837385893,0.9284
192,0.09903359152058251,0.24862849687226116,0.9289
193,0.0999130476425346,0.24776951131410896,0.9288
194,0.09514517160371329,0.24751610523089768,0.929
195,0.10013842235645679,0.24697591342031955,0.9292
196,0.10064333705947948,0.24634551704861224,0.9291
197,0.09598576931808239,0.24583301377482714,0.9298
198,0.10000995533843325,0.24528949652798474,0.9299
199,0.09589248519932103,0.24482912562787532,0.9298
200,0.09719085209390037,0.2443974091950804,0.9301
201,0.09755565447366646,0.2441920627001673,0.93
202,0.09834372569034751,0.24367060913704336,0.93
203,0.09787899548681374,0.24288608033210038,0.9308
204,0.09654413881655942,0.2424357862584293,0.931
205,0.09520131979997343,0.24188061645254494,0.9298
206,0.0945345303760125,0.24153987641446292,0.9309
207,0.09583534480223799,0.2409867314994335,0.9308
208,0.0955087111100682,0.2404516643099487,0.9303
209,0.09502594354443061,0.23993416600860656,0.9314
210,0.09698170022322582,0.2396864596195519,0.9317
211,0.09586332300598294,0.2392283130530268,0.9312
212,0.09314547698849286,0.23798093313351273,0.9317
213,0.09339389233635022,0.237760821133852,0.9314
214,0.09314321583280198,0.23725797371938825,0.9313
215,0.09683053507509394,0.23694233236834406,0.9319
216,0.09493659882463962,0.23625461847521365,0.9319
217,0.09426302867185356,0.23556342324241997,0.9321
218,0.09397667062142467,0.23556988629512488,0.9322
219,0.0942076305166269,0.2349902285449207,0.9324
220,0.09364814766579205,0.2341876986809075,0.932
221,0.09290946459668314,0.23351877919398248,0.9321
222,0.093831051268384,0.23354284037835896,0.9322
223,0.09226537158346584,0.23270498301833867,0.9323
224,0.09296307516976808,0.2324413306452334,0.9324
225,0.09352328426117061,0.23194008143618702,0.9328
226,0.09313028474521434,0.23148822312243283,0.9327
227,0.09100555060192561,0.23111101559363306,0.9328
228,0.09256175166776034,0.23074828730896116,0.9324
229,0.09109183225748888,0.23022287471219896,0.9329
230,0.0898370360239194,0.22942855034023524,0.9334
231,0.08986449413574658,0.22885957501828672,0.9332
232,0.09170787560984363,0.2284404812939465,0.933
233,0.09222602392109032,0.22822751499712468,0.9336
234,0.09040993375655933,0.22795635077171028,0.9338
235,0.0888632451239814,0.22755667795427142,0.9335
236,0.09042063185101391,0.22708180747926235,0.9341
237,0.08923719974600862,0.22637672318145632,0.9343
238,0.09007260055305102,0.2259351785387844,0.9347
239,0.08886011455876704,0.22554014811292292,0.9347
240,0.08862539608445433,0.22498808921314775,0.9342
241,0.09012996242978634,0.22476322490721942,0.9347
242,0.0896611784099259,0.22392726711928845,0.935
243,0.08862781379785802,0.2233281319681555,0.9353
244,0.08955372998920771,0.2228861008863896,0.9349
245,0.08760914056856409,0.22248734616674481,0.9347
246,0.08795189494505908,0.2220134687796235,0.9356
247,0.0896480821678017,0.22169032397679986,0.9352
248,0.08786236013994259,0.2211715544713661,0.9352
249,0.08937296288836206,0.22110067090950905,0.9358
250,0.08705586053303674,0.22059109644964336,0.9364
251,0.08794414572035655,0.22032347228843718,0.9357
252,0.08782222863828015,0.2201284517161548,0.936
253,0.08891227967145607,0.2193917449750006,0.9361
254,0.08587676929867166,0.2190708397421986,0.9363
255,0.08661015475025544,0.21857584426179527,0.9358
256,0.08497167100063246,0.218120376188308,0.9368
257,0.08519984369412957,0.21754651919938625,0.937
258,0.08640176540192886,0.21710879156831653,0.937
259,0.08546609987114741,0.21666522666811944,0.9371
260,0.08443172443180512,0.21650536980479956,0.9376
261,0.08444756129358567,0.21606487648561598,0.9378
262,0.08601358136496481,0.21571158926002681,0.9376
263,0.08541263807087374,0.21535174861550332,0.9373
264,0.08265056098118806,0.2150759609322995,0.9373
265,0.08601366811328466,0.21443633406423032,0.9373
266,0.08501151912551153,0.21414121271576733,0.9377
267,0.08413912451420075,0.2136977512948215,0.9379
268,0.08486062878917937,0.2136022348375991,0.9382
269,0.08359365579154757,0.21310204671230168,0.938
270,0.08381146684480018,0.21279542616568506,0.9384
271,0.08224828167157805,0.21224080733954906,0.938
272,0.08372239899049456,0.21187220116611571,0.9383
273,0.08143999453029062,0.21151904980186373,0.9385
274,0.08006143199009265,0.21104232639074325,0.9385
275,0.08202083708129379,0.21076453196350486,0.9385
276,0.08035730744083212,0.21025266176089644,0.9384
277,0.08223033869941518,0.20989888433832676,0.9386
278,0.0847936276282765,0.20953823294956236,0.9385
279,0.08386339560851583,0.20912494951859117,0.9391
280,0.08012590621016984,0.20888333600014447,0.9388
281,0.08361307154290186,0.20847252092324198,0.9394
282,0.08261934577081448,0.20807850994169713,0.939
283,0.08084276175269715,0.20797524092718958,0.9392
284,0.08084742111973782,0.20741507086902858,0.9395
285,0.08103802249345006,0.20683262253645807,0.9395
286,0.07982297931025681,0.20650870621670037,0.9389
287,0.08307623247114512,0.2061949251545593,0.9394
