epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.5000847727060318,2.205540020465851,0.219
2,0.4583817770547956,2.0970235407352447,0.3086
3,0.42182420639791224,1.9630272889137268,0.3818
4,0.3845221177439823,1.809488891363144,0.4547
5,0.34690743350537023,1.652202035188675,0.546
6,0.31078334062177443,1.4992113161087035,0.6002
7,0.2777196378490635,1.353725506067276,0.6355
8,0.24939225001312862,1.2207662159204482,0.6676
9,0.2256251955840075,1.1025927531719208,0.693
10,0.20413699133373867,1.008174765110016,0.7107
11,0.18815526954620798,0.9188508194684982,0.7341
12,0.1731884442269802,0.8493677714467048,0.7528
13,0.16191722685906373,0.7915120595693588,0.7675
14,0.15105673085863344,0.7409853893518448,0.7825
15,0.14379815015698147,0.6995270663499832,0.7959
16,0.13629530206601195,0.6619798064231872,0.8087
17,0.12860444647686503,0.6326134733855724,0.815
18,0.12397774169656718,0.6057652126252652,0.8242
19,0.11973654652867362,0.5818985714018345,0.8316
20,0.11610391560210803,0.557950035482645,0.842
21,0.11183541792088023,0.5429788742959499,0.8452
22,0.10780292986152328,0.5254822827875614,0.8508
23,0.10442288125926089,0.5107528230547905,0.855
24,0.103752475388557,0.49930385157465934,0.8567
25,0.10093259924552708,0.4881585067510605,0.8598
