epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.5566872127594487,2.2397936153411866,0.1651
2,0.5190023006931428,2.173797376155853,0.2007
3,0.48814136020598875,2.0869486951828002,0.2521
4,0.45713457272898766,1.9818791079521179,0.3072
5,0.42707725936366664,1.864510155916214,0.374
6,0.394377375225867,1.743773934841156,0.4234
7,0.36632448281011276,1.6205853140354156,0.4861
8,0.3379879433301187,1.4993129909038543,0.5414
9,0.31260987106830845,1.382339346408844,0.5959
10,0.2891535835881387,1.2784703093767167,0.6341
11,0.2668704576069309,1.1805800449848176,0.6798
12,0.24888835578195512,1.0958510792255403,0.7122
13,0.23158154468382558,1.016744816303253,0.7462
14,0.21910559895538514,0.9481995350122452,0.7687
15,0.2043162307431621,0.8900725653767586,0.7831
16,0.19141069958286902,0.8383595216274261,0.7967
17,0.18232354685183494,0.7941045036911965,0.8057
18,0.17338545005167685,0.7536829295754433,0.8177
19,0.16504502157049794,0.7168555867671966,0.8266
20,0.15672921115352262,0.6855652767419815,0.8323
21,0.15319730221263825,0.66016417324543,0.8371
22,0.14822761546219548,0.6343381172418594,0.8424
23,0.1428644049552179,0.6127301165461541,0.8464
24,0.13727633044604332,0.5945133888721466,0.8514
25,0.13148085732133158,0.5774902735650539,0.855
26,0.13064281474198064,0.5609576292335987,0.8585
27,0.1254654509405936,0.5468530432879924,0.8618
28,0.12433506334500928,0.5337086264789105,0.8651
29,0.12069243827173787,0.5213713102787733,0.8666
30,0.11823190676589165,0.511556304693222,0.8685
31,0.11505878978679257,0.49950407512485984,0.8705
32,0.11260021850466728,0.48955403953790666,0.8732
33,0.11245410627415103,0.48063702523708346,0.8767
34,0.10905424628046251,0.471946190148592,0.8781
35,0.1073124501974352,0.4632914070785046,0.8795
36,0.10614048213728013,0.4553365768492222,0.8806
37,0.10604004338383674,0.44950341537594796,0.8817
38,0.10314406082034111,0.44384921416640283,0.8827
39,0.10013737238703235,0.43882117472589016,0.8829
40,0.10034559924275645,0.43221440955996515,0.8845
41,0.098920069562812,0.42650553580373524,0.8855
42,0.09670896869032614,0.4191274531558156,0.8876
43,0.09687176801023945,0.41384339578449725,0.8891
44,0.09511759112919531,0.40960826870054007,0.8891
45,0.09373338739237477,0.406771206445992,0.8893
46,0.09286567811523715,0.40239723544567824,0.8907
47,0.09149953783039123,0.3974529944360256,0.8912
48,0.09090425694181073,0.3942558801546693,0.8926
49,0.09084159873666302,0.38931451689451935,0.8937
50,0.08910612579314939,0.3855504896864295,0.8947
51,0.08972875879656884,0.3827391739189625,0.8945
52,0.08710344847171538,0.3786974211037159,0.8961
53,0.08766928654043905,0.37615959443151953,0.8965
54,0.0874052441168216,0.371566316075623,0.8971
55,0.08811851840826773,0.36897280514240266,0.8977
56,0.08553116970485257,0.36605504997074606,0.8983
57,0.08440644685779848,0.3620067762956023,0.8986
58,0.08544301991501162,0.35959582548588515,0.8996
59,0.08367716212186121,0.3573732102662325,0.9004
60,0.08332281545285256,0.3539045616239309,0.9011
61,0.08307148929565183,0.35190561432391404,0.9014
62,0.08286449308356932,0.34975571542978284,0.9022
63,0.0810406818264915,0.34799309823662045,0.9027
64,0.0816113184176145,0.34531391771510245,0.9033
65,0.08026146452513433,0.3422593466192484,0.9042
66,0.07987897904409516,0.34228886077180504,0.9048
67,0.07878654882792503,0.34150075340643526,0.9042
68,0.0799641149178628,0.33731997897848487,0.9054
69,0.07685631248018433,0.3358579785935581,0.9062
70,0.0788843224726377,0.33189990133047104,0.9062
71,0.07763366973207843,0.32975871669128537,0.9076
72,0.07598429960348914,0.3302353655174375,0.9085
73,0.07714209458039653,0.3272652045451105,0.9087
74,0.0765568898209641,0.32481720024719835,0.9089
75,0.07476020051587012,0.3232672377116978,0.9084
76,0.076337944692181,0.32205855298787356,0.9088
77,0.07241295942616079,0.3206919905170798,0.9097
78,0.07576794732482203,0.31876563373953104,0.9102
