epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.3746586778225043,2.099948148727417,0.465
2,1.2327206012530205,1.8851429903507233,0.6013
3,1.0819091177903688,1.6401349806785583,0.6642
4,0.9236833450631199,1.3940271365642547,0.6964
5,0.7783992883996067,1.1818265330791473,0.723
6,0.6646991331353147,1.012824238538742,0.7447
7,0.5754628182731123,0.8841968739032745,0.7622
8,0.510522186374053,0.7862445488572121,0.7793
9,0.45753008127212524,0.711122578382492,0.7983
10,0.4230635802969973,0.6517712014913559,0.8144
11,0.39167688073765516,0.6048049913346767,0.829
12,0.3656949277362253,0.5699163606762886,0.8365
13,0.3475453579145619,0.5339506520330906,0.8522
14,0.3290294832271388,0.5105562247335911,0.8566
15,0.31547199234239054,0.4861840977519751,0.8637
16,0.301046300583925,0.46595183067023754,0.8714
17,0.2937365258988152,0.44970373198390007,0.8768
18,0.2825949859733765,0.4351184678822756,0.8804
19,0.2741719058308846,0.42226320192217826,0.8844
20,0.2675367812506663,0.41121392268687484,0.8865
21,0.25936618281735313,0.4007884743437171,0.8902
22,0.2539087790900316,0.39085821993649006,0.8925
23,0.24957233412652954,0.3819970849901438,0.8957
24,0.24452437797927448,0.3752190862223506,0.896
25,0.2399019682700308,0.36641621246933936,0.8996
26,0.23630319341507733,0.36095848623663185,0.8998
27,0.2341738421883848,0.35386575624346733,0.902
28,0.22876571762001413,0.34807639714330435,0.9044
29,0.22362376590315095,0.3435041208006442,0.9043
30,0.2243576383807211,0.33946002235636114,0.9047
31,0.21657107655818647,0.3341134163364768,0.9078
32,0.21609875200013828,0.3295192285999656,0.9078
33,0.21252304589391774,0.32613964153453706,0.9098
34,0.21310779687940565,0.3217715105228126,0.9097
35,0.20808445678180099,0.3179368202202022,0.9104
36,0.20899836400635222,0.31599961353465916,0.9101
37,0.2037785142723821,0.3117125021666288,0.9117
38,0.2028445112399566,0.30873118905350566,0.9124
39,0.19970550279841465,0.3055024946480989,0.9125
40,0.1979527213316188,0.3026501620002091,0.9134
41,0.1965767443498485,0.29975248811766503,0.9145
42,0.19543520195616615,0.297267995737493,0.9152
43,0.19415066633214298,0.2946920590288937,0.9168
44,0.19113048408021274,0.291690285038203,0.9175
45,0.19044412551527348,0.28943397020921113,0.9176
46,0.18737322550553542,0.28756903668865563,0.9177
47,0.18641065525957662,0.28601320976391437,0.9185
48,0.18532529728025451,0.2830794507265091,0.9195
49,0.18406016615211454,0.2804709384776652,0.9203
50,0.18394682311222085,0.2792477497085929,0.9201
51,0.18246825959565294,0.27772981942631303,0.9213
52,0.18039249988575268,0.2750675182510167,0.9215
53,0.17755325565226057,0.27196763950400055,0.9228
54,0.17493946883731928,0.2713740446418524,0.9236
55,0.17410596918601257,0.2698622072301805,0.9231
56,0.17370319398295167,0.26809359073638916,0.9235
57,0.17146181361351767,0.2668342692218721,0.9229
58,0.1689813709539226,0.26480236086063086,0.924
59,0.16996496183495235,0.26206300352700057,0.925
60,0.16902164317285404,0.2613883706741035,0.924
61,0.16880938667071682,0.2586786912288517,0.9254
