epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.404473083284166,2.3019579648971558,0.1302
2,1.4061404927571615,2.3010551857948305,0.1545
3,1.4057119761572945,2.3000722241401674,0.1795
4,1.4051184760199653,2.2990752482414245,0.2059
5,1.4045675139957003,2.298074359893799,0.2308
6,1.4039270999696518,2.297067837715149,0.2547
7,1.403372112380134,2.2960598158836363,0.283
8,1.4027468670739067,2.2950449180603028,0.3089
9,1.4021099339591132,2.2940170264244077,0.3295
10,1.401482804086473,2.2929825019836425,0.351
11,1.400864028930664,2.291937608718872,0.3688
12,1.4002761279212104,2.290881314277649,0.3846
13,1.399545396169027,2.2898132944107057,0.3967
14,1.3988963635762535,2.2887274384498597,0.4106
15,1.3982858732011583,2.287631595134735,0.4207
16,1.397610652181837,2.2865240836143492,0.4314
17,1.3969981590906781,2.2853973412513735,0.4419
18,1.3962265867657133,2.2842451238632204,0.4523
19,1.3955323706732856,2.283079228401184,0.462
20,1.3947480191124813,2.281884024143219,0.4667
21,1.3940531826019287,2.280670816898346,0.4721
22,1.3933769157197742,2.2794262528419496,0.4787
23,1.3926189215977987,2.2781649923324583,0.4856
24,1.3918320046530828,2.2768724942207337,0.4906
25,1.391105007065667,2.275551073551178,0.4965
26,1.3902743959426878,2.2742028403282166,0.5037
27,1.3893087736765546,2.2728060460090638,0.5078
28,1.3885905742645264,2.2713806366920473,0.5107
29,1.3876831701066759,2.269919455051422,0.5148
30,1.3867701297336155,2.2684164381027223,0.5193
31,1.3859137392044067,2.2668748664855958,0.5226
32,1.3850153859456382,2.265290093421936,0.5291
33,1.383869029151069,2.2636560511589052,0.5324
34,1.3830513424343533,2.2619731187820435,0.5357
35,1.3819078885184393,2.2602407240867617,0.5388
36,1.3809125354554919,2.2584556007385252,0.5438
37,1.3795570113923814,2.256604263782501,0.5455
38,1.3786762370003598,2.2546990847587587,0.5482
39,1.3775062354405718,2.2527342510223387,0.5513
40,1.3761802048153349,2.2506967854499815,0.5553
41,1.375192509227329,2.2486014485359194,0.5605
42,1.373786370489332,2.2464296889305113,0.5628
43,1.3723605770534941,2.244178743362427,0.5644
44,1.3709313472112021,2.2418481802940367,0.5667
45,1.369627168973287,2.239432141780853,0.5708
46,1.367972035937839,2.2369285869598388,0.5723
47,1.3663644472757979,2.234325864315033,0.5746
48,1.3648423692915175,2.2316162943840028,0.5777
49,1.363352690272861,2.2288266706466673,0.5804
50,1.3615756289164225,2.2259267282485964,0.5818
51,1.3597056272294787,2.2229113674163816,0.5841
52,1.3578524737887914,2.2197824931144714,0.586
53,1.3558754889170328,2.2165209889411925,0.5887
54,1.353768508699205,2.2131196737289427,0.5901
55,1.3520873112148708,2.20960419178009,0.593
