epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.464893882091229,2.278228988647461,0.2732
2,1.450800398985545,2.252045476436615,0.3686
3,1.4325640491950205,2.2224937105178832,0.426
4,1.4122283876451673,2.187414252758026,0.4784
5,1.3859699867729447,2.143740961551666,0.522
6,1.3532590703067617,2.088564313650131,0.5596
7,1.3135472742410808,2.01880757689476,0.5958
8,1.2629498220407047,1.9312078952789307,0.6246
9,1.2003666144660394,1.8237515008449554,0.643
10,1.1271021490932531,1.697591290473938,0.6641
11,1.0414527911915736,1.558558429479599,0.6818
12,0.9513951333669516,1.4163161778450013,0.7013
13,0.8647852621526798,1.2804231256246568,0.7302
14,0.7811307856160351,1.1585740107297897,0.7573
15,0.711478145331399,1.0533619743585587,0.7785
16,0.649678425783785,0.9653371322154999,0.7908
17,0.6008953536168122,0.8906263384222984,0.8023
18,0.5578895644244986,0.8277530565857887,0.8124
19,0.5213605341238853,0.7746995884180069,0.8228
20,0.49071792990733415,0.7293103516101838,0.8321
21,0.4630070951504585,0.6905845841765403,0.8368
22,0.44134913028305406,0.6564018642902374,0.8428
23,0.42009266434062237,0.626658648699522,0.8478
24,0.4004768010897514,0.601106389015913,0.8527
25,0.3869221597018404,0.5774777954816819,0.8563
26,0.3725502587791181,0.5577302318811417,0.859
27,0.36263906057828516,0.5384195406734943,0.8627
28,0.35249261513479757,0.5215500599145889,0.8653
29,0.34390422612683386,0.5069615022838115,0.8683
30,0.33111153925076514,0.4931541593372822,0.8711
31,0.320344492347322,0.4806573496758938,0.8735
32,0.31299709124315495,0.4685003700852394,0.8767
33,0.3072719354278002,0.45766597248613833,0.879
34,0.30056996955576115,0.4490442907810211,0.8806
35,0.2982499154969159,0.43971239812672136,0.8826
36,0.3024969159537911,0.4317291186004877,0.8841
37,0.30027018926846677,0.42387675657868384,0.8857
38,0.31135592794316447,0.4163904473185539,0.887
39,0.3039254595517603,0.4096984238922596,0.8884
40,0.28710932552050317,0.40383216470479966,0.8898
41,0.2679952734555953,0.397903596162796,0.8907
42,0.260923067569478,0.39250424861907957,0.8914
43,0.2588435675725978,0.3875892404094338,0.8925
44,0.2534251862611525,0.38160327311605213,0.8943
45,0.25040839134882653,0.37778348702937364,0.8942
46,0.2496418208202235,0.37309743467718365,0.8956
47,0.2465925734076235,0.36897828973829744,0.8965
48,0.24336133320998934,0.36512823693454266,0.8981
49,0.24166973393697005,0.36148899391293526,0.8994
50,0.23874156428580612,0.35768955141305925,0.9001
51,0.23505298038705802,0.35415538962930443,0.9007
52,0.23532222001216346,0.3507401582598686,0.9006
53,0.2281963866936345,0.34766872428357604,0.9017
54,0.22995007305573195,0.34475488279014826,0.9015
55,0.22820118747842622,0.3420177759602666,0.9026
56,0.22614145988964632,0.33969226900488136,0.904
57,0.22325908965789354,0.3366447088867426,0.9043
58,0.22211758827424452,0.3335857321694493,0.9057
59,0.22306427302268836,0.3315572799742222,0.9053
60,0.21756118650619805,0.32874351512640715,0.9058
61,0.21752926009969833,0.3274050657078624,0.9059
62,0.214000527961896,0.3244593291543424,0.9072
63,0.21372117118066192,0.3224937685020268,0.9076
64,0.21283764197912994,0.3205052430555224,0.9087
65,0.21255540026304048,0.31866861559450627,0.909
66,0.21047301459898293,0.3170005889981985,0.9098
67,0.20996059541009424,0.31417561311274766,0.9099
68,0.20887101148692971,0.3121984182484448,0.91
69,0.20560527908114287,0.31073307370766995,0.9103
70,0.20575750469524634,0.3088453936576843,0.9111
71,0.2036414621795854,0.3066968318074942,0.9123
72,0.2029204184874001,0.30564502405002714,0.9118
73,0.20019752490851614,0.30439033135771754,0.9121
74,0.19893424437405208,0.3022357764840126,0.9128
75,0.19859305216779566,0.3008557157404721,0.9136
76,0.19766533311106205,0.29856696661561727,0.9137
77,0.1969434288449777,0.2975014027953148,0.9138
