epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.6184501260773748,2.2995149540901183,0.1544
2,0.6182023149270278,2.2967419743537905,0.2001
3,0.6172946635474508,2.293976814746857,0.2232
4,0.6162795261440114,2.291146981716156,0.235
5,0.6153961200999398,2.288289813995361,0.2363
6,0.6145188752402608,2.2854072737693785,0.2343
7,0.6135692086994139,2.282418944835663,0.2374
8,0.6125421152155623,2.279338710308075,0.2369
9,0.6116290224923028,2.276157696247101,0.2359
10,0.6106883893665086,2.2728966808319093,0.2445
11,0.609468647557446,2.2694449853897094,0.2459
12,0.6083688883699923,2.2658597660064697,0.2386
13,0.6072059584479047,2.2621204471588134,0.2375
14,0.6058874130249022,2.258176717758179,0.2364
15,0.6047933412413312,2.254062967300415,0.2387
16,0.6033925684089335,2.2497256898880007,0.2382
17,0.6015536723992763,2.245101070404053,0.2349
18,0.6001911815415081,2.240182647705078,0.2327
19,0.5985219646722842,2.2349722266197203,0.2317
20,0.5966472518749726,2.2294513368606568,0.2319
21,0.5952160811831808,2.223605580329895,0.2343
22,0.5926861931116153,2.2173221564292906,0.2332
23,0.5909585647093943,2.2106780910491945,0.2383
24,0.5886231477443988,2.203592436313629,0.2399
25,0.5866858872592958,2.1961362624168395,0.2437
26,0.5836804590673528,2.1881208395957947,0.248
27,0.580746181245543,2.1795778703689574,0.254
28,0.5792696814761202,2.170598886013031,0.2661
29,0.5759849059276092,2.1610697412490847,0.2756
30,0.5723886464396093,2.150907871723175,0.2859
31,0.568876251960412,2.1401491451263426,0.2984
32,0.565422559905256,2.1287328219413757,0.3105
33,0.5623862185539343,2.116711208820343,0.3233
34,0.5586738976148459,2.1039807546138762,0.3431
35,0.5544909664198884,2.090572576522827,0.3629
36,0.5496386228463589,2.076356302499771,0.3774
37,0.5463971668838435,2.061422574520111,0.3979
38,0.5418943757684821,2.045765458345413,0.4184
39,0.5367808879440668,2.029394670724869,0.4337
40,0.5327205502579354,2.012275037765503,0.4488
41,0.5272456384622134,1.9941854548454285,0.4633
42,0.5211777147064861,1.975552235841751,0.4765
43,0.5146088047414763,1.9560178899765015,0.4865
44,0.5106553460797694,1.9354014551639558,0.4994
45,0.5048218300709357,1.9141134107112885,0.5107
46,0.4994525871215722,1.892086647748947,0.5184
47,0.49375448445988523,1.869300446510315,0.5266
48,0.48646939539501804,1.8455710017681122,0.5338
49,0.48181175268613374,1.8214879596233369,0.5412
50,0.47342805067698157,1.7965989816188812,0.5447
51,0.4669565960892246,1.7709331369400025,0.5504
52,0.4598178292951013,1.7445930516719819,0.5549
53,0.4525364143216712,1.7176882994174958,0.5594
54,0.44600345028771293,1.6901417076587677,0.5641
55,0.4364027001409449,1.6621995425224305,0.5687
56,0.4305570787853666,1.6335164761543275,0.5741
57,0.4219558356154678,1.6040968334674834,0.5776
58,0.4130799658278115,1.574935199022293,0.583
59,0.40904088611276734,1.5453730082511903,0.5902
60,0.3978392520012,1.515563349723816,0.5994
61,0.3921091890233195,1.4856646835803986,0.6077
62,0.3840695701093756,1.4558259522914887,0.6167
63,0.3759444292284485,1.4262405943870544,0.6269
64,0.3687843536464577,1.3969347095489502,0.6361
65,0.36158795183540415,1.3677993309497833,0.6458
66,0.3527330348634312,1.3385792422294616,0.6558
67,0.3465250873158121,1.3106856483221054,0.6661
68,0.3401682823896408,1.2831165754795075,0.674
69,0.3343018115076244,1.2554459857940674,0.6839
70,0.3253472106069581,1.2283372920751572,0.6942
71,0.3201196335065059,1.2022707277536393,0.6987
72,0.31387312048011357,1.176774849295616,0.7071
73,0.3073816405147569,1.1520765495300294,0.7135
74,0.2992692314661466,1.127927569746971,0.7174
75,0.2953480847625651,1.1041250294446945,0.722
76,0.2861866884761386,1.0816146498918533,0.7281
77,0.2799464632303287,1.0590697187185287,0.7359
78,0.27761527220917565,1.0377432531118393,0.7394
79,0.2720891640991227,1.0169073665142059,0.7458
80,0.26735591761067384,0.997203369140625,0.7492
81,0.2644586126264344,0.9781147986650467,0.753
82,0.2585202850337721,0.959230335354805,0.7569
83,0.25359076490769017,0.9411961150169372,0.7625
84,0.2468655855737181,0.9237548375129699,0.7668
85,0.24322746936072648,0.9073462599515915,0.7706
86,0.2369117033787263,0.8913686835765838,0.7716
87,0.23564979281180942,0.874975009560585,0.7759
88,0.23209572386028415,0.8599422091245651,0.7798
89,0.226407347071884,0.8458127629756927,0.7844
90,0.22460832771582487,0.8318926742672921,0.7857
91,0.21908408084995726,0.8175843378901482,0.7902
92,0.2186292102958402,0.804622631072998,0.7934
93,0.21335032493130773,0.792194008231163,0.7974
94,0.2111713951214766,0.7793412187695503,0.8033
95,0.2072397093487601,0.7671156421303749,0.8059
96,0.206206921965648,0.7567268273234368,0.8052
97,0.20453068359285337,0.7455731531977654,0.8073
98,0.20346311161406022,0.7357896044850349,0.8087
99,0.20509868796564573,0.7252479401230812,0.8149
100,0.20644154049392435,0.7156811752915382,0.817
101,0.20666857617787826,0.706751629114151,0.8185
102,0.2058102362431013,0.6992000997066498,0.8216
103,0.20594249894985786,0.6913193964958191,0.8217
104,0.20254818763997823,0.6838024231791496,0.8242
105,0.20161258442024896,0.6761015087366105,0.8267
106,0.19698507064937523,0.6683794403076172,0.8302
107,0.19385017766657037,0.6600220426917076,0.8308
108,0.1913014843932584,0.6525716805458068,0.8327
109,0.18869160752520603,0.6456049636006356,0.8334
110,0.18591117897094825,0.6380994728207589,0.8376
111,0.18325281359701076,0.6312835630774498,0.8374
112,0.17652716532222226,0.6244456520676613,0.838
113,0.1751058369110792,0.6175352886319161,0.8415
114,0.17663980695681697,0.6115167808532714,0.8427
115,0.17439787904930928,0.6057837764918804,0.8433
116,0.171422893101843,0.6000712391734123,0.8437
117,0.17189192816487744,0.5936842864751816,0.8466
118,0.17121796271739861,0.588868898153305,0.8468
119,0.17249932388464606,0.5836739650368691,0.8482
120,0.17267565454682732,0.5779849816858769,0.85
121,0.17415535647390235,0.5729557552933693,0.8504
122,0.1708530213078882,0.5686454890668392,0.8539
123,0.16752573975131047,0.5638918423652649,0.8538
124,0.16477597020884865,0.5586473861336708,0.8549
125,0.16228451414240735,0.5543179975450039,0.8555
126,0.1570767529754557,0.5501042279601097,0.8561
127,0.1553913498790855,0.5451571749150753,0.8574
128,0.15465133427045286,0.5410398268699645,0.8581
129,0.15325224310414404,0.5367009103298187,0.8587
130,0.1520673005372031,0.5325214923918247,0.86
131,0.1532705863698935,0.5283062194287776,0.8605
132,0.14982456389145973,0.5246599383652211,0.8606
133,0.15159846651248443,0.5203902378678322,0.8628
134,0.15019845675963622,0.5171533860266209,0.8626
135,0.1471039011565029,0.513153941333294,0.8638
136,0.1455415866186476,0.5094938105344773,0.8651
137,0.1434183486888551,0.5061871562898159,0.8658
138,0.14440221352200222,0.5026239669322967,0.8671
139,0.14442458595985025,0.4994661778211594,0.868
140,0.14424438290616387,0.4959513422846794,0.8692
141,0.14385079764402828,0.49307780623435976,0.8689
142,0.14248784472290266,0.4898314341902733,0.87
143,0.1381623903528238,0.48717369735240934,0.8695
144,0.13905641767713758,0.4840389660000801,0.8702
