epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.1814724226466945,2.3018771266937255,0.0857
2,0.18931651457411344,2.2954734635353087,0.1418
3,0.18551702724128474,2.2883841729164125,0.1751
4,0.1833861382281194,2.2812376403808594,0.1677
5,0.18533857288907785,2.2742740178108214,0.1613
6,0.18366545585335278,2.2669572234153748,0.1587
7,0.18179408815063414,2.259372069835663,0.1586
8,0.18148786195966063,2.2519306683540345,0.1572
9,0.18030083570324007,2.2442210698127747,0.1594
10,0.17905358774740188,2.236530966758728,0.1608
11,0.1777983537462891,2.2285927867889406,0.1635
12,0.1768594403735927,2.2204388070106504,0.1672
13,0.17576603786867173,2.212058367729187,0.1704
14,0.1742266924654851,2.2032827019691466,0.1742
15,0.1733497938171762,2.193873846530914,0.1798
16,0.17254837150456476,2.1844598174095156,0.184
17,0.17091804596244312,2.1744416475296022,0.1888
18,0.16922180427879582,2.164096109867096,0.1953
19,0.16789439662558134,2.1535216212272643,0.2015
20,0.16672486262243302,2.142369480133057,0.2093
21,0.16484339168814363,2.130846931934357,0.2161
22,0.16333440605734215,2.1186318612098693,0.2245
23,0.16205484554415844,2.1062590432167054,0.2297
24,0.16045155315125575,2.0933808410167694,0.2365
25,0.15899724183512515,2.0802324187755583,0.2439
26,0.1570925818847828,2.0665428745746612,0.2493
27,0.15546934111196486,2.0524942016601564,0.2562
28,0.15423150299513927,2.037988671064377,0.2623
29,0.1533493198087958,2.022777582406998,0.2693
30,0.15035034288636973,2.0080540525913237,0.2741
31,0.15065659668113365,1.9927066361904144,0.279
32,0.14889869961093682,1.9768037605285644,0.2845
33,0.14703231182743293,1.9603135335445403,0.2922
34,0.14475784023277094,1.9438662731647491,0.299
35,0.14379650415455708,1.9275783169269562,0.3055
36,0.1420296669983473,1.9107360422611237,0.3147
37,0.13988422309277487,1.8937958621978759,0.3256
38,0.1402100065081823,1.8764974772930145,0.3344
39,0.13741744535624004,1.8595855736732483,0.3444
40,0.1351802717955386,1.8430411803722382,0.3514
41,0.13380067520698563,1.8264982986450196,0.3621
42,0.13196466679944366,1.8097372090816497,0.3738
43,0.13079082770425765,1.792613263130188,0.3806
44,0.13036996120067892,1.7745437932014465,0.3922
45,0.12970896034699972,1.7565857064723969,0.4042
46,0.12770388458595902,1.7383289635181427,0.4193
47,0.12726005105698696,1.7208440816402435,0.4319
48,0.12433024312629075,1.7028913307189941,0.4445
49,0.12355150715982327,1.6846086072921753,0.4587
50,0.12169006931000069,1.6668455588817597,0.4677
51,0.12091106103091943,1.6489372599124907,0.4738
52,0.1196802177878677,1.630572328567505,0.4843
53,0.1184615004868781,1.61252334356308,0.4923
54,0.11676335414169264,1.5944201099872588,0.5025
55,0.11455888820231938,1.575879797935486,0.5175
56,0.11396176233643392,1.5576348114013672,0.5283
57,0.111733543274344,1.540047013759613,0.5346
58,0.11097624394126603,1.52165745139122,0.545
59,0.10964249123315342,1.5035071551799775,0.5567
60,0.10811684192081944,1.4856942653656007,0.5639
61,0.10689600856333482,1.4668951618671418,0.5778
62,0.1060486980637566,1.4484685266017914,0.5854
63,0.10461578756326535,1.4302662813663483,0.5943
64,0.10294668196288288,1.412291738986969,0.6041
65,0.1011719746728901,1.394057412147522,0.6126
66,0.09995131670940118,1.3758689856529236,0.6236
67,0.0990773181079841,1.358052786588669,0.6305
68,0.0970601006487354,1.3398972713947297,0.6372
69,0.09540921382483888,1.3223487418889999,0.6444
70,0.09435352771619304,1.305223000049591,0.652
71,0.09500058865571609,1.286280944943428,0.6642
72,0.09257498108705536,1.2700318640470505,0.6704
