epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.296373732089996,2.138971252441406,0.2392
2,2.5531192833185195,2.119640746116638,0.218
3,2.3870982617139815,2.102690975666046,0.2441
4,2.1743969479203225,2.004867630004883,0.2662
5,2.1407886201143267,1.962510861158371,0.2947
6,2.13234099060297,1.9391967391967773,0.2947
7,2.1208497250080107,1.9258475840091704,0.3023
8,2.1046436950564384,1.8928481984138488,0.318
9,2.0636409750580786,1.8561699557304383,0.3361
10,2.0642418757081034,1.8565960144996643,0.3266
11,2.0407540139555933,1.8288075351715087,0.33
12,2.019055296778679,1.8239178836345673,0.3269
13,2.011537162065506,1.805424987077713,0.3357
14,1.9911307594180108,1.7858067238330841,0.3542
15,1.9851476934552192,1.7638729524612426,0.3687
16,1.9455493727326394,1.7381949257850646,0.3713
17,1.9400874972343445,1.7436073458194732,0.3691
18,1.9442113101482392,1.7216414439678192,0.3816
19,1.928627141714096,1.6932978761196136,0.3888
20,1.9413763332366942,1.6972828662395478,0.387
21,1.885340062379837,1.6543772292137147,0.4071
22,1.889275139272213,1.6571146583557128,0.4068
23,1.8947133189439773,1.6548479747772218,0.4031
24,1.8783689203858376,1.6395624232292176,0.4125
25,1.925645068883896,1.6426352369785309,0.4027
26,1.8777945086359977,1.613258399963379,0.4207
27,1.84086450278759,1.6016550385951995,0.4241
28,1.8448281091451646,1.6019352579116821,0.4254
29,1.8045553174614906,1.567085257768631,0.4359
30,1.8094239345192908,1.570362584590912,0.4313
31,1.837813533246517,1.5789726746082307,0.4258
32,1.8182514381408692,1.574090632200241,0.429
33,1.8060826349258423,1.552671456336975,0.439
34,1.784702925682068,1.5355979561805726,0.4443
35,1.7791404980421066,1.5318946433067322,0.4437
36,1.775068683922291,1.5258607125282289,0.4444
37,1.7728062319755553,1.5248537504673003,0.4513
38,1.7375176548957825,1.505283145904541,0.4543
39,1.6977620831131934,1.4932769083976745,0.4567
40,1.7157724285125733,1.4802796471118926,0.4664
41,1.7443767988681793,1.4747099709510803,0.4674
42,1.7075600224733352,1.4568010330200196,0.4768
43,1.70856859177351,1.4522068512439728,0.4788
44,1.704759975373745,1.4484651374816895,0.4794
45,1.715832816362381,1.442756142616272,0.481
46,1.7086646047234535,1.4366575813293456,0.4839
47,1.6878493985533713,1.42936678647995,0.4838
48,1.6669645941257476,1.412569410800934,0.4913
49,1.6611443457007409,1.4064596855640412,0.4938
50,1.6539123725891114,1.3943661665916443,0.5018
51,1.6539183846116066,1.3833999502658845,0.5016
52,1.6846914905309678,1.3875719344615935,0.5014
53,1.6531216078996658,1.3785781753063202,0.5054
54,1.6123473086953164,1.3566660618782043,0.5142
55,1.5849110487103462,1.335796068906784,0.5224
56,1.5912074980139732,1.330129371881485,0.5229
57,1.5964692249894141,1.3346522545814514,0.5239
58,1.5639419397711753,1.3032424056529999,0.5343
59,1.536646610200405,1.2832802248001098,0.5405
60,1.5867005011439324,1.2919027733802795,0.5444
61,1.5722485914826394,1.2812530827522277,0.543
62,1.533172486424446,1.2667131316661835,0.5497
63,1.5387862119078637,1.2509630465507506,0.5611
64,1.5196663677692412,1.2461605334281922,0.5603
65,1.475244550704956,1.2206108844280243,0.5698
66,1.4696963685750961,1.2144396138191222,0.5728
67,1.497633274793625,1.2206838750839233,0.5709
68,1.8248133701086044,1.2946733939647674,0.5449
69,1.5505956402420997,1.2443842601776123,0.5627
70,1.4580998381972312,1.2188147354125975,0.575
71,1.4514828249812126,1.200021367073059,0.5831
72,1.4435997486114502,1.1803496390581132,0.5886
73,1.4376117640733719,1.167832161784172,0.5921
74,1.4184517043828964,1.1527531379461289,0.5954
75,1.4260734102129937,1.1496538239717484,0.5994
76,1.4529475942254066,1.1438314747810363,0.6021
77,1.407702040374279,1.121009449362755,0.6086
78,1.3599691216647625,1.109020454287529,0.6132
79,1.3315815335512162,1.0954844516515732,0.6193
80,1.3282159662246704,1.0878535676002503,0.621
81,1.3261424016952514,1.0816827827692033,0.6253
82,1.3578680741786957,1.0842598348855972,0.618
83,1.3582977467775346,1.0784566766023636,0.6225
84,1.344404223561287,1.0603801333904266,0.6323
85,1.2956551522016526,1.044930592775345,0.6375
86,1.2686395747959613,1.0298383259773254,0.6437
87,1.2750375527143478,1.027626673579216,0.6451
88,1.2444046571850778,1.0105141174793244,0.6526
89,1.2325189496576785,1.0008047902584076,0.6538
90,1.2380574135482312,0.9960987001657486,0.6549
91,1.2358841696381568,0.9838561218976974,0.6614
92,1.255560184121132,0.9770827847719192,0.6646
93,1.258792762607336,0.9706599485874176,0.6655
94,1.2287584276497363,0.9635377162694931,0.6698
95,1.2017738491296768,0.9564464265108108,0.6717
96,1.1969710272550582,0.946706463098526,0.6738
97,1.1781973342597485,0.9334790122509002,0.6818
98,1.1743425618112087,0.9246073079109192,0.6862
99,1.1764673385024071,0.919385597705841,0.6889
100,1.145025594085455,0.9095877605676651,0.6888
101,1.133945432305336,0.9012608343362808,0.6926
102,1.1436122384667398,0.8977744650840759,0.6918
103,1.112168239057064,0.8824469012022018,0.6954
104,1.1363816578686237,0.8840392792224884,0.6964
105,1.1401456543803214,0.8750297772884369,0.7007
106,1.148824899792671,0.8781284463405609,0.7031
107,1.1394492498040198,0.8712405008077622,0.7058
108,1.1012976086139679,0.8603776854276657,0.7094
109,1.0863316106796264,0.8550257271528244,0.7085
110,1.073088908046484,0.8428191584348679,0.7132
111,1.0809386850893496,0.8382997965812683,0.7165
112,1.0555977971851827,0.8295855665206909,0.7182
113,1.0487316343188287,0.82439404129982,0.7209
114,1.0543940663337708,0.8146435350179673,0.725
115,1.065668914616108,0.8150907737016678,0.7246
116,1.0609537264704705,0.8117535549402237,0.7275
117,0.9988672348856926,0.7985374838113785,0.7287
118,0.9944379997253417,0.7891318142414093,0.7347
119,0.992089731246233,0.7874745875597,0.7365
120,0.9603261530399323,0.7733074414730072,0.7404
121,0.9727213315665721,0.7729008400440216,0.7408
122,0.9646462841331959,0.7636796182394028,0.7431
123,0.9554414284229279,0.7573925849795341,0.7468
124,0.9561050137877465,0.756853963136673,0.746
125,0.9441417956352234,0.7467704927921295,0.7487
126,0.9421612034738064,0.7438491594791412,0.7479
127,0.9776234318315983,0.7519198015332222,0.7478
128,0.9752402858436108,0.7427560675144196,0.7505
129,0.9517006707191468,0.733960685133934,0.7523
130,0.9641057862341404,0.7365331733226776,0.7524
131,0.9625801658630371,0.7330968305468559,0.7531
132,0.8923876687884331,0.7222202095389366,0.7567
133,0.8851674248278141,0.7150330829620362,0.7588
134,0.8904165308177471,0.7122014293074608,0.76
135,0.8841669481992721,0.7037222588062286,0.7627
136,0.8650472655892372,0.6989661779999733,0.7626
137,0.8755751818418502,0.6970671162009239,0.7648
138,0.8727336643636227,0.688787876367569,0.7678
139,0.8620545893907547,0.6846450516581535,0.7682
140,0.8683756455779076,0.6789217555522918,0.7713
141,0.8734926301240921,0.6746136590838432,0.7725
142,0.868705003708601,0.6801521280407905,0.7701
143,0.8500470547378063,0.6688513600826264,0.7734
144,0.8388316339254379,0.6702063679695129,0.7755
145,0.8289675568044186,0.6637656861543655,0.7759
146,0.8243798184394836,0.660841660797596,0.7769
147,0.8378350400924682,0.6639645087718964,0.7745
148,0.8571123322844505,0.6541092076897621,0.776
149,0.8441049160063266,0.6502821809053421,0.7762
150,0.8324091865122318,0.646465414762497,0.7798
151,0.8091030843555927,0.6457153844833374,0.778
152,0.7944716294109821,0.6407557734847069,0.7806
153,0.7784021393209696,0.6347230806946754,0.7833
154,0.7943876428902149,0.6343179434537888,0.7835
155,0.7785026706755162,0.623512721657753,0.7855
156,0.8070786213874817,0.6300515684485436,0.7866
157,1.0206306786835193,0.6855399906635284,0.7649
158,1.501756961196661,0.7967265737056732,0.7293
159,1.404625330120325,0.7674454045295716,0.7406
160,0.9370467291772365,0.7022549760341644,0.7655
161,0.7757336120307445,0.6605552616715431,0.7721
162,0.7562117947638035,0.6478650465607643,0.7793
163,0.7523311817646027,0.6384349903464317,0.783
164,0.7622858882695437,0.631727075278759,0.7835
165,0.7602822782844305,0.6257980999350548,0.7857
166,0.7461442402005196,0.619082849919796,0.7874
167,0.7393561094999314,0.614083797633648,0.7895
168,0.7326220124959946,0.6047601383924485,0.7935
169,0.7364023807644844,0.6023022294044494,0.7931
170,0.7568618138879537,0.6035717758536339,0.7908
171,0.7299020735174417,0.5997892856597901,0.7919
172,0.712016331627965,0.5919158840179444,0.7954
173,0.693484132066369,0.5905068871378899,0.7943
174,0.7056058025360108,0.5873957166075706,0.7968
175,0.7110748293250799,0.5822680640220642,0.7987
176,0.7151429823040962,0.579398809671402,0.799
177,0.6895343745499849,0.5763748639822006,0.7999
178,0.6875439335405826,0.5759843847155571,0.7989
179,0.6789073779433966,0.5716078826785087,0.8011
180,0.6745531415194272,0.5649938949942589,0.8041
181,0.6793665529042482,0.5641391360759735,0.803
182,0.6781226640939713,0.5618053516745567,0.8064
183,0.6772765559703111,0.5611310017108917,0.8047
184,0.7065616478770971,0.560222672522068,0.809
185,0.7301453933119774,0.5681901320815086,0.8055
186,0.7330845589935779,0.5623321568965912,0.8076
187,0.7579972147941589,0.5666176953911781,0.8037
188,0.7110639861226082,0.5571293458342552,0.8088
189,0.656097247749567,0.546549465060234,0.8113
190,0.6590053647756576,0.5433037477731705,0.8122
191,0.6558645866066217,0.541132801771164,0.8132
192,0.661633685156703,0.5386454510688782,0.815
193,0.6503807308524847,0.5341651001572609,0.8176
194,0.6371941030025482,0.5366658410429954,0.8163
195,0.6297821518778801,0.5328306016325951,0.8166
196,0.6502880357205868,0.5288843056559562,0.8177
197,0.6578283321857452,0.530721732378006,0.818
198,0.6461605961620808,0.526211225092411,0.8172
199,0.6406321964412928,0.5247188949584961,0.8184
200,0.6206858961284161,0.5217882147431374,0.818
201,0.640836708471179,0.5230168107151986,0.8189
202,0.6410387545824051,0.5191524782776833,0.8205
203,0.6391464980691671,0.5157193756103515,0.8211
204,0.6045033519715071,0.5117688393592834,0.8239
205,0.6104848421365022,0.5093045878410339,0.8247
206,0.6165764765441417,0.5116421848535537,0.8233
207,0.6050510150194168,0.5056096875667572,0.8247
208,0.6028287959098816,0.5064595577120781,0.8247
209,0.6049025213718414,0.5055518370866775,0.8246
210,0.6240554101765156,0.5052587088942527,0.8248
211,0.623955237865448,0.508165947496891,0.8231
212,0.6093966916948557,0.5035848042368889,0.8243
213,0.6060877330601215,0.503247139453888,0.825
214,0.5962090199440717,0.5022905573248864,0.8254
215,0.5782478031516075,0.4927967903017998,0.8292
216,0.5845741666108369,0.4897995883226395,0.8294
217,0.6283041889965534,0.4923777747154236,0.8292
218,0.5999033880233765,0.48976329863071444,0.8289
219,0.5864248098433018,0.48363510608673094,0.8326
220,0.5652305534482003,0.48628033459186554,0.8324
221,0.5620957581698894,0.48048956871032716,0.834
222,0.5561354058980942,0.47904233127832413,0.8353
223,0.5546242793649435,0.4781357681751251,0.8327
224,0.5647094499319791,0.4785748717188835,0.8346
225,0.5695500636845827,0.47946164235472677,0.8335
226,0.5898116683214902,0.4791264805197716,0.8348
227,0.5762079081311822,0.47431294292211534,0.8351
228,0.5760045246779919,0.48017797619104385,0.8346
229,0.5717915240675211,0.4787414076924324,0.8318
230,0.5582413613796234,0.47612114518880844,0.8331
231,0.5700494503974914,0.4747797667980194,0.8362
232,0.551151709780097,0.4678479972481728,0.8386
233,0.5556281781196595,0.46262027323246,0.8399
234,0.5622916308790445,0.4630746304988861,0.8397
235,0.545296573638916,0.46419366329908374,0.8376
236,0.5424631299823522,0.4621688801050186,0.8395
237,0.5564803361147642,0.46092647075653076,0.8382
238,0.5906001109629869,0.46657673224806784,0.8381
239,0.6528991527110338,0.4711731180548668,0.8375
240,0.5903126785159111,0.4636282366514206,0.8384
241,0.524650322496891,0.45852544248104093,0.8411
242,0.5415904011577368,0.453742533326149,0.8423
243,0.5572026528418064,0.45588381052017213,0.8418
