epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.5510076311501589,2.280461733341217,0.1781
2,0.5470109152974505,2.251241819858551,0.2046
3,0.5379883592778986,2.2125015115737914,0.2238
4,0.5257142892841137,2.1577635526657106,0.265
5,0.5066443245970842,2.0787374424934386,0.294
6,0.48327516064499365,1.9671748065948487,0.3725
7,0.44976161713853025,1.8199788045883178,0.4449
8,0.4095842054847515,1.6400554692745208,0.5239
9,0.3635895563797517,1.441258853673935,0.5972
10,0.3173856290452408,1.2362664461135864,0.7186
11,0.2721796886938991,1.0577175772190095,0.7757
12,0.2345598003629482,0.9150753164291382,0.8047
13,0.20781766008021255,0.8069385322928428,0.8205
14,0.18428947336294435,0.7278730037808419,0.8319
15,0.1681722957979549,0.665407649576664,0.838
16,0.15641288927784472,0.61639304459095,0.8464
17,0.14557048949328336,0.5783548748493195,0.849
18,0.13752729874668698,0.5447373504936696,0.8593
19,0.13088590784393478,0.5200525504350663,0.8633
20,0.12511407411798384,0.49643924191594124,0.8684
21,0.12104870884143042,0.4782534324377775,0.8713
22,0.11628193752557943,0.46101597145199774,0.8758
23,0.11337310414422642,0.4481126042455435,0.8787
24,0.10976556883278218,0.43523304484784603,0.8797
25,0.10799568033579623,0.42215326219797134,0.8823
26,0.10354232390157202,0.410888782069087,0.8841
27,0.10279561494561759,0.4030188534408808,0.8855
28,0.09970583357481343,0.3948800539970398,0.8877
29,0.09854699470893,0.38624395526945593,0.8893
30,0.09407821032359745,0.38077237877994774,0.8904
31,0.09215268690251943,0.3725931168347597,0.8932
32,0.09122160675399231,0.36570985581725834,0.8951
33,0.09048087461710427,0.36086529020220043,0.8964
34,0.0877091373514497,0.3578411891311407,0.8979
35,0.09027974843753106,0.3512234926968813,0.898
36,0.08570966942969596,0.3463158453628421,0.8999
37,0.0860763926510558,0.34111579205840825,0.9007
38,0.08632809366805083,0.33872916031628847,0.9015
39,0.08536133414247271,0.33492878066375853,0.9029
40,0.0825261849571358,0.33078867400065065,0.9043
41,0.08064653466201642,0.3292138691060245,0.9056
42,0.07958877580522587,0.32398889077827336,0.9058
43,0.080745020937739,0.32019456146284936,0.9074
44,0.08047530798693046,0.31991735491901635,0.908
