epoch,train_loss(total),test_loss(average),test_accuracy(average)
0,0.658119659306425,2.254902422428131,0.1
1,0.658119659306425,2.254902422428131,0.174
2,0.45937099578705703,1.914566423892975,0.3279
3,0.34454045930143556,1.0820526301860809,0.6462
4,0.2205117807130922,0.6180161175131798,0.8113
5,0.17604843560944905,0.568317300081253,0.7983
6,0.14746343146896723,0.39503107018768785,0.8835
7,0.1183655100846381,0.3529776353761554,0.8934
8,0.10675315523633,0.3193711918219924,0.9072
9,0.10421501674378912,0.31817237436771395,0.9034
10,0.09139662704458743,0.2700272717513144,0.9222
11,0.0836031392611789,0.2670578194782138,0.9225
12,0.07723887452404156,0.24397970425896345,0.9274
13,0.06055076555772261,0.2197538185957819,0.9341
14,0.058989436189277156,0.21142470818944276,0.9367
15,0.05280175263936998,0.20210517357103527,0.9375
16,0.0598424402644124,0.19129958480596543,0.9424
17,0.04622159307737919,0.18067663903348147,0.9462
18,0.04727162835611538,0.1775694752857089,0.9471
19,0.04710268777456473,0.1697375624300912,0.9495
20,0.03935770392700127,0.15972784416982905,0.9533
21,0.0388852338250162,0.15589916763361544,0.953
22,0.036199284202391,0.15310699635185301,0.9537
23,0.03574718206514125,0.1466544331330806,0.955
24,0.03237410032394991,0.14325886777136476,0.9565
25,0.031634267938153986,0.14113896212307736,0.9565
26,0.03493693989532238,0.15035546604543926,0.9534
27,0.05071306897496635,0.1442138650501147,0.9568
28,0.03113309053393702,0.13305891116149723,0.9593
29,0.028887241734826766,0.12734351479448378,0.962
30,0.02732835283898043,0.12835649390006437,0.9603
31,0.02494958806147968,0.1222515937674325,0.9635
32,0.025480597085940342,0.11894292852492072,0.963
33,0.024386495443512544,0.11655106546822935,0.9651
34,0.021245569643338746,0.11771758806542493,0.9632
35,0.022546922188308654,0.11272703691269272,0.9664
36,0.02081184676728409,0.11174288480193355,0.9662
37,0.027794059082004947,0.13842856559436767,0.9577
38,0.05123463926032524,0.1268810899788514,0.9633
39,0.026622473202278896,0.11265520424814895,0.9656
40,0.02058380669349748,0.10900765870930627,0.9664
41,0.01938637180578415,0.10858132772380485,0.9661
42,0.019002391461099527,0.10539968524011784,0.9681
43,0.0335349358396012,0.15488851140253246,0.9521
44,0.03534927653946039,0.1062255181488581,0.9677
45,0.018349453614615468,0.10222590678720735,0.9692
46,0.018392486793207794,0.10163463189732283,0.9697
47,0.016586404143846736,0.09855117761006113,0.9704
48,0.015706995964247846,0.09683064152894076,0.9704
49,0.015522646202677579,0.0952604524855269,0.9714
50,0.0150433450939035,0.09477450843434782,0.9723
51,0.014553238355526419,0.09446066525299102,0.9711
52,0.015086301634172824,0.09201178872550372,0.9722
53,0.013342043331993575,0.09415867035684641,0.972
54,0.013646870331175513,0.08938895243802109,0.9729
55,0.013488601634779832,0.09014841667027212,0.9721
56,0.012029299006275269,0.08991055237769614,0.9719
57,0.011917270628283873,0.09061600946733961,0.9723
58,0.012862978438726825,0.0870079957449343,0.9738
59,0.011438449348188993,0.08752987801475683,0.9729
60,0.010531737436505147,0.08619730725127737,0.9745
61,0.01085390489827136,0.08610116566211218,0.9739
62,0.011099166100118027,0.08591144295438426,0.9734
63,0.010162052404308324,0.08489847287040903,0.9749
64,0.01047651977348847,0.08530360799690243,0.9744
65,0.010055963392722222,0.08511299605335808,0.9743
66,0.009491187008362349,0.08342610584251815,0.9754
67,0.009623208970438238,0.08379296807019272,0.974
68,0.010327000273250495,0.08734236556862016,0.9728
69,0.047367594865411804,0.09267386011430062,0.9715
70,0.011690279389519921,0.08464779363945127,0.9743
71,0.010041179011970984,0.08404086782655212,0.975
72,0.009159934785478099,0.08404108661197825,0.9737
73,0.009046900237797561,0.08142938624136149,0.9756
74,0.008752861879519045,0.081708180042624,0.9755
75,0.008508484214403186,0.08120806399791036,0.9751
76,0.00884369653288035,0.08104153627529741,0.976
77,0.008241154569215283,0.07928327273577451,0.9766
78,0.007698499904522164,0.07924356837858795,0.9767
79,0.007269772137850382,0.07916758108593058,0.9766
80,0.007479548432897762,0.08111771742886048,0.976
81,0.0067979408653848095,0.07985865276627009,0.977
82,0.006465102166685304,0.07972993053961545,0.9768
83,0.006633202764946459,0.07841387033869979,0.9763
84,0.006721748480975459,0.07766046687582275,0.977
85,0.0070417995783359265,0.07864026897659641,0.977
86,0.006340762554001148,0.07694027449309943,0.9772
87,0.005680785475609203,0.07759857511380687,0.9769
88,0.005967264596785588,0.0786913876455219,0.9759
89,0.010200350999983846,0.08670323515485506,0.9732
90,0.08353008806112815,0.10186886420007796,0.9709
91,0.012621022933727187,0.08332642893190495,0.9747
92,0.007581350442981629,0.08144560140412067,0.9755
93,0.007434570084142527,0.0802669136269833,0.9757
94,0.006999219408802067,0.07799408944265451,0.9762
95,0.006752802122994608,0.07882749181400868,0.9768
96,0.006106485175692025,0.07718461135373218,0.9763
97,0.005801758556503266,0.07651635344351235,0.9765
98,0.005596410130348169,0.07580697963217972,0.9773
99,0.005503510718082191,0.07614012183767045,0.9773
100,0.004594425654927777,0.07587901179278561,0.9782
101,0.004834924630951277,0.07542725285762572,0.9781
102,0.004898157717296713,0.07507042313722195,0.9779
103,0.00519595490671539,0.07442304097661691,0.9781
104,0.00455869491601003,0.07509419604342839,0.9781
105,0.004286502930247507,0.07436205993413751,0.978
106,0.004314679394045732,0.07529222287994344,0.9784
107,0.004453982207148026,0.07485554922044685,0.9783
108,0.004714940934332624,0.07449921452760463,0.9776
109,0.0040004229321670155,0.0747970417983015,0.9777
110,0.003925490096717664,0.07453083952008456,0.9789
111,0.0036064639101492835,0.07428050475315104,0.9785
112,0.0037836145116175017,0.07404735556829109,0.9781
113,0.0038700083796081317,0.07443310140253744,0.9785
114,0.003326827897443295,0.07499281809516106,0.9785
115,0.0031162026099275063,0.07418750848250057,0.9788
116,0.0036096981330598337,0.07517572663251486,0.9786
117,0.003151013900523222,0.07459989968858281,0.9788
118,0.0035818361628282055,0.07470563264174417,0.9793
119,0.0031506418353907948,0.0746920101276919,0.9782
120,0.002856647480670786,0.07483649588266417,0.9787
121,0.0028551578114715858,0.07491141776412405,0.9785
122,0.002984906560221024,0.07502480554045178,0.9792
123,0.0033222735862981417,0.07509083929999179,0.9776
124,0.0031342012801112355,0.07457622451525822,0.9787
125,0.0031739743437466323,0.07434554695599217,0.9782
126,0.002786742872558534,0.0751139861350748,0.9783
127,0.0031161297619374554,0.07476063376181628,0.9787
128,0.002865995074733457,0.07417650384337321,0.9782
129,0.002769308741721254,0.07457837520589237,0.9787
130,0.0027891410048169114,0.07563318196311229,0.9782
131,0.0025649152960271968,0.07521406540905445,0.979
132,0.0027826195933316326,0.07453804525179293,0.9786
133,0.002485958246380147,0.0752723190865072,0.9786
134,0.0024875549391832797,0.07595394654641495,0.9792
135,0.0027765042263622904,0.07531860356815741,0.9784
136,0.0022345910420523123,0.07576409051829615,0.9787
137,0.0021851584386957147,0.07518255539715028,0.9783
138,0.0020759300643862152,0.07495227501471163,0.9793
139,0.0021791565638771067,0.07506908392026163,0.9782
140,0.0020288692771414803,0.07526088879450982,0.9788
141,0.0021701725071938145,0.07556085674577843,0.9782
142,0.0021967288626139193,0.07620948209516427,0.9784
143,0.001804338375333111,0.07542088232816241,0.9788
144,0.0017638348498704463,0.0754521928980921,0.9787
145,0.0016860149905066162,0.07549947082390646,0.9786
146,0.00251982836969987,0.07598749331740691,0.9784
147,0.0019513766799884086,0.07470975733534942,0.9789
148,0.0019730052107744004,0.07526171614936175,0.979
149,0.0017114453328372981,0.07472077454865939,0.9789
150,0.001326490489935333,0.07486688911047168,0.9787
151,0.0015446002514429645,0.07488089365589076,0.9795
152,0.0015696032477893768,0.07502030321802522,0.9788
153,0.0018559780047243376,0.07529953521860079,0.9789
154,0.0016642855760327427,0.07573186899159737,0.9794
155,0.0015318857259637407,0.07527864034176673,0.979
156,0.0015328729230421948,0.07645584514290932,0.979
157,0.0015690868983228663,0.07567921221863799,0.9792
158,0.0015251681802372773,0.07606983607506664,0.9788
159,0.001702035701314206,0.07551603931871796,0.9789
160,0.0014566335853349742,0.07591849685519264,0.9795
161,0.0017588671670995554,0.07545784052457748,0.9791
162,0.0012180975098806703,0.07535864709408997,0.9794
163,0.0013621861896050784,0.0763228496866941,0.9789
164,0.0014478757689313638,0.07533495452397801,0.9798
165,0.0014018702382930894,0.07605422396496579,0.9795
166,0.0012193922115825858,0.07598490304573716,0.979
167,0.0015876142883137095,0.07629059470645189,0.9784
168,0.0013393441011871662,0.07573355420161533,0.9797
169,0.0011638365833663777,0.07690968391027127,0.9798
170,0.0014202058542154687,0.07671107741262859,0.9789
171,0.0011070657246543278,0.07655804356823864,0.9789
172,0.0012634082153398954,0.07648391688800076,0.9791
173,0.0013378328623564978,0.07625733142501304,0.9794
174,0.0011323008895322512,0.07629484068312195,0.9796
175,0.0012393104022494024,0.07641707468032109,0.9795
176,0.0012045969478177458,0.07719614979588187,0.9795
177,0.0009896329232684695,0.07727095803817065,0.9788
178,0.0010607463182444035,0.0769610905330137,0.9797
179,0.0011863009476104653,0.07675721076490845,0.9795
180,0.0010545683723070067,0.07680136201890492,0.9791
181,0.0012582646274467786,0.07734081848792812,0.9796
182,0.0010566746651337862,0.07693703436442774,0.9798
183,0.0011754990454474782,0.07726348435938689,0.9796
184,0.0011068165816995493,0.07703605873864035,0.9791
185,0.0011380424520845709,0.07694903791456455,0.9793
186,0.0010284094362511744,0.07738462861297193,0.9792
187,0.0009187724788882241,0.07709374174918594,0.979
188,0.0008286888255084209,0.07739574062645715,0.9792
189,0.001012235713102255,0.07744996521459598,0.9793
190,0.0009342247806974532,0.077746759491165,0.9785
191,0.0008958569697742033,0.07816064611907222,0.9793
192,0.0008962598444530599,0.07812270062322568,0.9792
193,0.0009803881266634562,0.07779586367618777,0.9792
194,0.0011054049357908573,0.07750866345668328,0.9794
195,0.0008620725679286282,0.07813360421404013,0.9796
196,0.0009396763012001898,0.07798775437055155,0.9797
197,0.0008348223230065989,0.07798911261711965,0.9798
198,0.0008044714446772228,0.07835952133219962,0.9793
199,0.0007629146143286066,0.0786703941515816,0.9789
