epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.5099443283044931,2.2660210728645325,0.2982
2,0.4978913093606631,2.158607804775238,0.3084
3,0.46533415308504394,1.9403767430782317,0.3702
4,0.3970669144482324,1.5843656980991363,0.5405
5,0.30686793600519496,1.1905862319469451,0.6983
6,0.2450720758713556,0.907498482465744,0.7669
7,0.2645031698048115,0.8042691192030906,0.7924
8,0.21109101001286146,0.6765541994571685,0.8217
9,0.18349749654192815,0.5968649736046792,0.8407
10,0.17095701131179478,0.5402607217431068,0.8582
11,0.15613119805118802,0.5055396243929863,0.8623
12,0.1425857896719015,0.46977325305342676,0.8703
13,0.1307116701465213,0.4418979459255934,0.8753
14,0.12178162488183289,0.41825353540480137,0.8828
15,0.11947559813658397,0.3966353601962328,0.8877
16,0.110108341400822,0.3772651580348611,0.8929
17,0.10624715716888507,0.3629569181799889,0.8947
18,0.10208564281294291,0.3503730938211083,0.8986
19,0.100029172982569,0.3397983719408512,0.9011
20,0.09442068299165729,0.32890149315819145,0.9039
21,0.09201485154247194,0.32027455447241665,0.9051
22,0.08625314585074331,0.31417966378852724,0.9062
23,0.08231386223412825,0.30665561351925136,0.9101
24,0.07850567471574653,0.2983042702078819,0.9125
25,0.07724578256690592,0.2939277915842831,0.9126
26,0.0738539261263654,0.2870706854946911,0.9155
27,0.07428054901009257,0.2822218066640198,0.9172
28,0.07072419389574365,0.2776824979484081,0.9172
29,0.0708689649278919,0.27313849054276945,0.9196
30,0.06752207968384027,0.26930237174965443,0.9202
31,0.06604141948010886,0.26374451771378515,0.9239
32,0.06589668365124839,0.26035836966708303,0.9233
33,0.06436439276193127,0.25740422574803234,0.9242
34,0.06142069294935826,0.2546911315526813,0.9251
35,0.06477182146839121,0.24980950937606394,0.9267
36,0.06085228388000167,0.246374917505309,0.9276
37,0.062242054803804917,0.24391828704625368,0.9272
38,0.06213302666208509,0.24047518880106508,0.9299
39,0.06062508037200931,0.23792215703986586,0.9297
40,0.058229280191219666,0.23493985010311008,0.9304
41,0.05674716408336253,0.23241943046450614,0.9308
42,0.05624730202058951,0.22826169865205884,0.9334
43,0.05666313242788116,0.22585185849107803,0.933
44,0.056250225893701565,0.22410633684135972,0.9331
45,0.05370703705755824,0.2201408711541444,0.9343
46,0.05508452012189523,0.2183196699153632,0.9351
47,0.05268051643206766,0.21679634897969663,0.9353
48,0.05193604739157088,0.21389336383901536,0.9362
49,0.050970869018893805,0.21176200292538852,0.9376
