epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,0.5556870206738963,2.2893273043632507,0.188
2,0.5522366260940378,2.2763876008987425,0.2298
3,0.5485597790190668,2.262173743247986,0.26
4,0.5445576242425225,2.246085376739502,0.2885
5,0.5394068644805388,2.2271274662017824,0.2921
6,0.5342901872866082,2.204333622455597,0.2963
7,0.5274393043734811,2.1770613265037535,0.3048
8,0.5194055636723837,2.1438767099380494,0.3149
9,0.510012273535584,2.1038777804374695,0.3241
10,0.4986605707443122,2.055501081943512,0.3346
11,0.4842995630972313,1.9979924285411834,0.3539
12,0.4681665317127199,1.9309661209583282,0.3808
13,0.4507608991680723,1.8545943689346314,0.4127
14,0.43024593569112546,1.7704907166957855,0.4459
15,0.40855785368969944,1.6787950491905212,0.4865
16,0.3866582074851701,1.5799091839790345,0.5348
17,0.3619735866333499,1.4772452795505524,0.6013
18,0.3376560231501406,1.3726445126533509,0.662
19,0.3142023453432502,1.2714296495914459,0.7074
20,0.29122466255318036,1.1727613472938538,0.75
21,0.27059346290700365,1.084283635020256,0.7685
22,0.25129374489188194,1.0021455353498459,0.7923
23,0.2330834244688352,0.93290800511837,0.8061
24,0.21898151979301916,0.8720252355933189,0.8138
25,0.2061925476247614,0.8179891413450241,0.8227
26,0.19363271100728802,0.772614354789257,0.8303
27,0.18370056677271018,0.734295760691166,0.8307
28,0.17526971735060215,0.700153659582138,0.8349
29,0.1681357847921776,0.6693882781267166,0.8405
30,0.15986444981712283,0.6426739850640297,0.8458
31,0.15288857810876585,0.6194270500540733,0.8467
32,0.14853073072365738,0.5980395299196243,0.8517
33,0.14476667736854518,0.579390816539526,0.8558
34,0.13933625100462727,0.5625530968606473,0.8568
35,0.1378167715262283,0.5484993487596512,0.8603
36,0.13282878713851626,0.5338065177202225,0.8609
37,0.1303306303805474,0.5207595309615135,0.864
38,0.1276508949866349,0.5093208369612694,0.8651
39,0.12601459263400597,0.4991705887019634,0.8687
40,0.12178376201314456,0.4897818760573864,0.8693
41,0.11915778484421247,0.4807492611557245,0.871
42,0.1163346508066311,0.47094240590929987,0.8732
43,0.1159824062364571,0.4625464187562466,0.8765
44,0.11465570813214238,0.4571547156572342,0.8774
45,0.11081761285436875,0.447175462692976,0.8786
46,0.1108529729429971,0.441796091273427,0.88
47,0.10863664667263176,0.43607674054801465,0.8817
48,0.10815445624404785,0.4290285237133503,0.8823
49,0.10568357719052018,0.4246980004757643,0.8837
50,0.10561207679072113,0.41871388502418994,0.8844
51,0.10372740261708245,0.41443755649030206,0.8858
52,0.10297168469564481,0.4094747554510832,0.8863
53,0.10099152317552855,0.4059102415293455,0.8868
54,0.10061709881957734,0.40060830034315587,0.8879
55,0.1010037325040409,0.3962901129573584,0.8887
56,0.09559693777312835,0.3926096809282899,0.8898
57,0.09722984534208522,0.3888869431987405,0.8897
58,0.09799523034951452,0.3852567313238978,0.8916
59,0.09438490286243684,0.3806263130903244,0.8923
60,0.0931696170997439,0.37762625098228453,0.893
61,0.09299883822148497,0.37412642579525707,0.8934
62,0.0909595000416492,0.3725834983214736,0.8941
63,0.09167378353462978,0.3689581996947527,0.8949
64,0.09177443596788427,0.3664624597877264,0.8948
65,0.09235893285861521,0.3627316927909851,0.8959
66,0.08969729680172873,0.36099172189831735,0.8969
67,0.09124088292997895,0.3578735529631376,0.8975
68,0.08851408385530565,0.35539943497627974,0.8985
69,0.08864384469096408,0.354159223921597,0.898
70,0.08892866847754428,0.3524407121539116,0.898
71,0.08566568810210536,0.3484719007834792,0.8993
72,0.08577791412332744,0.34746802479028704,0.8997
73,0.08733197691088374,0.34465600937604907,0.9007
74,0.08442664612084627,0.34363641273230316,0.9012
75,0.08599014710070509,0.3408010211586952,0.9023
76,0.08459536245826518,0.33907032292336226,0.9031
77,0.08470855941149322,0.33715790443122384,0.9028
78,0.08325146161245578,0.33568921834230425,0.9033
79,0.0835127581447137,0.33402476873248815,0.9036
80,0.08337513264268637,0.33232416074723004,0.9037
81,0.08390465943199216,0.32910127645358445,0.9058
82,0.08027431021698496,0.32786663571372626,0.9057
83,0.08136258093696652,0.3257937547750771,0.9065
84,0.0818955211787287,0.3229242185130715,0.9061
85,0.08063500596097473,0.3223063652776182,0.9061
86,0.07937107084206108,0.3205475556477904,0.9062
87,0.0786484051354681,0.3196979202143848,0.9068
88,0.08000780568655694,0.3183171207271516,0.9069
89,0.07872069553669656,0.31643430376425385,0.9084
90,0.07794782570139928,0.31502881867811083,0.909
91,0.08106242171065374,0.31287332586944105,0.9092
92,0.07550823869127216,0.3131462399661541,0.909
93,0.07816366564877557,0.3111144169792533,0.9098
94,0.07628798583578883,0.30967067651450636,0.9104
95,0.07629672804790916,0.30870964992791416,0.91
96,0.0771600574424321,0.3077810016460717,0.9107
