epoch,train_loss(total),test_loss(average),test_accuracy(average)
0,0.5571252141486515,2.261783230304718,0.1
1,0.49421752537741803,1.5856613838672637,0.4893
2,0.4229392533500989,1.259043702483177,0.5864
3,0.33552196548517904,1.2027695894241333,0.6299
4,0.20900338425329237,0.9192243486642837,0.7097
5,0.1300086544713739,0.545449743270874,0.8121
6,0.1106384764848785,0.34010538503527643,0.8991
7,0.08433127327060158,0.2988823775202036,0.9138
8,0.0850778254821445,0.5124970415979624,0.8358
9,0.07256265901819323,0.25760795844718815,0.9205
10,0.06110239522813848,0.22377265223301948,0.9347
11,0.0520429470026019,0.22152833042666317,0.9337
12,0.049326989270577375,0.19769844463095068,0.9401
13,0.04728191238686894,0.19073166970163583,0.9428
14,0.053261051942227466,0.28152629705145954,0.911
15,0.04621190200277576,0.1761915175570175,0.946
16,0.04160645949146287,0.16830909172073005,0.949
17,0.03602676071000822,0.1583071906492114,0.952
18,0.03436967597879244,0.15560304125305266,0.9537
19,0.03482562074240184,0.1479885179689154,0.955
20,0.031735307085468914,0.14358309457544238,0.9575
21,0.032369623962564,0.14264543720288203,0.9569
22,0.0295441116728453,0.13527959201019257,0.9605
23,0.02984276952955759,0.13919180124299602,0.9564
24,0.026113410900121158,0.12809209735831245,0.9611
25,0.02598949147134342,0.1252744291955605,0.9622
26,0.024175756272267212,0.12313916680635885,0.963
27,0.025614072480521194,0.11705282175214961,0.9647
28,0.02308372744344965,0.11437841239152476,0.965
29,0.022062534618078534,0.11284985782229341,0.9653
30,0.021194336561937675,0.11485145730897785,0.9645
31,0.021700075922787866,0.11015820388565771,0.9675
32,0.020441809274030453,0.11505003578960896,0.9636
33,0.02042528005161633,0.10813378694467246,0.9665
34,0.016899238527526683,0.10399278516531922,0.9679
35,0.01809728988904901,0.09849596784973982,0.9707
36,0.01657181111107947,0.10007377679343335,0.9697
37,0.01657336712885422,0.1025568347016815,0.9686
38,0.018917352387992043,0.10288902400294318,0.9673
39,0.016374594025723072,0.09705117117147893,0.9704
40,0.01514884150431802,0.09408246177132241,0.9702
41,0.014213474957752183,0.09315039561712184,0.9719
42,0.014085756163253929,0.09851671371492557,0.9698
43,0.014115698104653733,0.09650647812755779,0.9701
44,0.014200696518828132,0.09098847047367599,0.971
45,0.012366879839894616,0.08785245214472524,0.9732
46,0.012620208947213761,0.08911950111971237,0.9715
47,0.011778198422468973,0.08680251935729758,0.9736
48,0.011129807532680306,0.08541396779590286,0.9738
49,0.011208751106592403,0.08753153957310132,0.9727
50,0.010802806155742004,0.08414244800165761,0.9744
51,0.01051534089492634,0.08566231260832864,0.9723
52,0.010921200460429784,0.08374215613876004,0.974
53,0.009395241458674498,0.08427521902834996,0.9742
54,0.009275408601917496,0.08062335741415154,0.9746
55,0.009245514562335853,0.08205443003564142,0.9743
56,0.008441744725904286,0.08095630661176983,0.9756
57,0.008862684603434789,0.08543051899207058,0.9732
58,0.008710254754546579,0.07933814373915084,0.9748
59,0.008193772705095453,0.07937531059695174,0.9753
60,0.007203648242549124,0.07846639141964261,0.976
61,0.00739876155134742,0.07911034696706337,0.9758
62,0.007265511259020334,0.07762286255048821,0.9768
63,0.007148377681997689,0.07806409072130918,0.9757
64,0.0073151972733974235,0.07923185628169449,0.9757
65,0.006988198687781043,0.07942730817332631,0.9755
66,0.007128296583135979,0.07606571132317186,0.9767
67,0.007028343820958539,0.07648114614450606,0.9771
68,0.006318253146618548,0.07946191360766534,0.9752
69,0.006501840704445247,0.07894355802243808,0.976
70,0.006295063533770824,0.07556294239853742,0.9772
71,0.005717273402930887,0.07529576228553196,0.9771
72,0.005506547689561337,0.07946512501221151,0.9752
73,0.005592471483396366,0.07823098490713164,0.9761
74,0.005269487780010836,0.07475715590044274,0.977
75,0.005498127579674915,0.07439471650955966,0.9775
76,0.005576619388055847,0.07574266330862883,0.9764
77,0.005164125167842333,0.07320590011426248,0.9776
78,0.004664531964932174,0.07367816174024483,0.9783
79,0.004678007023881726,0.07396428837731946,0.9768
80,0.004894701946106965,0.07441592466944712,0.9787
81,0.004212534036152206,0.07420654649904464,0.978
82,0.003983626565031679,0.07330340060041635,0.9789
83,0.0042854476416709295,0.07327110340134822,0.9783
84,0.004137372689773188,0.07249798828634084,0.9783
85,0.004437109565708052,0.07351351159712066,0.9783
86,0.0038429561642591248,0.07231452184380033,0.9784
87,0.003396286002526088,0.0727647804118169,0.9791
88,0.0035470359227584786,0.0735695527223288,0.9787
89,0.0037592094948084914,0.07335122686403338,0.9778
90,0.003572128254525138,0.07214998782408656,0.9783
91,0.003654811692699282,0.0715088234526047,0.9788
92,0.003213329202315601,0.0724742700909701,0.979
93,0.0033851816163708768,0.07272388740035239,0.9785
94,0.0034959858202262585,0.07284520338209405,0.9784
95,0.003361873326480925,0.07307643711916172,0.978
96,0.0031479224580283644,0.07138502412839444,0.979
97,0.002963961479536286,0.07166438778818701,0.979
98,0.0028290748587372063,0.07338071032208973,0.9788
99,0.003009435695827106,0.07255677482491592,0.9788
100,0.002419442046437215,0.07276182283749222,0.9796
101,0.0025110843381491686,0.07122484303974488,0.9797
102,0.002673605848086123,0.07130410884034064,0.9799
103,0.0028167847282902308,0.07186915573322039,0.9789
104,0.002470388644283186,0.07185763410598156,0.9794
105,0.0023880738652113714,0.07173133745702216,0.9796
106,0.002340193718158513,0.07182220349059207,0.9786
107,0.0024347367573434235,0.07205441263286047,0.9799
108,0.002408387872106466,0.07097076812111482,0.98
109,0.0022217010665564994,0.07141230963890849,0.9801
110,0.002334720709107139,0.07159820439817849,0.9796
