epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.24663741442622,2.1948320698738097,0.3058
2,2.1385025744535486,2.089160635471344,0.5003
3,2.0366624226375505,1.986055442094803,0.6104
4,1.9352231035427168,1.8826827573776246,0.6653
5,1.8346072116676642,1.7794339621067048,0.7021
6,1.7340890028038805,1.6765237081050872,0.7302
7,1.633478677516081,1.5746127009391784,0.7511
8,1.5345968458117272,1.474479695558548,0.7641
9,1.4394363138140467,1.378722787499428,0.7738
10,1.3475422197458697,1.289025018811226,0.7846
11,1.2611010188959082,1.2044362831115722,0.7947
12,1.1818259122420331,1.1279885149002076,0.8039
13,1.1111669299553852,1.0585036724805832,0.8117
14,1.0442005243836616,0.9959379881620407,0.8193
15,0.9866253858926346,0.9402980130910873,0.8224
16,0.9342213965192132,0.8904229199886322,0.8289
17,0.8871513530916096,0.8455775713920594,0.8344
18,0.8452118234974997,0.8061984664201737,0.8418
19,0.8074519586806393,0.7707100170850754,0.8443
20,0.7750425582029382,0.7386514207720757,0.8477
21,0.7449798928231609,0.7106099167466163,0.8515
22,0.7180956334483869,0.6851916217803955,0.8535
23,0.6926040081345305,0.6617801879346371,0.8562
24,0.6717939447991702,0.6400604732334614,0.8587
25,0.6513455280235835,0.6215063631534576,0.8621
26,0.6314565331960209,0.6042811915278434,0.8636
27,0.6162400077800362,0.5877502302825451,0.8654
28,0.5997438289073048,0.5729322612285614,0.8675
29,0.5853794899522041,0.5596173837780952,0.8693
30,0.5738992625961499,0.5467035587131978,0.8717
31,0.5610655703714916,0.5351537419855594,0.8734
32,0.5488423747675758,0.524511461481452,0.8752
33,0.5383217203982023,0.5140914368629456,0.8775
34,0.5292541522152571,0.5047613026201725,0.878
35,0.5213445742519534,0.49605485998094084,0.8805
36,0.5106356122664043,0.4875788865238428,0.8809
37,0.5032184052832273,0.4796551723778248,0.8824
38,0.4981583769832339,0.47234057046473027,0.883
39,0.48942226785786297,0.46579682886600493,0.884
40,0.4814157940903488,0.45907671868801114,0.885
41,0.47544310421359787,0.4530450036376715,0.8851
42,0.46981157009698904,0.447216275036335,0.8857
43,0.46299269758925143,0.4416513255238533,0.8868
44,0.459234839981916,0.4361726953089237,0.8874
45,0.45376148637460206,0.4313286577910185,0.8885
46,0.44688881495777444,0.4263704004883766,0.8893
47,0.44359577520161253,0.4221009125933051,0.8897
48,0.4381477362039138,0.41733839709311726,0.8908
49,0.4340503635759255,0.41309689201414584,0.8916
50,0.42973236727471253,0.40920544244349005,0.8917
51,0.42617942739506154,0.40555442061275243,0.8933
52,0.42427741809158903,0.4019920840486884,0.893
53,0.42048491622720446,0.39842244107276203,0.8932
54,0.4155138081129716,0.395086407288909,0.8947
55,0.4122552197806688,0.3916664002835751,0.8944
56,0.40920493590588475,0.38891193747520447,0.8964
57,0.40505104949887916,0.3852109332755208,0.8964
58,0.4027621292338079,0.38291771817952397,0.8969
59,0.3993217257516726,0.37983554396778346,0.8971
60,0.3966999649393315,0.37694238271564245,0.8986
61,0.39442306319061593,0.3745071128383279,0.898
62,0.39121691432534433,0.3719600443542004,0.8985
63,0.3885170345099605,0.3694241834804416,0.8995
64,0.38504099608684067,0.3670265356078744,0.8994
