epoch,train_loss(total),test_loss(average),test_accuracy(average)
0,2.1692953268686925,2.0505257380008697,0.1
1,2.069868178690894,1.8431110882759094,0.6869
2,1.6340577945870869,1.4145226991176605,0.7748
3,1.2494430054547423,1.0725542622804642,0.8167
4,0.969095915934797,0.8455869427323341,0.8432
5,0.788826463081069,0.7028342497348785,0.8557
6,0.6727998982799255,0.6102193310856819,0.8674
7,0.594809063789198,0.5471207994222641,0.8755
8,0.5405598345323134,0.5002697040885686,0.8822
9,0.499772027955722,0.46567042991518975,0.8872
10,0.4691576804902594,0.4399258059263229,0.8889
11,0.4446005009241023,0.41820982217788694,0.894
12,0.4247661064363132,0.40099129669368266,0.8963
13,0.4080621459979122,0.3862686579301953,0.8984
14,0.3942374803946685,0.37333556268364193,0.9008
15,0.38242595579664584,0.3627130291983485,0.9025
16,0.3716731929551747,0.3533251716196537,0.9049
17,0.36234883490507885,0.3453617953509092,0.9052
