epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3442,2.3026,0.0986,2.3028,0.0958
1,2,2,2.3187,2.3026,0.0986,2.3027,0.0958
1,3,3,2.3124,2.3026,0.0986,2.3027,0.0958
1,4,4,2.2988,2.3026,0.0986,2.3027,0.0958
1,5,5,2.291,2.3025,0.0986,2.3026,0.0958
1,6,6,2.2875,2.3025,0.0986,2.3026,0.0958
1,7,7,2.2793,2.3024,0.0986,2.3025,0.0958
1,8,8,2.2734,2.3023,0.0986,2.3024,0.0958
1,9,9,2.2578,2.3022,0.0986,2.3023,0.0958
1,10,10,2.255,2.3021,0.0986,2.3022,0.0958
1,11,11,2.2451,2.3019,0.0986,2.302,0.0958
1,12,12,2.2351,2.3016,0.0986,2.3017,0.0958
1,13,13,2.2298,2.3013,0.0986,2.3013,0.0958
1,14,14,2.221,2.3009,0.0986,2.3009,0.0958
1,15,15,2.2145,2.3003,0.0986,2.3003,0.0958
1,16,16,2.2002,2.2995,0.0986,2.2994,0.0958
1,17,17,2.1928,2.2985,0.0986,2.2984,0.0958
1,18,18,2.1747,2.2972,0.0987,2.2971,0.0959
1,19,19,2.1666,2.2956,0.1643,2.2955,0.1666
1,20,20,2.1574,2.2936,0.1945,2.2934,0.193
1,21,21,2.1401,2.2911,0.2065,2.2908,0.2062
1,22,22,2.1277,2.2879,0.2239,2.2875,0.2248
1,23,23,2.1179,2.2841,0.2545,2.2836,0.2541
1,24,24,2.1024,2.2793,0.2948,2.2786,0.2975
1,25,25,2.0901,2.2733,0.329,2.2725,0.3312
1,26,26,2.0814,2.2662,0.379,2.2652,0.387
1,27,27,2.0614,2.2578,0.422,2.2565,0.4318
1,28,28,2.0498,2.2478,0.4616,2.2462,0.4708
1,29,29,2.0332,2.2361,0.4871,2.2342,0.4955
1,30,30,2.0306,2.223,0.511,2.2207,0.5202
2,1,31,2.0071,2.2077,0.5399,2.2051,0.5483
2,2,32,1.9846,2.1902,0.5673,2.1871,0.5766
2,3,33,1.9661,2.1709,0.5869,2.1674,0.5955
2,4,34,1.9426,2.1498,0.6028,2.1458,0.6116
2,5,35,1.9386,2.1258,0.6158,2.1214,0.6219
2,6,36,1.9276,2.1007,0.6246,2.0958,0.6292
2,7,37,1.9064,2.0746,0.6291,2.0692,0.6314
2,8,38,1.8862,2.0474,0.6309,2.0414,0.6328
2,9,39,1.8775,2.0187,0.6288,2.0122,0.6314
2,10,40,1.8664,1.989,0.6285,1.9819,0.6296
2,11,41,1.8409,1.9575,0.6286,1.9498,0.6279
2,12,42,1.8216,1.9268,0.627,1.9188,0.6248
2,13,43,1.8185,1.8969,0.6256,1.8885,0.6235
2,14,44,1.7992,1.8674,0.6263,1.8585,0.6244
