epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3529,2.3027,0.0974,2.3028,0.0982
1,2,2,2.3356,2.3027,0.0974,2.3028,0.0982
1,3,3,2.331,2.3027,0.0974,2.3028,0.0982
1,4,4,2.3139,2.3027,0.0974,2.3028,0.0982
1,5,5,2.3177,2.3027,0.0974,2.3028,0.0982
1,6,6,2.3166,2.3027,0.0974,2.3027,0.0982
1,7,7,2.3129,2.3027,0.0974,2.3027,0.0982
1,8,8,2.3095,2.3027,0.0974,2.3027,0.0982
1,9,9,2.3052,2.3026,0.0974,2.3027,0.0982
1,10,10,2.3016,2.3026,0.0974,2.3026,0.0982
1,11,11,2.2996,2.3026,0.0974,2.3026,0.0982
1,12,12,2.3044,2.3025,0.0974,2.3025,0.0982
1,13,13,2.2928,2.3024,0.0974,2.3025,0.0982
1,14,14,2.2926,2.3024,0.0974,2.3024,0.0982
1,15,15,2.2903,2.3023,0.0974,2.3023,0.0982
1,16,16,2.2902,2.3021,0.0974,2.3021,0.0982
1,17,17,2.2842,2.3019,0.0974,2.3019,0.0982
1,18,18,2.2742,2.3017,0.0974,2.3016,0.0982
1,19,19,2.2747,2.3013,0.0974,2.3013,0.0982
1,20,20,2.2728,2.3009,0.0974,2.3009,0.0982
1,21,21,2.2695,2.3004,0.0974,2.3003,0.0982
1,22,22,2.259,2.2998,0.0974,2.2997,0.0982
1,23,23,2.2547,2.2991,0.0974,2.2989,0.0982
1,24,24,2.2535,2.2982,0.0975,2.298,0.0982
1,25,25,2.2572,2.2971,0.0985,2.2969,0.1004
1,26,26,2.245,2.2959,0.1013,2.2956,0.1029
1,27,27,2.2498,2.2944,0.1069,2.294,0.1095
1,28,28,2.2429,2.2927,0.1169,2.2923,0.1199
1,29,29,2.2377,2.2907,0.1288,2.2902,0.1316
1,30,30,2.234,2.2884,0.1442,2.2878,0.1464
2,1,31,2.2279,2.2859,0.1586,2.2852,0.1608
2,2,32,2.2253,2.283,0.1734,2.2822,0.1754
2,3,33,2.2178,2.2798,0.187,2.2789,0.1918
2,4,34,2.22,2.2763,0.1996,2.2753,0.2062
2,5,35,2.2125,2.2724,0.2136,2.2712,0.2215
2,6,36,2.2124,2.2682,0.2274,2.2669,0.2358
2,7,37,2.2116,2.2637,0.2473,2.2621,0.2577
2,8,38,2.2028,2.2588,0.2768,2.2571,0.2865
2,9,39,2.2028,2.2538,0.3077,2.2519,0.3212
2,10,40,2.2016,2.2482,0.3393,2.2461,0.3535
2,11,41,2.195,2.2426,0.3748,2.2403,0.3891
2,12,42,2.1871,2.2366,0.4073,2.234,0.4204
2,13,43,2.1899,2.2302,0.4353,2.2273,0.4479
