epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3178,2.3029,0.0987,2.303,0.098
1,2,2,2.3055,2.3029,0.0987,2.303,0.098
1,3,3,2.282,2.3027,0.0987,2.3028,0.098
1,4,4,2.2534,2.3026,0.1388,2.3026,0.1395
1,5,5,2.2252,2.3023,0.1711,2.3024,0.1739
1,6,6,2.2122,2.302,0.1595,2.302,0.161
1,7,7,2.1975,2.3015,0.1123,2.3016,0.1142
1,8,8,2.1767,2.301,0.1091,2.301,0.1099
1,9,9,2.1509,2.3002,0.1041,2.3002,0.104
1,10,10,2.1277,2.2991,0.1127,2.2991,0.115
1,11,11,2.1021,2.2978,0.1183,2.2977,0.1207
1,12,12,2.0896,2.296,0.1428,2.2959,0.1478
1,13,13,2.065,2.2937,0.1956,2.2936,0.1969
1,14,14,2.0373,2.2909,0.2454,2.2907,0.2494
1,15,15,2.0217,2.2871,0.2787,2.2869,0.285
1,16,16,1.9787,2.2825,0.3039,2.2821,0.3104
1,17,17,1.9683,2.2766,0.3285,2.2761,0.333
1,18,18,1.938,2.2696,0.3847,2.269,0.3926
1,19,19,1.9196,2.2607,0.4431,2.26,0.4525
1,20,20,1.8744,2.2499,0.4937,2.2489,0.5029
1,21,21,1.8528,2.237,0.536,2.2358,0.5434
1,22,22,1.8296,2.2218,0.5619,2.2204,0.5654
1,23,23,1.82,2.2038,0.5836,2.2021,0.5877
1,24,24,1.7754,2.1837,0.6023,2.1816,0.6082
1,25,25,1.7829,2.1601,0.6128,2.1576,0.6173
1,26,26,1.751,2.1338,0.6213,2.1309,0.6273
1,27,27,1.7328,2.105,0.6281,2.1017,0.6328
1,28,28,1.704,2.074,0.635,2.0703,0.6397
1,29,29,1.7003,2.039,0.6398,2.0346,0.6442
1,30,30,1.6879,2.0037,0.6429,1.9989,0.6474
2,1,31,1.6673,1.9639,0.6462,1.9585,0.6495
2,2,32,1.6204,1.924,0.6503,1.918,0.6549
2,3,33,1.5948,1.8789,0.6527,1.8724,0.6563
2,4,34,1.5669,1.8374,0.6559,1.8306,0.6592
2,5,35,1.5975,1.7932,0.6589,1.786,0.6621
2,6,36,1.5541,1.7454,0.6625,1.7376,0.666
2,7,37,1.5279,1.7011,0.6655,1.6922,0.6684
2,8,38,1.5233,1.6578,0.6671,1.6485,0.669
2,9,39,1.5207,1.6157,0.6698,1.6064,0.6707
2,10,40,1.4866,1.5763,0.6717,1.5669,0.6724
2,11,41,1.4501,1.5332,0.675,1.5233,0.6752
2,12,42,1.4429,1.4925,0.6756,1.4823,0.6755
2,13,43,1.4285,1.4558,0.6777,1.4455,0.6781
2,14,44,1.4106,1.4203,0.6799,1.4099,0.6788
2,15,45,1.4192,1.3897,0.6816,1.3797,0.6811
2,16,46,1.4083,1.3596,0.6837,1.3487,0.6835
2,17,47,1.3854,1.3321,0.6855,1.3207,0.6852
2,18,48,1.3839,1.3029,0.6884,1.2914,0.6886
2,19,49,1.3471,1.2764,0.6902,1.2649,0.6907
2,20,50,1.3119,1.2525,0.6922,1.2408,0.6925
2,21,51,1.3563,1.2249,0.6937,1.2125,0.6947
2,22,52,1.2988,1.2027,0.6961,1.1898,0.6977
2,23,53,1.3133,1.1841,0.698,1.1709,0.6998
2,24,54,1.3007,1.1655,0.7017,1.1522,0.704
2,25,55,1.2714,1.1501,0.7036,1.1368,0.7062
2,26,56,1.2686,1.1342,0.7055,1.121,0.7085
2,27,57,1.3025,1.1181,0.707,1.1047,0.7101
2,28,58,1.2581,1.1033,0.7115,1.0901,0.7158
2,29,59,1.2727,1.0872,0.7161,1.0738,0.7198
2,30,60,1.2407,1.0755,0.7188,1.0622,0.7216
3,1,61,1.2345,1.0673,0.7229,1.054,0.7278
3,2,62,1.236,1.0528,0.726,1.04,0.7311
3,3,63,1.2131,1.043,0.7269,1.0303,0.7322
3,4,64,1.1883,1.0308,0.731,1.0187,0.7363
3,5,65,1.1677,1.0207,0.733,1.0086,0.7394
3,6,66,1.1782,1.0072,0.7358,0.9951,0.7414
3,7,67,1.1808,0.9972,0.7363,0.9846,0.741
3,8,68,1.1833,0.9861,0.7382,0.9736,0.7425
3,9,69,1.1443,0.9746,0.7441,0.9623,0.7484
3,10,70,1.139,0.9695,0.748,0.9571,0.7518
3,11,71,1.1162,0.9615,0.7497,0.9487,0.7536
3,12,72,1.1395,0.9516,0.7488,0.9386,0.7543
3,13,73,1.1407,0.945,0.7511,0.9325,0.7566
