epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3122,2.3024,0.0975,2.3025,0.0974
1,2,2,2.3016,2.3024,0.0975,2.3024,0.0974
1,3,3,2.2839,2.3023,0.0975,2.3023,0.0974
1,4,4,2.2728,2.3022,0.0975,2.3022,0.0974
1,5,5,2.253,2.302,0.0975,2.302,0.0974
1,6,6,2.2396,2.3018,0.0975,2.3019,0.0974
1,7,7,2.2265,2.3016,0.0975,2.3016,0.0974
1,8,8,2.2128,2.3013,0.0975,2.3013,0.0974
1,9,9,2.2041,2.3009,0.0975,2.3009,0.0974
1,10,10,2.1766,2.3003,0.0975,2.3003,0.0974
1,11,11,2.1635,2.2997,0.0978,2.2996,0.0981
1,12,12,2.1589,2.2988,0.1062,2.2988,0.108
1,13,13,2.1299,2.2977,0.1656,2.2976,0.1647
1,14,14,2.1201,2.2962,0.2144,2.2961,0.2143
1,15,15,2.1092,2.2944,0.2492,2.2943,0.2475
1,16,16,2.0838,2.2921,0.2656,2.292,0.2654
1,17,17,2.0742,2.2894,0.2763,2.2892,0.2768
1,18,18,2.0599,2.286,0.2888,2.2858,0.2941
1,19,19,2.044,2.2819,0.3127,2.2816,0.3242
1,20,20,2.0178,2.277,0.3539,2.2766,0.3699
1,21,21,2.0068,2.2712,0.3909,2.2707,0.4066
1,22,22,1.9879,2.2639,0.42,2.2633,0.4346
1,23,23,1.9779,2.2553,0.4549,2.2546,0.4733
1,24,24,1.9519,2.245,0.4974,2.2441,0.5184
1,25,25,1.9558,2.2329,0.5281,2.2319,0.55
1,26,26,1.9376,2.2194,0.5612,2.2182,0.5822
1,27,27,1.91,2.2044,0.5865,2.203,0.6029
1,28,28,1.8996,2.1863,0.6086,2.1847,0.622
1,29,29,1.877,2.1667,0.6267,2.1648,0.6375
1,30,30,1.8652,2.1448,0.6365,2.1425,0.6449
2,1,31,1.8513,2.1211,0.6481,2.1185,0.6543
2,2,32,1.8138,2.0954,0.6562,2.0923,0.6619
2,3,33,1.7885,2.0661,0.6609,2.0627,0.6671
2,4,34,1.778,2.0369,0.6678,2.0331,0.6739
2,5,35,1.7823,2.0034,0.6742,1.9993,0.6814
2,6,36,1.7482,1.9685,0.6808,1.9639,0.6874
2,7,37,1.7335,1.9344,0.6896,1.9294,0.6953
2,8,38,1.7262,1.8995,0.6925,1.894,0.6989
2,9,39,1.7015,1.8649,0.7027,1.859,0.7081
2,10,40,1.6898,1.8268,0.7141,1.8205,0.7211
2,11,41,1.653,1.7906,0.7198,1.7839,0.7306
2,12,42,1.6445,1.7547,0.7285,1.7475,0.7401
2,13,43,1.6342,1.72,0.7374,1.7124,0.7482
2,14,44,1.6257,1.6851,0.7419,1.677,0.7544
2,15,45,1.6132,1.6543,0.7426,1.6459,0.7549
2,16,46,1.5871,1.6219,0.747,1.6131,0.7591
2,17,47,1.5861,1.5909,0.749,1.5818,0.7626
2,18,48,1.5655,1.5601,0.7502,1.5507,0.7642
2,19,49,1.5622,1.5309,0.7513,1.5212,0.7646
2,20,50,1.5131,1.5056,0.7546,1.4954,0.7654
2,21,51,1.5436,1.4772,0.7546,1.4667,0.7659
2,22,52,1.4966,1.4544,0.7559,1.4435,0.7665
2,23,53,1.5151,1.4297,0.7564,1.4183,0.7679
2,24,54,1.4955,1.4071,0.7576,1.3953,0.769
2,25,55,1.4754,1.3882,0.7582,1.376,0.7695
2,26,56,1.4528,1.3686,0.758,1.3562,0.7696
2,27,57,1.4765,1.3481,0.7568,1.3357,0.7686
2,28,58,1.4422,1.3302,0.7588,1.318,0.7719
2,29,59,1.4314,1.3127,0.7606,1.3,0.7721
2,30,60,1.4123,1.2961,0.7622,1.2832,0.7725
3,1,61,1.4143,1.28,0.7613,1.2664,0.7699
3,2,62,1.397,1.2649,0.7612,1.2517,0.7692
3,3,63,1.3683,1.2513,0.7604,1.2381,0.7671
3,4,64,1.3764,1.2373,0.7607,1.2243,0.7686
3,5,65,1.3542,1.2249,0.7615,1.2115,0.7703
3,6,66,1.3405,1.212,0.7627,1.1988,0.7711
3,7,67,1.347,1.1976,0.7614,1.1844,0.7693
3,8,68,1.3355,1.1843,0.7607,1.171,0.7679
3,9,69,1.308,1.1722,0.7633,1.1591,0.7714
3,10,70,1.2974,1.1625,0.7638,1.1497,0.7723
3,11,71,1.2838,1.1515,0.7643,1.1384,0.7718
3,12,72,1.3032,1.1397,0.7635,1.1263,0.7715
3,13,73,1.2928,1.1301,0.7645,1.1166,0.7735
3,14,74,1.2563,1.121,0.7678,1.1075,0.7756
3,15,75,1.2801,1.1095,0.7675,1.0961,0.7757
3,16,76,1.2582,1.1,0.7698,1.0865,0.7774
3,17,77,1.2571,1.0906,0.7723,1.0769,0.7789
3,18,78,1.2619,1.0801,0.7759,1.0663,0.7833
3,19,79,1.2006,1.0731,0.78,1.059,0.7867
3,20,80,1.2351,1.0651,0.7786,1.051,0.7864
3,21,81,1.2383,1.0553,0.7797,1.0414,0.7865
3,22,82,1.1992,1.0462,0.7837,1.0323,0.7895
3,23,83,1.176,1.0383,0.7856,1.0239,0.7919
3,24,84,1.1913,1.0287,0.7889,1.0142,0.7945
3,25,85,1.189,1.0203,0.7929,1.0062,0.7976
3,26,86,1.189,1.014,0.7971,0.9993,0.8025
3,27,87,1.1858,1.0045,0.7989,0.9904,0.8044
3,28,88,1.188,0.9967,0.8018,0.9821,0.8072
3,29,89,1.16,0.9906,0.8022,0.9766,0.8074
3,30,90,1.1942,0.9829,0.8022,0.969,0.8083
4,1,91,1.1511,0.9781,0.8077,0.9644,0.8146
4,2,92,1.1238,0.9687,0.8097,0.9552,0.816
4,3,93,1.1223,0.9645,0.8124,0.9513,0.8187
4,4,94,1.1296,0.9573,0.8154,0.9442,0.8209
4,5,95,1.1153,0.9514,0.8174,0.9383,0.8214
4,6,96,1.0921,0.9435,0.822,0.9303,0.8244
4,7,97,1.1047,0.9363,0.8226,0.9226,0.8251
4,8,98,1.1136,0.9281,0.8254,0.9146,0.828
4,9,99,1.098,0.9201,0.8284,0.9068,0.8303
4,10,100,1.0891,0.9124,0.8296,0.8989,0.8321
4,11,101,1.0887,0.9046,0.8331,0.8912,0.8366
4,12,102,1.067,0.899,0.8348,0.8857,0.8373
4,13,103,1.0781,0.8917,0.8366,0.8781,0.8391
4,14,104,1.0679,0.8859,0.8385,0.8721,0.8415
4,15,105,1.054,0.8805,0.8412,0.8666,0.8452
4,16,106,1.0766,0.8738,0.8426,0.8598,0.8458
4,17,107,1.0472,0.8701,0.8438,0.8565,0.8469
4,18,108,1.0579,0.8636,0.8482,0.8495,0.8515
4,19,109,1.0432,0.8557,0.8504,0.8416,0.8527
4,20,110,1.0318,0.85,0.8542,0.8356,0.858
4,21,111,1.018,0.8435,0.8569,0.8291,0.8596
4,22,112,1.0075,0.8349,0.8572,0.8203,0.8602
4,23,113,1.0444,0.8295,0.8583,0.815,0.8611
4,24,114,1.0166,0.8244,0.8605,0.8103,0.8633
4,25,115,0.9819,0.8176,0.8628,0.8036,0.8664
4,26,116,0.9845,0.8123,0.8646,0.7984,0.8681
4,27,117,1.0043,0.8063,0.8674,0.7924,0.8708
4,28,118,1.0158,0.7985,0.8686,0.7843,0.871
4,29,119,1.0033,0.794,0.8716,0.7803,0.8746
4,30,120,1.0165,0.7891,0.8742,0.7759,0.8774
5,1,121,0.9776,0.7851,0.8745,0.7716,0.8771
5,2,122,0.9455,0.7788,0.8766,0.7654,0.8805
5,3,123,0.9734,0.7733,0.8775,0.7598,0.8803
5,4,124,0.9733,0.7659,0.8787,0.752,0.8809
5,5,125,0.9556,0.7612,0.8807,0.7472,0.884
5,6,126,0.9411,0.7528,0.8834,0.739,0.8868
5,7,127,0.9463,0.7462,0.8859,0.7328,0.8882
5,8,128,0.949,0.7392,0.8867,0.7254,0.89
5,9,129,0.9186,0.734,0.8876,0.7202,0.891
5,10,130,0.913,0.7288,0.8876,0.7145,0.8911
5,11,131,0.9259,0.7229,0.8895,0.7087,0.8933
5,12,132,0.9209,0.7177,0.8914,0.7037,0.8956
