epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3963,2.3025,0.0903,2.3026,0.0892
1,2,2,2.3575,2.3025,0.0903,2.3026,0.0892
1,3,3,2.3373,2.3025,0.0903,2.3026,0.0892
1,4,4,2.3302,2.3025,0.0903,2.3026,0.0892
1,5,5,2.3219,2.3025,0.0903,2.3026,0.0892
1,6,6,2.3304,2.3025,0.0903,2.3026,0.0892
1,7,7,2.3193,2.3025,0.0971,2.3026,0.0959
1,8,8,2.3249,2.3025,0.0986,2.3026,0.0958
1,9,9,2.3167,2.3025,0.0986,2.3026,0.0958
1,10,10,2.3163,2.3024,0.0986,2.3026,0.0958
1,11,11,2.3053,2.3024,0.0986,2.3025,0.0958
1,12,12,2.3047,2.3023,0.099,2.3025,0.0961
1,13,13,2.3111,2.3022,0.1031,2.3024,0.1011
1,14,14,2.3042,2.3021,0.1058,2.3023,0.1048
1,15,15,2.2992,2.302,0.1054,2.3021,0.1008
1,16,16,2.2948,2.3018,0.102,2.302,0.0963
1,17,17,2.3,2.3016,0.098,2.3018,0.0953
1,18,18,2.299,2.3014,0.0983,2.3015,0.0957
1,19,19,2.2967,2.3011,0.0991,2.3012,0.0965
1,20,20,2.2915,2.3008,0.1023,2.3009,0.0985
1,21,21,2.289,2.3004,0.1058,2.3005,0.1008
1,22,22,2.287,2.3,0.1089,2.3001,0.1065
1,23,23,2.2842,2.2995,0.1138,2.2996,0.1118
1,24,24,2.2759,2.2989,0.123,2.299,0.1205
1,25,25,2.2785,2.2982,0.1425,2.2983,0.1362
1,26,26,2.2713,2.2973,0.1619,2.2975,0.157
1,27,27,2.2749,2.2964,0.1852,2.2965,0.1814
1,28,28,2.2731,2.2953,0.2057,2.2954,0.2023
1,29,29,2.2693,2.2941,0.2273,2.2941,0.226
1,30,30,2.2646,2.2926,0.2404,2.2927,0.2389
2,1,31,2.2575,2.291,0.2485,2.2911,0.2483
2,2,32,2.2572,2.2891,0.2567,2.2892,0.2566
2,3,33,2.2457,2.287,0.2696,2.287,0.2703
2,4,34,2.2468,2.2846,0.2838,2.2845,0.2845
2,5,35,2.2556,2.2818,0.3028,2.2817,0.303
2,6,36,2.241,2.2788,0.3276,2.2787,0.3304
2,7,37,2.2329,2.2753,0.3565,2.2751,0.3576
2,8,38,2.2341,2.2715,0.382,2.2713,0.3845
2,9,39,2.2342,2.2673,0.4077,2.267,0.4111
2,10,40,2.2218,2.2629,0.4313,2.2625,0.4334
2,11,41,2.2202,2.258,0.4521,2.2576,0.457
2,12,42,2.2182,2.2527,0.4717,2.2522,0.4784
2,13,43,2.2122,2.2473,0.4865,2.2467,0.4947
2,14,44,2.207,2.2414,0.4981,2.2407,0.5048
2,15,45,2.2144,2.2353,0.5084,2.2346,0.5156
2,16,46,2.205,2.2293,0.5185,2.2284,0.526
2,17,47,2.1973,2.2229,0.5246,2.222,0.5312
2,18,48,2.203,2.2163,0.5308,2.2152,0.538
2,19,49,2.1949,2.2096,0.5368,2.2085,0.5432
2,20,50,2.1765,2.2031,0.5417,2.2019,0.5477
2,21,51,2.1895,2.1964,0.5462,2.195,0.5515
2,22,52,2.1757,2.1899,0.5504,2.1884,0.5556
2,23,53,2.1751,2.1831,0.5541,2.1816,0.5605
2,24,54,2.1811,2.1762,0.5579,2.1745,0.5634
2,25,55,2.1654,2.1697,0.5604,2.1679,0.5667
2,26,56,2.1689,2.1627,0.5626,2.1608,0.5697
2,27,57,2.1672,2.1555,0.5647,2.1535,0.5732
2,28,58,2.1619,2.1489,0.5681,2.1468,0.5759
2,29,59,2.1498,2.1425,0.5716,2.1403,0.5803
2,30,60,2.1638,2.1359,0.5734,2.1335,0.5821
3,1,61,2.1409,2.1298,0.5755,2.1273,0.5853
3,2,62,2.1485,2.123,0.5767,2.1205,0.5849
3,3,63,2.1339,2.1162,0.5785,2.1136,0.5869
3,4,64,2.1293,2.1097,0.5806,2.107,0.5897
3,5,65,2.1311,2.1027,0.5821,2.0998,0.5908
3,6,66,2.1147,2.0965,0.5843,2.0935,0.5909
3,7,67,2.116,2.0906,0.5851,2.0876,0.5923
3,8,68,2.1212,2.0847,0.5865,2.0816,0.5937
3,9,69,2.1116,2.0783,0.5868,2.0752,0.5944
3,10,70,2.1023,2.0722,0.5877,2.0689,0.5954
3,11,71,2.0985,2.0661,0.5893,2.0627,0.5959
3,12,72,2.0996,2.0602,0.5899,2.0568,0.5966
3,13,73,2.0918,2.0543,0.5907,2.0508,0.5976
3,14,74,2.0936,2.0487,0.5923,2.045,0.5978
3,15,75,2.0894,2.0426,0.5929,2.0389,0.599
3,16,76,2.0841,2.0373,0.5933,2.0334,0.5994
3,17,77,2.0803,2.0314,0.5935,2.0275,0.6005
3,18,78,2.0685,2.026,0.5947,2.022,0.6019
3,19,79,2.0711,2.0209,0.5951,2.0168,0.6021
3,20,80,2.0655,2.0157,0.5955,2.0115,0.6024
3,21,81,2.0594,2.01,0.5964,2.0057,0.6028
3,22,82,2.0485,2.0052,0.5966,2.0008,0.6027
3,23,83,2.0343,2.0001,0.596,1.9956,0.603
3,24,84,2.0464,1.9946,0.5966,1.9899,0.6038
3,25,85,2.032,1.9896,0.5976,1.9849,0.6048
3,26,86,2.0339,1.9846,0.5979,1.9797,0.6046
3,27,87,2.034,1.9786,0.5978,1.9736,0.6044
3,28,88,2.04,1.9733,0.5987,1.9682,0.6061
3,29,89,2.0282,1.9683,0.599,1.9632,0.607
3,30,90,2.0281,1.9642,0.5997,1.9589,0.6065
4,1,91,2.0132,1.9588,0.6003,1.9535,0.6071
4,2,92,2.0167,1.9534,0.6008,1.9479,0.6074
4,3,93,2.0069,1.9483,0.6007,1.9428,0.6068
4,4,94,2.0076,1.9441,0.6011,1.9386,0.6074
4,5,95,2.0073,1.9391,0.6003,1.9334,0.6076
4,6,96,1.9926,1.9342,0.601,1.9284,0.6078
4,7,97,1.9897,1.9293,0.6009,1.9235,0.6072
4,8,98,1.9814,1.9249,0.6024,1.919,0.6089
4,9,99,1.9781,1.9196,0.6031,1.9136,0.6094
4,10,100,1.9693,1.9149,0.6035,1.9089,0.6091
4,11,101,1.9746,1.9097,0.604,1.9036,0.6104
4,12,102,1.9686,1.9049,0.6045,1.8987,0.6111
4,13,103,1.9717,1.9001,0.605,1.8938,0.6122
4,14,104,1.9564,1.8954,0.6049,1.8889,0.6122
4,15,105,1.95,1.8903,0.6057,1.8838,0.6128
4,16,106,1.959,1.8849,0.6062,1.8783,0.6126
4,17,107,1.9594,1.8806,0.6061,1.874,0.6131
4,18,108,1.9465,1.8761,0.6068,1.8693,0.6129
4,19,109,1.9379,1.8716,0.6077,1.8648,0.6147
4,20,110,1.9349,1.8681,0.6083,1.8612,0.6148
4,21,111,1.931,1.8632,0.6089,1.8562,0.615
4,22,112,1.9399,1.8581,0.6097,1.851,0.6162
4,23,113,1.9282,1.8531,0.6098,1.846,0.6172
4,24,114,1.919,1.8492,0.6101,1.8421,0.6182
4,25,115,1.9062,1.8447,0.6119,1.8374,0.6193
4,26,116,1.8935,1.8404,0.6122,1.8332,0.6197
4,27,117,1.9044,1.8352,0.6127,1.8278,0.6201
4,28,118,1.9127,1.8303,0.6129,1.8228,0.6199
4,29,119,1.8955,1.8265,0.6127,1.819,0.6201
4,30,120,1.8968,1.8236,0.6139,1.8161,0.6209
5,1,121,1.8911,1.819,0.6139,1.8115,0.6207
5,2,122,1.8882,1.8143,0.6146,1.8067,0.6215
5,3,123,1.8768,1.8098,0.6146,1.8021,0.6223
5,4,124,1.8888,1.8046,0.6151,1.7968,0.6222
5,5,125,1.8731,1.8001,0.615,1.7923,0.6221
5,6,126,1.871,1.7952,0.6159,1.7872,0.6229
5,7,127,1.8608,1.7912,0.6159,1.7833,0.6231
5,8,128,1.8656,1.7866,0.6161,1.7786,0.6233
5,9,129,1.8529,1.7822,0.6165,1.7741,0.6236
5,10,130,1.8447,1.7779,0.6172,1.7698,0.6244
5,11,131,1.8482,1.7743,0.6181,1.7662,0.6256
5,12,132,1.8576,1.7699,0.6184,1.7617,0.6265
5,13,133,1.8494,1.7653,0.6186,1.757,0.627
5,14,134,1.8405,1.7618,0.6201,1.7533,0.6283
5,15,135,1.8366,1.7567,0.6204,1.7482,0.6285
5,16,136,1.8204,1.7538,0.6217,1.7454,0.6308
5,17,137,1.8119,1.7501,0.6219,1.7417,0.631
5,18,138,1.8237,1.7457,0.6224,1.7371,0.632
5,19,139,1.8156,1.7416,0.6236,1.733,0.6328
5,20,140,1.8152,1.7372,0.6234,1.7285,0.6327
5,21,141,1.8035,1.7333,0.6241,1.7246,0.6333
5,22,142,1.8048,1.729,0.625,1.7203,0.6336
5,23,143,1.8044,1.7247,0.6254,1.7161,0.6341
5,24,144,1.7992,1.7208,0.6257,1.712,0.6343
5,25,145,1.8082,1.7157,0.6255,1.7068,0.6344
5,26,146,1.7925,1.7116,0.6272,1.7028,0.6356
5,27,147,1.786,1.707,0.6277,1.6981,0.636
5,28,148,1.769,1.7034,0.6284,1.6946,0.6365
5,29,149,1.7796,1.7005,0.6296,1.6916,0.6376
5,30,150,1.7719,1.697,0.6308,1.6881,0.6384
6,1,151,1.7654,1.6926,0.6313,1.6836,0.6386
6,2,152,1.7823,1.6883,0.6318,1.6793,0.6389
6,3,153,1.7756,1.6841,0.6332,1.6749,0.64
6,4,154,1.7669,1.6799,0.6341,1.6707,0.6414
