epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.2452763575315475,2.046082651615143,0.2195
2,1.995597758293152,1.8744360315799713,0.2981
3,1.874542734026909,1.662962979078293,0.3914
4,1.7864559665322304,1.584861822128296,0.42
5,1.6976147401332855,1.5118495213985443,0.4401
6,1.6112308484315871,1.351200565099716,0.5101
7,1.5229033455252647,1.335489146709442,0.5157
8,1.3969820204377175,1.169853802919388,0.5774
9,1.3121463605761527,1.1255645847320557,0.5976
10,1.2259439499676228,0.9729985928535462,0.6515
11,1.1492539927363397,0.9116822767257691,0.6819
12,1.0541567075252534,0.8824218499660492,0.6915
13,0.9820568837225437,0.8193081778287887,0.711
14,0.9323718982934952,0.7402797704935073,0.7437
15,0.8885912156105041,0.7197562402486801,0.7547
16,0.847619891911745,0.6872298216819763,0.7661
17,0.7996796469390393,0.646044302880764,0.7772
18,0.763196873664856,0.630886416733265,0.7821
19,0.7411736020445824,0.6353047370910645,0.7813
20,0.7103113278746604,0.588724835216999,0.7954
21,0.6909412612766027,0.5713042345643043,0.8065
22,0.6633688573539257,0.5664249730110168,0.805
23,0.6542188528180123,0.5206859117746353,0.8196
24,0.6341367657482624,0.5211380362510681,0.82
25,0.6053717447072268,0.504515183120966,0.8279
26,0.5947965864092112,0.4917797082662582,0.8299
27,0.5805124868452549,0.48974300771951673,0.8302
28,0.5602274153381586,0.48212504893541336,0.8374
29,0.5457801783084869,0.4588026970624924,0.8402
30,0.5313259375095367,0.48078710854053497,0.835
31,0.528254944756627,0.4411681619286537,0.8471
32,0.5212521697580814,0.4465779396891594,0.8449
33,0.49947354711592196,0.4321327589452267,0.8522
34,0.4866161748021841,0.41497627064585685,0.8562
35,0.4808740119636059,0.42270074650645256,0.8537
36,0.4796597258001566,0.4142000877857208,0.857
37,0.45726769894361496,0.41453101828694344,0.8574
38,0.44930307652801277,0.4054153606295586,0.8594
39,0.44186176974326374,0.40588718727231027,0.8603
40,0.4411517759039998,0.4021617364883423,0.8616
41,0.42981669563800096,0.41280231952667235,0.8567
42,0.41688525058329107,0.3761156828701496,0.8694
43,0.40383834552019837,0.37588705733418465,0.8712
44,0.4050275506079197,0.3745480816066265,0.8698
45,0.396673803627491,0.382611393481493,0.8698
46,0.38678320202976463,0.3748816493153572,0.8694
47,0.3817916539683938,0.36746218949556353,0.8747
48,0.3792036966606975,0.3680165721476078,0.8709
49,0.36475523782894015,0.34762018725275995,0.8793
50,0.36838756304234266,0.36273872837424276,0.8736
51,0.35368483141064644,0.354578440785408,0.8777
52,0.35393045272678136,0.34592383950948713,0.881
53,0.34742483228445054,0.3413956485688686,0.8819
54,0.33949014618992807,0.34668217062950135,0.8815
55,0.33818928480148314,0.3434355328977108,0.8817
56,0.32966102175414563,0.34763677552342415,0.8812
57,0.32212099581956866,0.3486467230319977,0.8805
58,0.32333213031291963,0.3366023600101471,0.8842
59,0.30239496402442456,0.34030658364295957,0.8858
60,0.31062428161501887,0.33129768192768094,0.8857
61,0.3013904895633459,0.3231824292242527,0.8886
62,0.29925637915730474,0.32405281826853755,0.8882
63,0.2975411110371351,0.32674007207155226,0.887
64,0.2895009843632579,0.3127695582807064,0.8896
65,0.28705978486686945,0.3233513067662716,0.8912
66,0.28339644020423294,0.3192481961846352,0.8905
67,0.27725398043170574,0.3227510397136211,0.8919
68,0.2818528228905052,0.31510744616389275,0.8948
69,0.27439734878018496,0.3187557646632195,0.8907
70,0.267500286642462,0.3095365780591965,0.8936
71,0.2576296674273908,0.3103059570491314,0.892
72,0.26293340206146243,0.31695361584424975,0.8894
73,0.2577437857910991,0.3194665406644344,0.8915
74,0.24936060894280673,0.3136545552313328,0.8945
75,0.2541728449612856,0.3085252830386162,0.8965
76,0.23957784650847316,0.3122622957825661,0.8943
77,0.24389090605080127,0.303528161495924,0.8974
78,0.24463520677760242,0.30871294051408765,0.8963
79,0.23876811537891626,0.30517945036292077,0.896
80,0.23213147388771177,0.3156762993335724,0.8947
81,0.2238908893056214,0.3127939925342798,0.8953
82,0.22325163094326853,0.3084080732613802,0.8968
83,0.22197934248484671,0.3109433440864086,0.8963
84,0.22057339603081347,0.29703741289675234,0.8993
85,0.2173356156423688,0.29507806673645975,0.9031
86,0.20956747448071839,0.30067437179386614,0.9013
87,0.20930987467989326,0.2977929478138685,0.9003
88,0.20763396251946686,0.308458628281951,0.8961
89,0.20195240143686533,0.30796498864889144,0.8963
90,0.20091766864061356,0.30760936319828036,0.8995
91,0.19775031922385097,0.29745437517762185,0.9015
92,0.20124496014788748,0.2941547478735447,0.9032
93,0.1928079787828028,0.29383199743926525,0.9018
94,0.19490486348047853,0.3000074279308319,0.8996
95,0.1922464407235384,0.2949616588652134,0.9025
96,0.19222547132521867,0.2956882964074612,0.9035
97,0.18030232536606491,0.2961267606168985,0.9012
98,0.1896083825547248,0.30261114850640297,0.8972
99,0.18257783057168125,0.3006941032409668,0.903
100,0.18034886571578682,0.2937239536643028,0.9035
101,0.1708994743973017,0.2953502621501684,0.9043
102,0.17081866106949747,0.2961272396147251,0.9024
103,0.17223184046335518,0.299362490400672,0.9011
104,0.18074944359250367,0.29807086788117887,0.9018
105,0.16916868052445352,0.2910420592874289,0.9022
106,0.1752546268235892,0.29537077248096466,0.9053
107,0.16116566706448793,0.2958010719716549,0.903
108,0.15909272242337466,0.2975634090602398,0.9024
109,0.15483771522529424,0.29728766441345217,0.9047
110,0.15723694347776473,0.2854021494835615,0.9073
111,0.1509598289243877,0.2896087645739317,0.909
112,0.15720883437432348,0.29364891417324546,0.9049
113,0.15584847836755217,0.285919776558876,0.9086
114,0.15212512030266226,0.31099194310605527,0.9027
115,0.14214130339212716,0.3039511960744858,0.9039
116,0.1510047805868089,0.29230094492435454,0.9055
117,0.15097134003415705,0.2982060220092535,0.9051
118,0.14030278130434454,0.30070315092802047,0.905
119,0.1358466218598187,0.2987140192091465,0.9037
120,0.1368432744871825,0.29677988186478615,0.9053
121,0.1503527559991926,0.2927046236395836,0.9057
122,0.14222079701256007,0.29427330948412417,0.904
123,0.13211560128256677,0.293906387835741,0.9057
124,0.1295720667857677,0.2918296463787556,0.9066
125,0.1288493967987597,0.2941857086867094,0.9054
126,0.12287022752687335,0.29945212893188,0.9073
127,0.12858345558401196,0.29960434198379515,0.9045
128,0.12751302784774451,0.2935367164760828,0.9076
129,0.1282548173237592,0.28325277343392374,0.9116
130,0.12014362022280693,0.2898985269665718,0.91
131,0.12532391632907092,0.2841924524307251,0.9127
132,0.12229706742800772,0.3042447943240404,0.9069
133,0.12295834476826713,0.3004477501660585,0.9073
134,0.120971639896743,0.29426820762455463,0.9091
135,0.11780107632745057,0.3002312931418419,0.9067
136,0.11380923476070165,0.2869326400011778,0.9117
137,0.1143316154833883,0.29243787974119184,0.9105
138,0.11073556809220463,0.29209318570792675,0.9103
139,0.11967374472413211,0.29724137388169763,0.9116
140,0.11203225795645266,0.2956407814472914,0.9101
141,0.1126913718972355,0.3005021680146456,0.9095
142,0.10853303762618452,0.29236216604709625,0.9106
143,0.10318634707946331,0.28904480434954166,0.9145
144,0.10405672026332467,0.30806997023522853,0.909
145,0.10775489371502772,0.29170838750898836,0.9136
146,0.10092870869208127,0.2943605537712574,0.9132
147,0.10520726545713842,0.29626663230359557,0.9117
148,0.10193355916067957,0.29185052916407583,0.9112
149,0.10438327816314995,0.2992985261976719,0.9111
150,0.0988969980319962,0.2956626586616039,0.9126
151,0.09720315418206155,0.3017870564758778,0.9096
152,0.10168304098304361,0.2900982794910669,0.9114
153,0.09488038052339107,0.301077766418457,0.9106
154,0.09165551864542067,0.2959539693593979,0.9119
155,0.09334567333571613,0.2993636510521174,0.9119
156,0.09845720118377357,0.29701858066022396,0.9114
157,0.09501724248984829,0.2888480880856514,0.9137
158,0.08846279213670641,0.2961868656799197,0.9128
159,0.08998538828222082,0.2964641535282135,0.9125
160,0.09307057723635807,0.29853392601013184,0.9134
161,0.08685917502036318,0.2942497805505991,0.9139
162,0.09641544230980799,0.29827019937336446,0.9115
163,0.0831503632676322,0.3037992798537016,0.9114
164,0.08731698507908732,0.28698110990226267,0.9142
165,0.08588969442993402,0.2945741418749094,0.9135
