epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.3123144727945326,2.118338842391968,0.2315
2,2.280138890445232,1.990597347021103,0.2618
3,2.153753320276737,1.8888543009757996,0.32
4,2.1385766312479975,1.8531198716163635,0.3302
5,2.045825836658478,1.806875605583191,0.3353
6,2.043867401778698,1.7894167768955231,0.3474
7,1.9721508982777596,1.718542866706848,0.375
8,1.9627018848061561,1.705192905664444,0.3837
9,1.9656208920478822,1.663072270154953,0.396
10,1.9260456162691115,1.6528350579738618,0.4028
11,1.890350372493267,1.6000251579284668,0.418
12,1.893409459590912,1.5721014952659607,0.4331
13,1.8625928470492363,1.5338795185089111,0.4428
14,1.815190407037735,1.5271695697307586,0.4511
15,1.8253222846984862,1.5144095599651337,0.4496
16,1.8086597540974616,1.4992226600646972,0.4566
17,1.7765467688441277,1.4550770115852356,0.4742
18,1.7548739203810693,1.4541024446487427,0.4768
19,1.7579568868875504,1.4443753015995027,0.4797
20,1.7253880709409715,1.3880419397354127,0.5039
21,1.6668929716944694,1.3646396005153656,0.5141
22,1.6856324991583824,1.3561618411540985,0.5224
23,1.627446084022522,1.3238708591461181,0.5278
24,1.6500995886325835,1.3097115325927735,0.5349
25,1.6406194296479226,1.292882364988327,0.5456
26,1.591010538637638,1.2935953032970429,0.5399
27,1.5918783029913903,1.2520044422149659,0.5551
28,1.5439373058080674,1.2200325548648834,0.5712
29,1.5485966497659682,1.2182868313789368,0.5686
30,1.6274255391955377,1.202061758041382,0.5795
31,1.4655894148349762,1.1612524449825288,0.5967
32,1.4698150622844697,1.1600263798236847,0.5939
33,1.396095626950264,1.1439143574237824,0.5955
34,1.4568473505973816,1.128457481265068,0.6036
35,1.4616680002212525,1.1173861396312714,0.611
36,1.4088930317759514,1.1024725657701493,0.6212
37,1.3823504841327667,1.073624564409256,0.6285
38,1.3761099222302438,1.0452506083250046,0.6384
39,1.3628381806612015,1.0380345004796983,0.6392
40,1.3521391488611698,1.0259983831644057,0.6436
41,1.3109333115816115,1.0025397074222564,0.6511
42,1.31214924544096,0.984282613992691,0.6604
43,1.2318681989610196,0.9612301868200303,0.6687
44,1.2519234590232373,0.9510286688804627,0.6719
45,1.2208161233365535,0.9444216507673263,0.6734
46,1.2110266369581222,0.9186225956678391,0.6853
47,1.2304471935331822,0.9197638082504273,0.6816
48,1.1823890846967697,0.8926505398750305,0.6957
49,1.1501115036010743,0.8747448098659515,0.6993
50,1.1801801796257496,0.8616828733682632,0.7041
51,1.1726403531432152,0.8620112872123719,0.7019
52,1.1562406247854233,0.833135131597519,0.7157
53,1.092025955170393,0.820685983300209,0.7187
54,1.0519896261394024,0.82540456533432,0.7183
55,1.0740517662465572,0.8103759324550629,0.7232
56,1.0558542166650295,0.786834596991539,0.7333
57,1.0082025088369846,0.7811764645576477,0.7325
58,1.0799937584996224,0.7826020652055741,0.7338
