epoch,train_loss,test_loss,test_accuracy
1,2.0692530393600466,1.5494542241096496,0.5408
2,1.6535113070873506,1.0608104419708253,0.7132
3,1.4242517684368379,0.8007396277785301,0.794
4,1.2829758568012968,0.6536244320869445,0.842
5,1.173796039692899,0.5631220442056656,0.8599
6,1.088335502908585,0.49713160276412965,0.8724
7,1.0497663256969856,0.44619409292936324,0.8915
8,0.9984760588787972,0.4091355112195015,0.8983
9,0.9517420106745781,0.3773691123723984,0.9085
10,0.9318060656811327,0.33831715732812884,0.9185
11,0.8968011531424016,0.322590025216341,0.9199
12,0.8715605984342858,0.30019565962255,0.9237
13,0.8498407660646641,0.2859802767634392,0.9288
14,0.8266430182659881,0.2690098598971963,0.9332
15,0.8065620419826913,0.2549111180752516,0.9363
16,0.7986227535186928,0.24649538148194552,0.9371
17,0.7685559901785344,0.23513087924569845,0.9402
18,0.7653095050061001,0.23313060265034438,0.9411
19,0.7539333762006559,0.22442537415772676,0.9431
20,0.7380929698335362,0.2149212245643139,0.9431
21,0.7298454340468062,0.20943489026278259,0.9453
22,0.719780303823187,0.20329320039600135,0.947
23,0.7035063583800134,0.19272037943825127,0.9515
24,0.6981514263660349,0.19232542624697088,0.9502
