epoch,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,2.3338097244501115,2.3027727675082077,0.09871666666666666,2.3027470541000366,0.098
2,2.314578241606554,2.3026684677677114,0.0954,2.3028327417373657,0.0707
3,2.3094755639632543,2.3022231755734506,0.10086666666666666,2.30265193939209,0.0594
4,2.3055524920423824,2.3004783633421226,0.10291666666666667,2.3000183415412905,0.0821
5,2.3018153791626292,2.2970405478975664,0.1283,2.2955076837539674,0.1326
6,2.299345154066881,2.2936158164986162,0.15846666666666667,2.2912080097198486,0.1752
7,2.29633541504542,2.289843372698786,0.19981666666666667,2.2857017803192137,0.22
8,2.291519896686077,2.285737181014852,0.23058333333333333,2.279646282196045,0.2578
9,2.287946167091529,2.2817847144120793,0.2507666666666667,2.273917672634125,0.281
10,2.2844803939263025,2.2776951693268472,0.2683833333333333,2.2679682397842407,0.2979
11,2.2808294405539833,2.273476150752639,0.2751,2.261279058456421,0.3086
12,2.276677753031254,2.2691769366071166,0.28263333333333335,2.254888415336609,0.3134
13,2.271694648762544,2.2646083425102965,0.2856166666666667,2.248111183643341,0.3242
14,2.2680203174551328,2.2592804157403488,0.28528333333333333,2.2400081372261047,0.3268
15,2.2634634991486866,2.2533259503622807,0.28346666666666664,2.230999448299408,0.3242
16,2.25887271463871,2.247826708913612,0.28205,2.2224916195869446,0.3272
17,2.2530820623040198,2.2418896592756323,0.27928333333333333,2.2125602769851684,0.3258
18,2.248982060949008,2.235250762784913,0.2758,2.2033329892158506,0.3219
19,2.2457004159688947,2.229122033251374,0.27386666666666665,2.1940963578224184,0.3219
20,2.2404506877064705,2.223420204130063,0.271,2.185285358428955,0.3205
21,2.2382930596669515,2.216038831007252,0.26936666666666664,2.1745190453529357,0.3191
22,2.234150554736456,2.207677230143598,0.26743333333333336,2.1642469644546507,0.3179
23,2.231231658657392,2.2013909257551245,0.2699666666666667,2.155366680622101,0.3205
24,2.2309952045480412,2.19577628768075,0.2674,2.1485255098342897,0.3204
25,2.2304800882935525,2.191843738942258,0.26685,2.1427726554870605,0.3206
26,2.2304606343309086,2.1889609695751786,0.2658333333333333,2.138547055721283,0.3183
27,2.2347313235203425,2.1861331203598966,0.26615,2.1351477456092836,0.319
28,2.234643122553825,2.1814061609158384,0.26881666666666665,2.1283421778678893,0.3207
29,2.236509971320629,2.177839263415794,0.2702833333333333,2.124783375263214,0.3234
30,2.238873571157455,2.174257517877672,0.2728833333333333,2.1197809410095214,0.331
31,2.239441173772017,2.171901835053206,0.2733833333333333,2.1157490718364715,0.3362
32,2.239684980114301,2.1692046097346713,0.27625,2.1118349838256836,0.3421
33,2.240991624693076,2.1656895217610828,0.27963333333333334,2.107321727275848,0.3483
34,2.243405777712663,2.1616509463995506,0.2831666666666667,2.1012834894657133,0.3515
35,2.2398635526498163,2.158909740224322,0.2846666666666667,2.0965812158584596,0.3613
36,2.23918061653773,2.1534147150735103,0.2890666666666667,2.0903273487091063,0.3657
37,2.2383158450325324,2.15032190656357,0.2912,2.086581345796585,0.3727
38,2.2370840643843013,2.147600716873527,0.29465,2.0818149077892305,0.3756
39,2.236633078753948,2.1419925572775576,0.2996666666666667,2.0762627577781676,0.3814
40,2.231719710926215,2.139827897045404,0.3006333333333333,2.0712130057811735,0.386
41,2.228840609888236,2.137322620542319,0.3058166666666667,2.0668489480018617,0.3911
42,2.2257899935046828,2.1315102922890996,0.3088666666666667,2.0583147192001343,0.397
43,2.2264011780420936,2.12828788930165,0.30998333333333333,2.051939126253128,0.4033
44,2.224525060256322,2.122917725841628,0.3127333333333333,2.0454955923557283,0.4058
45,2.2200608069698013,2.11926768431023,0.31605,2.041665871143341,0.4108
46,2.218308835724989,2.115841040479095,0.3182833333333333,2.0371901750564576,0.4117
47,2.213745112220446,2.1115824434040453,0.3244666666666667,2.0306555795669556,0.4152
48,2.2125988890727357,2.106913658093288,0.32556666666666667,2.0241924941539766,0.4159
49,2.210669138034185,2.103932625703466,0.3276,2.0199502623081207,0.4223
50,2.205006955564022,2.0991428076331293,0.3293833333333333,2.0125411593914033,0.423
51,2.2016237338383995,2.0929907440885045,0.33148333333333335,2.0045572221279144,0.4247
52,2.1999867081642153,2.0894875742479173,0.3307833333333333,1.9999564898014068,0.4275
53,2.197689273456733,2.085188386028509,0.3352833333333333,1.9940624856948852,0.4302
54,2.1951022470990815,2.0793425030291464,0.33903333333333335,1.990100165605545,0.4342
55,2.1929257954160373,2.076154269897607,0.33981666666666666,1.9837978446483613,0.4339
56,2.1894126310944557,2.0738799566907415,0.3400666666666667,1.9800821709632874,0.4376
57,2.1888618364930155,2.0672563787208182,0.34303333333333336,1.9734090268611908,0.4371
58,2.189442690710227,2.0645860456454472,0.34521666666666667,1.9698217737674713,0.4405
59,2.1848556632796923,2.060323660053424,0.3431166666666667,1.963263897895813,0.4413
60,2.1887891188263895,2.0560718624830754,0.34653333333333336,1.9586262679100037,0.4446
61,2.1852555304765704,2.0513232511752197,0.3454833333333333,1.9541442465782166,0.4428
62,2.186290748417377,2.0483540507521965,0.34585,1.9503120040893556,0.4465
63,2.1877723361055055,2.0438459626138847,0.3486,1.9459857738018036,0.4445
64,2.1848316634694736,2.0406237492429167,0.3481,1.941819040775299,0.4472
65,2.186085623006026,2.0354200522782704,0.34805,1.9364935123920441,0.4474
66,2.1875898728768033,2.0348050462157485,0.34876666666666667,1.9340848302841187,0.4485
67,2.1855157618721326,2.0297146405238333,0.3473,1.9288603281974792,0.4484
68,2.1868929085632165,2.025103899715806,0.3526166666666667,1.924196982383728,0.4493
69,2.185844285289446,2.0222210609582443,0.35051666666666664,1.921323549747467,0.4506
70,2.187948207060496,2.019380023738723,0.35283333333333333,1.91795872092247,0.4515
71,2.188986839850744,2.017342568968913,0.3514833333333333,1.9150276577472687,0.4536
72,2.1904411872227985,2.0152199954620555,0.35378333333333334,1.9125539588928222,0.454
73,2.1890028844277065,2.0125943620576026,0.35468333333333335,1.911467230319977,0.458
74,2.1936472887794176,2.011503782353676,0.35465,1.909385266304016,0.4581
75,2.1870739127198857,2.0112473962149386,0.35595,1.9079450619220735,0.4611
